MutationType	PD53330a	PD53332a	PD53332c	PD53333a	PD53333c	PD53333d	PD53333e	PD53343a	PD53343c	PD53343d	PD53343e	PD53343f	PD53343g	PD53347a	PD53349a	PD53349c	PD53350a	PD53350c	PD53352a	PD53352c	PD53355a	PD53357a	PD53359a	PD53364a
0:homdel:0-100kb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0:homdel:100kb-1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0:homdel:>1Mb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:LOH:0-100kb	3	5	9	2	4	3	3	3	4	4	4	3	2	1	3	5	2	4	3	1	3	3	0	4
1:LOH:100kb-1Mb	5	11	16	4	4	4	6	2	3	2	1	2	2	10	3	1	8	4	5	4	3	5	3	3
1:LOH:1Mb-10Mb	5	16	23	5	2	2	2	0	0	0	0	0	0	6	1	1	2	0	2	4	3	5	3	5
1:LOH:10Mb-40Mb	2	15	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
1:LOH:>40Mb	3	9	9	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0
2:LOH:0-100kb	0	4	3	1	1	2	2	1	1	0	0	0	2	0	0	1	0	1	1	0	2	1	2	4
2:LOH:100kb-1Mb	3	10	9	9	8	7	7	2	1	2	4	2	3	1	2	7	4	11	9	9	5	4	3	9
2:LOH:1Mb-10Mb	1	9	7	10	17	15	16	1	0	2	2	2	2	0	5	9	23	30	9	7	11	9	8	24
2:LOH:10Mb-40Mb	0	5	7	2	0	0	0	3	3	3	3	3	5	0	5	5	3	5	8	6	3	5	15	15
2:LOH:>40Mb	0	1	0	1	2	2	2	4	4	4	3	4	4	3	1	0	0	1	5	3	4	3	3	2
3-4:LOH:0-100kb	0	0	1	3	3	3	3	0	1	2	2	0	2	1	0	1	1	0	3	3	0	0	0	1
3-4:LOH:100kb-1Mb	0	0	5	6	5	4	3	1	3	2	5	1	3	10	5	3	3	1	4	3	0	1	2	5
