Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
PD53330c	60	0	8	0	0	20	18	5	0	5
PD53331a	29	0	0	0	1	0	0	0	0	139
PD53332d	0	43	40	45	0	0	0	34	0	0
PD53332e	70	6	8	0	0	0	6	0	0	0
PD53333f	0	0	2	0	48	0	139	0	14	0
PD53334a	58	20	22	0	0	31	0	4	0	0
PD53337a	59	0	0	5	6	0	0	5	1	0
PD53337c	56	0	0	9	12	0	7	0	1	0
PD53338a	27	2	44	10	0	65	9	0	30	3
PD53339a	0	0	0	42	0	0	7	8	0	69
PD53341a	47	0	0	0	0	53	0	0	68	9
PD53342a	51	0	25	0	0	86	0	0	2	3
PD53343h	55	11	0	12	0	0	7	0	0	0
PD53343i	48	14	0	0	8	10	24	0	0	1
PD53345a	0	0	92	31	0	0	50	0	0	0
PD53346a	0	38	0	27	0	35	31	22	0	12
PD53347c	0	7	17	0	0	0	0	226	11	0
PD53348a	27	23	1	0	0	119	0	0	3	0
PD53349d	2	0	26	10	6	0	89	19	5	0
PD53349e	5	0	0	30	15	0	40	7	37	0
PD53350d	0	16	77	28	11	0	0	4	54	0
PD53350e	0	14	77	23	23	0	0	6	44	0
PD53351a	0	202	58	1	45	17	6	23	17	0
PD53352d	0	4	3	73	37	0	16	0	5	0
PD53352e	0	0	0	35	66	0	75	0	2	0
PD53353a	12	0	0	45	3	18	0	24	2	1
PD53354a	58	0	0	2	1	41	0	0	0	0
PD53355c	1	0	69	49	11	0	0	0	26	0
PD53357c	0	31	12	54	0	0	15	12	0	0
PD53357d	0	61	24	42	50	0	0	4	0	0
PD53357e	0	12	36	35	28	5	38	7	0	1
PD53358a	31	0	0	0	38	86	0	0	6	5
PD53359c	0	0	14	10	119	0	0	43	0	0
PD53361a	57	30	6	0	0	31	0	0	0	0
PD53362a	2	33	0	62	0	6	2	0	0	2
PD53363a	11	0	19	41	5	0	0	0	18	0
PD53364c	0	141	18	0	32	0	58	3	0	0
PD53365a	0	49	71	36	65	0	9	0	0	0
PD53366a	45	0	0	2	5	0	0	13	9	3
PD53367a	55	0	0	0	0	2	0	3	70	4
PD53368a	0	91	32	46	37	8	0	26	18	0
PD53369a	61	0	41	0	0	16	0	0	0	0
