Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
PD53330c	1.57E+00	7.05E-01	7.57E-01	5.41E-01	7.89E-01	1.26E+00	9.32E-01	7.26E-01	2.52E-01	1.02E+00
PD53331a	2.20E+00	7.67E-01	0.00E+00	7.78E-01	7.19E-01	2.87E+00	1.13E+00	0.00E+00	0.00E+00	4.29E+00
PD53332d	1.65E-01	2.46E+00	1.88E+00	2.13E+00	8.22E-01	1.36E+00	1.66E+00	1.40E+00	7.08E-01	5.94E-01
PD53332e	1.50E+00	1.02E+00	8.14E-01	6.11E-02	4.45E-01	7.69E-01	9.26E-01	4.00E-02	4.45E-02	8.00E-01
PD53333f	7.00E-02	2.31E+00	3.27E+00	2.72E+00	4.69E+00	9.96E-01	6.39E+00	6.11E-01	8.60E-01	2.00E-01
PD53334a	1.78E+00	1.69E+00	1.45E+00	3.48E-01	6.78E-01	1.91E+00	7.58E-01	4.64E-01	2.05E-01	6.58E-01
PD53337a	1.23E+00	7.76E-01	4.44E-01	5.53E-01	5.89E-01	7.50E-01	7.76E-01	3.01E-01	2.15E-01	5.18E-01
PD53337c	1.02E+00	7.10E-01	3.04E-01	8.14E-01	6.91E-01	5.20E-01	7.77E-01	1.16E-01	1.50E-01	5.10E-01
PD53338a	2.12E+00	1.41E+00	1.72E+00	1.09E+00	1.08E+00	2.66E+00	1.55E+00	4.92E-01	1.51E+00	1.18E+00
PD53339a	4.66E-01	1.22E+00	2.48E-01	2.66E+00	2.54E-01	1.63E+00	2.64E+00	5.26E-01	3.30E-01	2.33E+00
PD53341a	2.35E+00	9.65E-01	1.02E+00	2.22E-01	1.53E+00	2.61E+00	5.04E-01	2.13E-01	2.13E+00	1.24E+00
PD53342a	3.25E+00	1.30E+00	1.49E+00	2.19E-01	5.14E-01	3.62E+00	6.71E-01	2.18E-01	1.02E+00	1.63E+00
PD53343h	1.25E+00	8.83E-01	3.00E-01	8.88E-01	5.71E-01	1.14E+00	8.62E-01	0.00E+00	0.00E+00	1.70E-01
PD53343i	1.70E+00	1.22E+00	8.16E-01	6.63E-01	1.25E+00	1.45E+00	1.38E+00	0.00E+00	3.59E-02	4.12E-01
PD53345a	0.00E+00	1.79E+00	4.12E+00	2.53E+00	8.19E-01	2.60E-01	4.12E+00	2.17E-01	1.48E+00	6.20E-01
PD53346a	3.92E-01	3.77E+00	2.32E-01	4.41E+00	5.17E-01	3.97E+00	5.64E+00	1.75E+00	6.59E-02	3.95E+00
PD53347c	0.00E+00	1.65E+00	1.82E+00	3.70E-01	9.94E-01	1.91E+00	1.13E+00	2.91E+00	9.61E-01	9.90E-01
PD53348a	3.83E+00	2.36E+00	1.25E+00	3.35E-01	9.16E-01	4.67E+00	1.58E+00	7.72E-01	5.42E-01	1.77E+00
PD53349d	2.79E-01	1.44E+00	1.89E+00	1.73E+00	1.97E+00	6.53E-01	2.66E+00	1.34E+00	6.26E-01	4.40E-01
PD53349e	3.78E-01	4.51E-01	1.03E+00	1.73E+00	1.85E+00	8.27E-01	2.02E+00	1.29E+00	1.05E+00	5.71E-01
PD53350d	0.00E+00	2.02E+00	4.10E+00	2.43E+00	2.13E-01	2.26E-01	2.92E+00	4.58E-01	3.52E+00	6.74E-01
PD53350e	3.59E-02	1.99E+00	3.50E+00	2.20E+00	7.01E-01	2.86E-01	2.94E+00	7.17E-01	3.22E+00	5.20E-01
PD53351a	4.64E-01	8.40E+00	6.08E+00	2.62E+00	3.04E+00	3.94E+00	4.86E+00	3.19E+00	1.36E+00	4.60E-01
PD53352d	0.00E+00	1.46E+00	9.26E-01	3.08E+00	2.53E+00	1.04E+00	3.20E+00	6.58E-01	3.57E-01	3.29E-01
PD53352e	1.95E-01	2.09E+00	1.39E+00	2.95E+00	3.87E+00	7.98E-01	4.40E+00	5.43E-01	2.20E-01	2.62E-01
PD53353a	1.04E+00	8.85E-01	3.45E-01	1.63E+00	9.48E-01	1.30E+00	1.03E+00	1.29E+00	9.93E-01	8.38E-01
PD53354a	2.46E+00	8.26E-01	2.28E-01	3.76E-01	6.43E-01	2.41E+00	1.05E+00	0.00E+00	0.00E+00	8.00E-01
PD53355c	1.91E-01	1.34E+00	3.22E+00	2.34E+00	1.24E+00	4.56E-01	2.42E+00	9.17E-02	2.58E+00	2.31E-01
PD53357c	0.00E+00	2.27E+00	1.73E+00	2.12E+00	6.97E-01	8.86E-01	2.23E+00	6.72E-01	1.36E-01	8.21E-01
PD53357d	0.00E+00	2.72E+00	2.17E+00	2.21E+00	2.49E+00	1.20E+00	2.75E+00	1.01E+00	5.42E-01	2.79E-01
PD53357e	2.28E-01	1.76E+00	1.69E+00	2.31E+00	1.86E+00	1.06E+00	2.80E+00	1.13E+00	3.62E-01	3.35E-01
PD53358a	2.75E+00	1.47E+00	6.01E-01	8.84E-01	1.76E+00	3.13E+00	1.18E+00	3.58E-01	6.17E-01	1.19E+00
PD53359c	0.00E+00	2.15E+00	1.38E+00	1.92E+00	3.06E+00	1.44E+00	2.43E+00	2.48E+00	2.72E-01	6.05E-01
PD53361a	1.83E+00	1.49E+00	9.79E-01	2.53E-01	6.56E-01	1.76E+00	9.13E-01	3.38E-01	3.00E-02	9.30E-01
PD53362a	3.66E-01	1.82E+00	4.30E-01	2.09E+00	8.89E-01	1.16E+00	1.89E+00	6.65E-01	3.60E-01	8.64E-01
PD53363a	4.93E-01	5.65E-01	1.57E+00	1.36E+00	7.57E-01	7.42E-01	1.07E+00	3.91E-01	1.34E+00	2.35E-01
PD53364c	3.31E-01	4.84E+00	3.89E+00	2.41E+00	2.85E+00	1.95E+00	4.43E+00	1.85E+00	2.78E-01	6.06E-01
PD53365a	3.05E-01	4.03E+00	3.35E+00	2.87E+00	3.75E+00	1.66E+00	4.65E+00	4.11E-01	6.38E-01	1.05E-01
