MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
0:homdel:0-100kb	6.671984916867046e-05	0.0007501694964855688	0.00017632830547313462	0.0014627921347940287	0.0008458597145523328	0.0027136161122804483	0.0021870761396755077	0.0006984143474508642	0.0029803848842553295	0.014236919605445451
0:homdel:100kb-1Mb	0.0003301519327652791	1.843113899489879e-05	0.00014286080091836518	0.00047825147671570533	0.0010802540754687583	0.0007320350788809771	0.000215268546536862	0.004537639364802999	0.005079694513967183	0.050884850853193345
0:homdel:>1Mb	0.000553945652326604	2.1204132801537768e-05	2.0455250787421164e-07	0.0010694818886977941	4.795492235309952e-07	0.0029969489521105607	0.0011797159462751238	3.152988888799335e-07	0.0004151210684462425	0.19030178206035062
1:LOH:0-100kb	0.005011232317872309	0.0005386571966442944	0.0007578250382877627	0.0012707119504786135	0.0019514451518332977	0.0010979234288498673	0.001621621323540552	3.5678486782160234e-05	0.0001072574441059615	0.0025744077681457613
1:LOH:100kb-1Mb	0.013223059832848777	0.005908913360860545	0.0006482591545296402	0.005115615219615392	0.007683193453128822	0.02938054821430228	0.003991113728702374	0.005674421622661328	0.0010466079461411938	0.00874230530185784
1:LOH:1Mb-10Mb	0.02038713429235649	0.02952584963007439	0.001504557601412701	0.0011983030471071742	0.0028753067289869704	0.14926660741767592	0.004663953451913727	0.0058612533130748545	0.0006462357630857696	0.04700255666255004
1:LOH:10Mb-40Mb	0.031074187303545386	0.010872296424514687	0.0007284274072299723	0.0010679769700450948	0.003297668362775781	0.07099856008198799	0.0032065696522563768	8.489322073533145e-05	0.0020633761794326237	0.05546306088570873
1:LOH:>40Mb	0.03331883889656526	0.0036918483447518826	0.0004593975519164717	0.0003703702323001501	0.0017975172509504843	0.02760499039530295	0.0015389266466075925	4.4076764816658453e-07	0.010046549893231713	0.008100620047485699
2:LOH:0-100kb	0.001467484149992586	0.003836060919719557	0.0007524760251180146	0.001990933670471082	0.011752206760931827	0.00292403721252839	0.0032086551399528674	5.864523659383281e-05	0.0001583634222246033	0.0030925166869613463
2:LOH:100kb-1Mb	0.0016192686081927831	0.01891425732863354	0.02636002168481127	0.01924614056601399	0.08101685684174299	0.006817205531567652	0.054176671238358266	0.001788529026291883	0.0007545946325058139	0.0033536752512281966
2:LOH:1Mb-10Mb	0.009111108001143293	0.07063386754606654	0.054641267949991745	0.06406419925278897	0.0807017113873735	0.01880621224117931	0.07026846933877096	0.001284097570751328	0.061599528856618235	0.016354948288935703
2:LOH:10Mb-40Mb	0.0010232474997991404	0.04159602974460995	0.016030529572752812	0.04843179261009936	0.06877706684110307	0.013082070356877012	0.02380428860232314	4.309176105721235e-08	0.013498969455112047	0.002644561632889637
2:LOH:>40Mb	0.005673489324115337	0.01696377680959884	0.002663358956227739	0.04872864400799017	0.01651975226789034	0.011209949235856413	0.011066251310560347	0.013841411012615481	0.006860898774178849	0.01622181671536531
3-4:LOH:0-100kb	0.0031326597988019953	0.0023500686934345085	0.0011372484647282377	0.010171553364617125	0.019420532792238418	0.0035110438492057484	0.005260772228320434	0.0003605856040480404	0.0005127098447623268	0.011474058486299725
3-4:LOH:100kb-1Mb	0.0005964284111475493	0.003937882586682804	0.0011056334537551038	0.003960174951373006	0.07620467502194969	0.003768750162477659	0.013524817817245634	0.025159094083668378	0.008373438149636456	0.009273021763146972
3-4:LOH:1Mb-10Mb	0.00051922449235974	0.017913697225985743	0.0111359908639605	0.004914939654565842	0.04767048721681931	0.014838879547388046	0.012618165664628691	0.11924206610769034	0.043280694950371984	0.01590295060577098
3-4:LOH:10Mb-40Mb	4.713435316716641e-08	0.0032979498031988894	0.0005428509584400842	0.007723410208698667	0.023497802911040252	0.004684731565818509	0.007335759396202093	0.05786545393057167	0.0019141117824833032	0.00372588060820533
3-4:LOH:>40Mb	0.00010178275445330786	0.00207884663798378	2.837781437705189e-05	0.009128589140657511	0.005563259715241031	0.0026183969269398945	0.003678686163523679	0.02014223356595835	0.003019033675569833	0.002173954049164024
5-8:LOH:0-100kb	1.753468532683655e-07	0.004170914057800132	0.0004662145069923263	0.0007955454263932185	0.0021163895201205206	0.0030805577190812982	0.002779549935128358	0.000556311812398853	0.0006170050413591	0.0009809503334215197
5-8:LOH:100kb-1Mb	2.5194839067879114e-05	0.003058596262216753	0.0010795942327584385	0.0069528481924945144	0.006880596750625046	0.004082694876171047	0.009674051052248557	0.010353636202463008	0.006518262689785956	0.008132571487285745
5-8:LOH:1Mb-10Mb	0.0003005258250087195	0.005179224887042722	0.000487702301651467	0.007085089562696041	0.005917405159564169	0.010897869813892385	0.011912841267326542	0.03869966322391747	0.001862557200310846	0.006243255205604754
5-8:LOH:10Mb-40Mb	8.55199311526178e-05	0.0003810252510986345	9.632186834888756e-05	0.0012389008680263921	0.003238583223680145	0.0004358512290846317	0.004195390442550373	0.026519186631488764	0.0004308270572066775	0.00035373155793152865
5-8:LOH:>40Mb	0.0004449581982865425	0.0004109667665560757	0.0007486666482486015	0.0005349117945057813	0.00018864619817037464	0.00027223068711292877	0.0006350014005312654	0.003778187631980643	0.0021438406728239556	2.577777814849469e-07
9+:LOH:0-100kb	0.005175023744787382	0.0020848044503070894	0.0007756125612164766	0.005342794387241554	0.0005317606967415145	0.0027639801732183855	0.0031877481742104406	2.0148194153080114e-08	0.05000628181733191	0.007762654179677498
9+:LOH:100kb-1Mb	0.001500720822933701	4.6926289115845065e-07	0.002701603985289002	2.9162360683585575e-05	0.0025092425426453246	0.0017437287138350576	0.002132800900917289	0.00582840019854558	0.2048321309313178	0.002106350390273519
9+:LOH:1Mb-10Mb	0.0013110143621506865	0.001039969368152782	0.0005319203934619665	0.0001561470897020456	0.0003776374864791876	0.007364966686065202	0.0009594594681617253	0.001561449751259829	0.04767636506187671	0.00064549861874859
9+:LOH:10Mb-40Mb	1.2872122368889904e-06	2.882118213010099e-07	3.6335899556205755e-07	1.1456327518999388e-06	4.4500412030877796e-07	4.36720785224054e-07	6.648540392006907e-07	4.0939643660919953e-07	4.647477316314149e-07	5.853756934470767e-07
9+:LOH:>40Mb	1.2872122164253596e-06	2.8821179858917745e-07	3.633589797119585e-07	1.1456327843006874e-06	4.4500409837077117e-07	4.3672079531376084e-07	6.648540312426121e-07	4.093964350815327e-07	4.647477231779079e-07	5.85375697426116e-07
2:het:0-100kb	0.002098310620398749	0.00663561003097275	0.00216478654451258	0.0023787339952934163	0.06590811170443374	0.0025993580090670322	0.009651129450435043	3.982733421633355e-05	0.00045481577833356824	6.071212265126746e-05
2:het:100kb-1Mb	0.036747699298251744	0.015944278948047667	0.004226700122124782	0.010071823201794814	0.030714719302486627	0.028429181147928376	0.00922640068341451	0.011288020082283766	0.0050497302955955095	0.0035292128073251662
2:het:1Mb-10Mb	0.14610196113586427	0.019786831043902584	0.0018678530371103875	0.004258573232417233	0.0042251885901148966	0.16857525919432362	0.018734809702928602	8.420860188540491e-08	0.004005744060997216	0.14721890998126583
2:het:10Mb-40Mb	0.24000085934996604	0.010064926986574676	0.0014582701460264503	0.0018561258442732508	0.007183495825457413	0.11246422853271724	0.008100278634294824	1.554456249841841e-07	0.003799238666397997	0.11149832986779301
2:het:>40Mb	0.3322350215911865	0.009546861258911932	0.003071977574928206	7.842306194660864e-07	0.001362848780751733	0.02303525678969251	0.0024369693984945683	1.8089158849932117e-07	0.004608672547963124	0.03142812495366684
3-4:het:0-100kb	0.0019959344906041567	0.012837033422587183	0.0055701420945649715	0.006851222283136735	0.06866962880834535	0.006253489932421985	0.02158226868252143	0.0036674840885743266	0.003930972544727638	0.0036272491059237666
