MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
0:homdel:0-100kb	2.77E-05	2.95E-04	8.77E-05	3.26E-04	1.70E-04	3.99E-04	6.14E-04	2.14E-04	3.85E-04	9.98E-04
0:homdel:100kb-1Mb	1.74E-04	1.83E-05	7.76E-05	3.95E-04	2.16E-04	3.50E-04	1.66E-04	3.57E-04	4.47E-04	2.47E-03
0:homdel:>1Mb	4.46E-04	1.53E-05	4.01E-08	9.00E-04	7.24E-08	1.42E-03	1.18E-03	2.61E-08	2.14E-04	7.49E-03
1:LOH:0-100kb	3.67E-04	2.03E-04	2.12E-04	2.22E-04	2.99E-04	2.79E-04	2.72E-04	3.55E-05	5.88E-05	3.17E-04
1:LOH:100kb-1Mb	9.26E-04	1.09E-03	2.96E-04	6.81E-04	1.22E-03	1.80E-03	9.45E-04	4.04E-04	3.51E-04	9.91E-04
1:LOH:1Mb-10Mb	3.05E-03	4.69E-03	7.98E-04	6.94E-04	1.63E-03	8.73E-03	1.91E-03	6.68E-04	3.87E-04	3.86E-03
1:LOH:10Mb-40Mb	2.28E-03	2.36E-03	3.14E-04	4.20E-04	2.21E-03	4.88E-03	2.02E-03	8.47E-05	6.40E-04	3.55E-03
1:LOH:>40Mb	2.10E-03	2.19E-03	1.50E-04	1.60E-04	1.47E-03	2.91E-03	1.02E-03	2.63E-07	9.21E-04	1.45E-03
2:LOH:0-100kb	2.37E-04	7.50E-04	4.08E-04	3.74E-04	1.19E-03	9.92E-04	5.66E-04	5.83E-05	1.58E-04	4.48E-04
2:LOH:100kb-1Mb	3.40E-04	2.13E-03	2.21E-03	2.64E-03	4.55E-03	1.31E-03	4.60E-03	2.74E-04	3.91E-04	5.12E-04
2:LOH:1Mb-10Mb	1.36E-03	5.58E-03	4.93E-03	6.39E-03	4.83E-03	3.21E-03	6.01E-03	2.74E-04	3.74E-03	1.44E-03
2:LOH:10Mb-40Mb	2.60E-04	3.88E-03	2.22E-03	3.63E-03	3.74E-03	2.68E-03	3.18E-03	1.65E-08	1.37E-03	5.05E-04
2:LOH:>40Mb	8.63E-04	3.20E-03	5.92E-04	3.84E-03	2.93E-03	3.91E-03	3.14E-03	1.31E-03	1.95E-03	2.18E-03
3-4:LOH:0-100kb	4.30E-04	6.99E-04	3.94E-04	1.07E-03	1.47E-03	7.97E-04	8.34E-04	3.34E-04	1.95E-04	1.07E-03
3-4:LOH:100kb-1Mb	1.73E-04	1.06E-03	3.24E-04	1.17E-03	5.49E-03	1.90E-03	1.94E-03	1.82E-03	1.25E-03	9.97E-04
3-4:LOH:1Mb-10Mb	5.12E-04	2.57E-03	1.44E-03	1.61E-03	4.45E-03	3.84E-03	1.99E-03	3.56E-03	2.00E-03	4.29E-03
3-4:LOH:10Mb-40Mb	1.80E-08	1.19E-03	2.12E-04	1.46E-03	2.97E-03	2.12E-03	1.79E-03	2.77E-03	5.68E-04	1.29E-03
3-4:LOH:>40Mb	1.00E-04	6.57E-04	2.84E-05	1.01E-03	9.88E-04	7.37E-04	7.22E-04	1.28E-03	5.11E-04	6.15E-04
5-8:LOH:0-100kb	4.19E-08	4.63E-04	1.72E-04	1.77E-04	3.96E-04	4.53E-04	4.50E-04	2.16E-04	2.55E-04	2.96E-04
5-8:LOH:100kb-1Mb	2.26E-05	4.74E-04	2.48E-04	9.08E-04	1.03E-03	5.51E-04	1.29E-03	8.49E-04	1.02E-03	8.45E-04
5-8:LOH:1Mb-10Mb	1.19E-04	9.97E-04	2.31E-04	1.60E-03	1.24E-03	1.15E-03	2.72E-03	2.72E-03	1.86E-03	8.22E-04
5-8:LOH:10Mb-40Mb	8.01E-05	2.40E-04	9.58E-05	4.11E-04	9.29E-04	3.06E-04	1.34E-03	1.36E-03	4.31E-04	2.73E-04
5-8:LOH:>40Mb	1.02E-04	1.51E-04	1.78E-04	1.86E-04	1.18E-04	9.33E-05	2.45E-04	4.29E-04	3.54E-04	5.56E-08
9+:LOH:0-100kb	5.28E-04	1.01E-03	3.05E-04	8.99E-04	2.76E-04	7.23E-04	6.36E-04	1.13E-08	2.56E-03	1.18E-03
9+:LOH:100kb-1Mb	1.50E-03	2.52E-07	1.09E-03	2.85E-05	1.10E-03	9.56E-04	8.01E-04	7.92E-04	7.34E-03	8.52E-04
9+:LOH:1Mb-10Mb	8.83E-04	1.95E-04	1.84E-04	1.38E-04	2.95E-04	1.03E-03	3.87E-04	2.64E-04	2.18E-03	3.62E-04
9+:LOH:10Mb-40Mb	1.54E-08	2.71E-08	2.43E-08	2.21E-08	2.09E-08	2.91E-08	2.05E-08	9.59E-09	1.66E-08	1.69E-08
9+:LOH:>40Mb	1.54E-08	2.71E-08	2.43E-08	2.21E-08	2.09E-08	2.91E-08	2.05E-08	9.59E-09	1.66E-08	1.69E-08
2:het:0-100kb	3.70E-04	1.76E-03	8.92E-04	7.77E-04	3.77E-03	1.28E-03	1.75E-03	3.96E-05	3.52E-04	6.06E-05
2:het:100kb-1Mb	1.59E-03	2.69E-03	1.59E-03	1.31E-03	3.05E-03	4.98E-03	1.49E-03	7.45E-04	1.19E-03	6.58E-04
2:het:1Mb-10Mb	4.18E-03	5.37E-03	1.31E-03	1.35E-03	3.38E-03	1.02E-02	4.54E-03	4.57E-08	1.65E-03	6.78E-03
2:het:10Mb-40Mb	3.74E-03	3.76E-03	1.46E-03	1.05E-03	3.96E-03	8.66E-03	2.97E-03	2.38E-08	1.98E-03	5.48E-03
2:het:>40Mb	6.31E-03	4.79E-03	2.65E-03	3.39E-07	1.16E-03	4.53E-03	2.13E-03	2.59E-08	2.26E-03	4.06E-03
3-4:het:0-100kb	3.71E-04	1.81E-03	1.24E-03	1.46E-03	3.62E-03	1.69E-03	2.31E-03	4.47E-04	7.57E-04	5.55E-04
3-4:het:100kb-1Mb	1.19E-03	4.03E-03	3.41E-03	1.02E-03	4.67E-03	2.23E-03	3.42E-03	7.75E-04	1.25E-03	1.17E-03
