Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.971	42.385	36.539%	8.289	24.069%	0.2527	0.961
PD53331a	169	0.992	32.304	19.115%	6.751	13.117%	0.0735	0.99
PD53332d	162	0.977	47.078	29.06%	9.813	21.987%	0.13149	0.968
PD53332e	90	0.973	40.258	44.731%	9.388	25.272%	0.27126	0.971
PD53333f	203	0.962	71.051	35.0%	15.519	28.443%	0.1683	0.949
PD53334a	135	0.97	44.576	33.019%	9.422	24.483%	0.19659	0.959
PD53337a	76	0.95	35.05	46.118%	8.665	31.308%	0.33668	0.94
PD53337c	85	0.979	26.069	30.669%	5.441	20.405%	0.1937	0.974
PD53338a	190	0.951	67.556	35.556%	14.245	31.115%	0.12992	0.923
PD53339a	126	0.957	49.267	39.101%	10.263	29.407%	0.20299	0.942
PD53341a	177	0.979	46.888	26.49%	9.515	20.798%	0.08534	0.971
PD53342a	167	0.971	56.149	33.622%	14.148	26.877%	0.1394	0.966
PD53343h	85	0.98	25.613	30.133%	5.952	20.451%	0.13429	0.977
PD53343i	105	0.964	40.759	38.818%	8.699	27.578%	0.18027	0.955
PD53345a	173	0.964	56.46	32.636%	14.602	27.58%	0.14253	0.955
PD53346a	165	0.89	105.05	63.667%	25.039	48.34%	0.38047	0.87
PD53347c	261	0.996	32.601	12.491%	8.506	10.334%	0.02627	0.995
PD53348a	173	0.963	52.735	30.483%	12.962	27.104%	0.14836	0.948
PD53349d	157	0.965	50.494	32.162%	9.851	27.165%	0.12467	0.944
PD53349e	134	0.951	47.553	35.487%	9.581	32.298%	0.18027	0.918
PD53350d	190	0.967	62.727	33.014%	14.068	26.242%	0.13478	0.956
PD53350e	187	0.964	56.974	30.467%	14.302	27.611%	0.11087	0.951
PD53351a	369	0.984	81.04	21.962%	17.015	17.639%	0.0706	0.978
PD53352d	138	0.966	48.966	35.483%	10.369	25.81%	0.1672	0.955
PD53352e	178	0.97	56.241	31.596%	11.968	24.89%	0.10619	0.959
PD53353a	105	0.907	51.154	48.718%	11.351	42.157%	0.2665	0.86
PD53354a	102	0.978	32.91	32.265%	7.562	21.203%	0.16354	0.973
PD53355c	156	0.964	54.937	35.216%	12.302	27.318%	0.14479	0.952
PD53357c	124	0.973	39.904	32.181%	8.925	23.973%	0.1641	0.965
PD53357d	181	0.976	49.4	27.293%	10.511	22.204%	0.12668	0.966
PD53357e	162	0.975	41.952	25.896%	9.098	22.157%	0.12731	0.964
PD53358a	166	0.961	50.159	30.216%	11.577	27.915%	0.12196	0.94
PD53359c	186	0.956	57.463	30.894%	12.289	29.309%	0.12824	0.925
PD53361a	124	0.986	33.095	26.69%	6.693	17.565%	0.12738	0.983
PD53362a	107	0.969	41.998	39.25%	7.876	24.795%	0.20046	0.959
PD53363a	94	0.932	42.538	45.253%	9.307	36.282%	0.20222	0.904
PD53364c	252	0.98	67.468	26.773%	14.114	20.196%	0.12941	0.973
PD53365a	230	0.972	65.257	28.373%	14.689	24.333%	0.13337	0.961
PD53366a	77	0.911	40.808	52.997%	9.516	41.531%	0.34111	0.882
PD53367a	134	0.973	40.507	30.229%	8.547	23.125%	0.11065	0.963
PD53368a	258	0.969	83.491	32.361%	17.123	25.503%	0.12497	0.956
PD53369a	118	0.943	47.2	40.0%	11.912	33.243%	0.20824	0.926
