Samples	SBSCNVA
PD53330c	116
PD53331a	169
PD53332d	162
PD53332e	90
PD53333f	203
PD53334a	135
PD53337a	76
PD53337c	85
PD53338a	190
PD53339a	126
PD53341a	177
PD53342a	167
PD53343h	85
PD53343i	105
PD53345a	173
PD53346a	165
PD53347c	261
PD53348a	173
PD53349d	157
PD53349e	134
PD53350d	190
PD53350e	187
PD53351a	369
PD53352d	138
PD53352e	178
PD53353a	105
PD53354a	102
PD53355c	156
PD53357c	124
PD53357d	181
PD53357e	162
PD53358a	166
PD53359c	186
PD53361a	124
PD53362a	107
PD53363a	94
PD53364c	252
PD53365a	230
PD53366a	77
PD53367a	134
PD53368a	258
PD53369a	118
