MutationType	SBSCNVA
0:homdel:0-100kb	4.48E-05
0:homdel:100kb-1Mb	6.16E-05
0:homdel:>1Mb	1.06E-04
1:LOH:0-100kb	5.31E-05
1:LOH:100kb-1Mb	1.13E-04
1:LOH:1Mb-10Mb	1.95E-04
1:LOH:10Mb-40Mb	1.60E-04
1:LOH:>40Mb	1.22E-04
2:LOH:0-100kb	6.33E-05
2:LOH:100kb-1Mb	2.03E-04
2:LOH:1Mb-10Mb	2.85E-04
2:LOH:10Mb-40Mb	1.74E-04
2:LOH:>40Mb	1.45E-04
3-4:LOH:0-100kb	9.51E-05
3-4:LOH:100kb-1Mb	1.27E-04
3-4:LOH:1Mb-10Mb	1.87E-04
3-4:LOH:10Mb-40Mb	1.23E-04
3-4:LOH:>40Mb	8.89E-05
5-8:LOH:0-100kb	4.56E-05
5-8:LOH:100kb-1Mb	7.62E-05
5-8:LOH:1Mb-10Mb	1.24E-04
5-8:LOH:10Mb-40Mb	6.33E-05
5-8:LOH:>40Mb	3.50E-05
9+:LOH:0-100kb	1.03E-04
9+:LOH:100kb-1Mb	1.44E-04
9+:LOH:1Mb-10Mb	6.76E-05
9+:LOH:10Mb-40Mb	2.26E-14
9+:LOH:>40Mb	2.21E-14
2:het:0-100kb	1.05E-04
2:het:100kb-1Mb	1.60E-04
2:het:1Mb-10Mb	2.60E-04
2:het:10Mb-40Mb	2.73E-04
2:het:>40Mb	2.33E-04
3-4:het:0-100kb	1.51E-04
3-4:het:100kb-1Mb	2.14E-04
3-4:het:1Mb-10Mb	3.64E-04
3-4:het:10Mb-40Mb	2.97E-04
3-4:het:>40Mb	2.92E-04
5-8:het:0-100kb	1.30E-04
5-8:het:100kb-1Mb	2.27E-04
5-8:het:1Mb-10Mb	3.05E-04
5-8:het:10Mb-40Mb	1.73E-04
5-8:het:>40Mb	1.33E-04
9+:het:0-100kb	1.43E-04
9+:het:100kb-1Mb	2.56E-04
9+:het:1Mb-10Mb	2.34E-04
9+:het:10Mb-40Mb	5.80E-05
9+:het:>40Mb	1.46E-05
