Samples	SBSCNVA	SBSCNVB
PD53330c	13	103
PD53331a	0	169
PD53332d	158	4
PD53332e	0	90
PD53333f	202	1
PD53334a	29	106
PD53337a	0	76
PD53337c	9	76
PD53338a	92	98
PD53339a	78	48
PD53341a	44	133
PD53342a	7	160
PD53343h	14	71
PD53343i	26	79
PD53345a	173	0
PD53346a	123	42
PD53347c	261	0
PD53348a	33	140
PD53349d	150	7
PD53349e	124	10
PD53350d	189	1
PD53350e	184	3
PD53351a	329	40
PD53352d	138	0
PD53352e	175	3
PD53353a	74	31
PD53354a	0	102
PD53355c	154	2
PD53357c	124	0
PD53357d	179	2
PD53357e	154	8
PD53358a	29	137
PD53359c	186	0
PD53361a	20	104
PD53362a	98	9
PD53363a	79	15
PD53364c	239	13
PD53365a	219	11
PD53366a	9	68
PD53367a	34	100
PD53368a	245	13
PD53369a	20	98
