Samples	SBSCNVA	SBSCNVB
PD53330c	9.37E-01	9.38E-01
PD53331a	5.79E-01	5.79E-01
PD53332d	2.73E-01	2.73E-01
PD53332e	4.37E-01	4.37E-01
PD53333f	0.00E+00	0.00E+00
PD53334a	1.11E+00	1.11E+00
PD53337a	5.72E-01	5.72E-01
PD53337c	7.16E-01	7.16E-01
PD53338a	1.31E+00	1.31E+00
PD53339a	7.27E-01	7.27E-01
PD53341a	1.47E+00	1.47E+00
PD53342a	8.94E-01	8.94E-01
PD53343h	6.14E-01	6.14E-01
PD53343i	8.42E-01	8.42E-01
PD53345a	0.00E+00	0.00E+00
PD53346a	7.52E-01	7.51E-01
PD53347c	0.00E+00	0.00E+00
PD53348a	1.06E+00	1.06E+00
PD53349d	3.00E-01	3.00E-01
PD53349e	4.17E-01	4.17E-01
PD53350d	7.25E-02	7.25E-02
PD53350e	2.20E-01	2.20E-01
PD53351a	9.11E-01	9.11E-01
PD53352d	1.92E-01	1.92E-01
PD53352e	2.89E-01	2.89E-01
PD53353a	6.42E-01	6.42E-01
PD53354a	9.36E-02	9.36E-02
PD53355c	2.45E-01	2.46E-01
PD53357c	1.72E-01	1.72E-01
PD53357d	0.00E+00	0.00E+00
PD53357e	3.66E-01	3.66E-01
PD53358a	1.26E+00	1.26E+00
PD53359c	0.00E+00	0.00E+00
PD53361a	9.42E-01	9.43E-01
PD53362a	5.37E-01	5.37E-01
PD53363a	4.67E-01	4.67E-01
PD53364c	5.26E-01	5.26E-01
PD53365a	4.57E-01	4.57E-01
PD53366a	5.78E-01	5.78E-01
PD53367a	1.19E+00	1.19E+00
PD53368a	5.51E-01	5.52E-01
PD53369a	8.66E-01	8.65E-01
