Samples	SBSCNVA	SBSCNVB	SBSCNVC
PD53330c	14	92	10
PD53331a	19	150	0
PD53332d	98	0	64
PD53332e	4	86	0
PD53333f	203	0	0
PD53334a	12	92	31
PD53337a	3	72	1
PD53337c	16	69	0
PD53338a	43	79	68
PD53339a	84	42	0
PD53341a	0	101	76
PD53342a	0	129	38
PD53343h	21	64	0
PD53343i	34	71	0
PD53345a	138	0	35
PD53346a	107	36	22
PD53347c	0	0	261
PD53348a	12	119	42
PD53349d	129	5	23
PD53349e	99	6	29
PD53350d	92	0	98
PD53350e	94	0	93
PD53351a	202	26	141
PD53352d	138	0	0
PD53352e	176	2	0
PD53353a	60	27	18
PD53354a	1	101	0
PD53355c	107	0	49
PD53357c	114	0	10
PD53357d	157	0	24
PD53357e	141	5	16
PD53358a	20	119	27
PD53359c	134	0	52
PD53361a	16	92	16
PD53362a	99	8	0
PD53363a	60	12	22
PD53364c	199	9	44
PD53365a	189	7	34
PD53366a	0	58	19
PD53367a	0	73	61
PD53368a	169	7	82
PD53369a	10	87	21
