Samples	SBSCNVA	SBSCNVB	SBSCNVC
PD53330c	9.33E-01	1.18E+00	1.04E+00
PD53331a	1.62E+00	2.83E+00	2.75E+00
PD53332d	2.68E+00	2.48E-01	2.66E+00
PD53332e	6.89E-01	6.92E-01	3.64E-01
PD53333f	3.22E+00	0.00E+00	3.22E+00
PD53334a	1.05E+00	1.30E+00	1.37E+00
PD53337a	6.53E-01	6.01E-01	5.14E-01
PD53337c	7.57E-01	7.33E-01	3.91E-01
PD53338a	1.72E+00	1.89E+00	2.36E+00
PD53339a	1.96E+00	1.56E+00	2.27E+00
PD53341a	1.02E+00	1.96E+00	2.29E+00
PD53342a	5.84E-01	2.17E+00	2.34E+00
PD53343h	6.84E-01	6.38E-01	2.59E-01
PD53343i	1.06E+00	1.14E+00	1.02E+00
PD53345a	3.83E+00	0.00E+00	3.83E+00
PD53346a	3.31E+00	1.31E+00	3.26E+00
PD53347c	8.27E+00	0.00E+00	8.27E+00
PD53348a	8.19E-01	2.72E+00	2.76E+00
PD53349d	2.17E+00	2.90E-01	2.15E+00
PD53349e	1.95E+00	3.69E-01	1.89E+00
PD53350d	4.51E+00	2.00E-02	4.50E+00
PD53350e	4.19E+00	1.17E-01	4.19E+00
PD53351a	5.58E+00	1.00E+00	5.43E+00
PD53352d	1.93E+00	1.36E-01	1.92E+00
PD53352e	2.39E+00	2.66E-01	2.43E+00
PD53353a	1.97E+00	7.58E-01	1.89E+00
PD53354a	2.99E-01	1.03E+00	1.01E+00
PD53355c	3.29E+00	2.05E-01	3.28E+00
PD53357c	2.09E+00	1.40E-01	2.10E+00
PD53357d	2.82E+00	0.00E+00	2.82E+00
PD53357e	2.46E+00	3.94E-01	2.44E+00
PD53358a	1.25E+00	2.04E+00	1.97E+00
PD53359c	3.08E+00	0.00E+00	3.08E+00
PD53361a	9.45E-01	1.33E+00	1.36E+00
PD53362a	1.51E+00	5.90E-01	1.59E+00
PD53363a	1.46E+00	4.20E-01	1.42E+00
PD53364c	3.98E+00	4.68E-01	4.00E+00
PD53365a	4.70E+00	4.24E-01	4.64E+00
PD53366a	5.45E-01	5.55E-01	6.40E-01
PD53367a	7.97E-01	1.63E+00	1.92E+00
PD53368a	3.62E+00	5.88E-01	3.52E+00
PD53369a	1.06E+00	1.02E+00	1.24E+00
