MutationType	SBSCNVA	SBSCNVB	SBSCNVC
0:homdel:0-100kb	0.0007210736585074252	0.002683997707879513	0.0024713656981899847
0:homdel:100kb-1Mb	0.0009126561393355859	0.006534384440656709	0.004538166741927654
0:homdel:>1Mb	0.0022554835788363902	0.02340120857552961	0.0057587301704310435
1:LOH:0-100kb	0.001169781010005977	0.00348968515812885	0.00016889400215861272
1:LOH:100kb-1Mb	0.003553553921296384	0.01843171979766339	0.004695774310896504
1:LOH:1Mb-10Mb	0.0055010128405149315	0.06661183543497827	0.014012885612931071
1:LOH:10Mb-40Mb	0.0010319605993281478	0.05171211062973953	0.004939288874516059
1:LOH:>40Mb	0.0001094385414127963	0.03037722934037447	0.003776114867627527
2:LOH:0-100kb	0.0035616910633689256	0.002868296399140604	0.0004772174021619045
2:LOH:100kb-1Mb	0.04221340876538306	0.006180735350685609	0.0037671088476385253
2:LOH:1Mb-10Mb	0.081280468814075	0.019090002267621458	0.018770644059498097
2:LOH:10Mb-40Mb	0.04437772212550044	0.005514865374425426	0.005399945434128686
2:LOH:>40Mb	0.017704979798290877	0.00931140705710277	0.008783456868206975
3-4:LOH:0-100kb	0.007051667913328856	0.00457356077621597	0.0007219664099738177
3-4:LOH:100kb-1Mb	0.016197954262606798	0.0027903597344496943	0.012459286951343528
3-4:LOH:1Mb-10Mb	0.01906135484110564	0.0018951205874669342	0.06094151199329644
3-4:LOH:10Mb-40Mb	0.01003257451459575	3.9192531434402154e-05	0.01695885806743476
3-4:LOH:>40Mb	0.004827907813115004	4.7915616976705875e-05	0.00756900469252507
5-8:LOH:0-100kb	0.002494768512644896	0.00037373356180228965	0.0011020820354428196
5-8:LOH:100kb-1Mb	0.006004722608486191	0.0011356266639250467	0.007479426316293498
5-8:LOH:1Mb-10Mb	0.006765106349173493	0.002754871402742278	0.015571572585889157
5-8:LOH:10Mb-40Mb	0.0017074459291844236	0.00019317302053482256	0.00914993788060734
5-8:LOH:>40Mb	0.0001714207216804553	0.00020258724199610613	0.00273685545091503
9+:LOH:0-100kb	0.0012914822419273263	0.00652397289380815	0.014079774284293101
9+:LOH:100kb-1Mb	0.0018452861749403394	0.0026570887079768114	0.05929329104590522
9+:LOH:1Mb-10Mb	0.00030520834286274835	0.003582160032048094	0.014540524379213337
9+:LOH:10Mb-40Mb	5.814551792582278e-07	9.230869005705245e-07	4.115121535619437e-07
9+:LOH:>40Mb	5.814551809635305e-07	9.230868880649723e-07	4.115121481618189e-07
2:het:0-100kb	0.015669345017522575	0.0023558320035260037	0.00045645990604797237
2:het:100kb-1Mb	0.01230746077373624	0.0281913486123085	0.007968940886676136
2:het:1Mb-10Mb	0.004039555771291086	0.16166707403957845	0.01097192844190808
2:het:10Mb-40Mb	0.001056942926057962	0.184514672011137	0.008298080042908053
2:het:>40Mb	3.2879514014982904e-07	0.1862470807135105	0.0019089688946358051
3-4:het:0-100kb	0.023111247420310975	0.004619847567232687	0.0030245387240429977
3-4:het:100kb-1Mb	0.053600114304572344	0.022136656185612082	0.014791619721800089
3-4:het:1Mb-10Mb	0.12924370050430298	0.056645936090499165	0.04426825912669301
3-4:het:10Mb-40Mb	0.11628886960446834	0.013069405872231528	0.04433114676736295
3-4:het:>40Mb	0.12022524125874043	0.014427308368667582	0.026801734335660986
5-8:het:0-100kb	0.018482379890047015	0.0037108972564561782	0.007436169730808899
5-8:het:100kb-1Mb	0.04947219537338242	0.028419281607493758	0.03153164296876639
5-8:het:1Mb-10Mb	0.06250856360420584	0.009490187045579433	0.15435839982703328
5-8:het:10Mb-40Mb	0.023327116645649824	0.0005671731192957318	0.05734925780447156
5-8:het:>40Mb	0.015686189602129162	2.6185647747922757e-08	0.014499481807654958
9+:het:0-100kb	0.01893825051607564	0.0027412976310384352	0.01294000100856458
9+:het:100kb-1Mb	0.0351318285059358	0.005304335470725547	0.1326654274109751
9+:het:1Mb-10Mb	0.01792428683821015	0.0022376772368569676	0.11829092294443398
9+:het:10Mb-40Mb	0.0008021441367560067	0.0006747177389283365	0.007410867237036114
9+:het:>40Mb	3.294491047018511e-05	5.579605952732436e-07	0.0005316404832802846
