MutationType	SBSCNVA	SBSCNVB	SBSCNVC
0:homdel:0-100kb	2.03E-04	1.76E-04	3.17E-04
0:homdel:100kb-1Mb	4.93E-04	3.08E-04	5.10E-04
0:homdel:>1Mb	1.17E-03	9.55E-04	1.77E-03
1:LOH:0-100kb	7.87E-05	1.61E-04	6.03E-05
1:LOH:100kb-1Mb	2.78E-04	3.84E-04	5.22E-04
1:LOH:1Mb-10Mb	9.88E-04	1.39E-03	2.51E-03
1:LOH:10Mb-40Mb	3.82E-04	9.60E-04	1.56E-03
1:LOH:>40Mb	4.21E-05	4.57E-04	5.84E-04
2:LOH:0-100kb	1.44E-04	1.73E-04	1.84E-04
2:LOH:100kb-1Mb	8.43E-04	3.57E-04	7.78E-04
2:LOH:1Mb-10Mb	1.54E-03	6.02E-04	2.18E-03
2:LOH:10Mb-40Mb	8.42E-04	3.16E-04	9.13E-04
2:LOH:>40Mb	4.56E-04	3.51E-04	8.82E-04
3-4:LOH:0-100kb	1.98E-04	1.98E-04	2.50E-04
3-4:LOH:100kb-1Mb	4.75E-04	2.34E-04	7.36E-04
3-4:LOH:1Mb-10Mb	8.98E-04	2.54E-04	2.24E-03
3-4:LOH:10Mb-40Mb	4.85E-04	2.32E-05	1.15E-03
3-4:LOH:>40Mb	2.79E-04	2.18E-05	5.27E-04
5-8:LOH:0-100kb	1.71E-04	7.11E-05	2.09E-04
5-8:LOH:100kb-1Mb	2.43E-04	1.25E-04	3.96E-04
5-8:LOH:1Mb-10Mb	3.99E-04	2.34E-04	9.09E-04
5-8:LOH:10Mb-40Mb	2.12E-04	5.11E-05	5.42E-04
5-8:LOH:>40Mb	3.94E-05	3.91E-05	2.01E-04
9+:LOH:0-100kb	1.59E-04	3.69E-04	9.22E-04
9+:LOH:100kb-1Mb	4.65E-04	7.57E-04	2.41E-03
9+:LOH:1Mb-10Mb	7.50E-05	3.84E-04	7.34E-04
9+:LOH:10Mb-40Mb	3.44E-09	4.07E-09	7.73E-09
9+:LOH:>40Mb	3.44E-09	4.07E-09	7.73E-09
2:het:0-100kb	3.72E-04	1.88E-04	1.95E-04
2:het:100kb-1Mb	2.60E-04	4.63E-04	5.36E-04
2:het:1Mb-10Mb	1.58E-03	1.67E-03	3.82E-03
2:het:10Mb-40Mb	7.83E-04	1.45E-03	3.21E-03
2:het:>40Mb	3.75E-08	1.84E-03	1.18E-03
3-4:het:0-100kb	4.11E-04	2.57E-04	4.07E-04
3-4:het:100kb-1Mb	9.25E-04	6.47E-04	1.30E-03
3-4:het:1Mb-10Mb	1.46E-03	9.83E-04	2.75E-03
3-4:het:10Mb-40Mb	1.29E-03	6.48E-04	2.01E-03
3-4:het:>40Mb	1.48E-03	6.89E-04	2.77E-03
5-8:het:0-100kb	4.36E-04	2.63E-04	5.72E-04
5-8:het:100kb-1Mb	1.10E-03	6.46E-04	1.76E-03
5-8:het:1Mb-10Mb	1.76E-03	9.89E-04	4.91E-03
5-8:het:10Mb-40Mb	1.52E-03	2.13E-04	3.32E-03
5-8:het:>40Mb	4.35E-04	2.01E-08	1.04E-03
9+:het:0-100kb	5.20E-04	2.28E-04	8.46E-04
9+:het:100kb-1Mb	2.48E-03	9.57E-04	5.95E-03
9+:het:1Mb-10Mb	1.36E-03	5.60E-04	3.64E-03
9+:het:10Mb-40Mb	1.80E-04	9.74E-05	4.60E-04
9+:het:>40Mb	1.34E-05	3.15E-08	7.18E-05
