NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	87.597	58.374	21.13	48.102	0.346	0.826	20000.0
2	89.844	59.579	21.856	48.754	0.357	0.821	30000.0
3	88.958	58.923	21.774	48.524	0.346	0.823	30000.0
4	87.577	58.676	21.722	48.655	0.351	0.824	20000.0
5	89.11	58.927	21.521	47.438	0.352	0.835	20000.0
6	88.32	58.608	21.602	47.703	0.357	0.828	30000.0
7	86.138	57.117	21.134	47.14	0.341	0.833	40000.0
8	88.106	57.921	21.148	47.002	0.341	0.834	30000.0
9	87.385	57.623	21.085	46.382	0.334	0.839	20000.0
10	87.263	57.446	21.19	47.812	0.34	0.829	20000.0
11	88.483	59.375	21.887	48.816	0.354	0.819	20000.0
12	88.861	58.117	21.739	47.757	0.342	0.83	20000.0
13	84.048	56.094	20.095	45.68	0.326	0.842	20000.0
14	89.005	58.281	21.653	47.985	0.349	0.828	30000.0
15	89.041	58.681	21.747	48.133	0.345	0.826	30000.0
16	86.921	57.246	21.819	48.217	0.343	0.825	30000.0
17	86.507	57.778	21.197	47.434	0.335	0.834	20000.0
18	90.114	58.702	21.836	48.118	0.355	0.824	30000.0
19	87.873	57.904	21.263	47.738	0.345	0.827	20000.0
20	90.365	59.516	21.745	48.298	0.353	0.823	30000.0
21	87.265	58.136	21.608	48.084	0.34	0.827	20000.0
22	85.949	56.913	20.785	46.481	0.338	0.838	20000.0
23	90.086	58.463	21.958	47.925	0.342	0.825	20000.0
24	89.88	59.591	21.897	49.179	0.351	0.816	50000.0
25	88.128	58.634	21.353	47.811	0.346	0.831	20000.0
26	87.68	58.405	21.417	47.37	0.342	0.835	40000.0
27	85.624	57.288	20.741	46.761	0.329	0.836	30000.0
28	88.328	58.749	21.504	48.229	0.345	0.825	20000.0
29	85.833	57.393	20.545	46.867	0.341	0.835	30000.0
30	87.973	58.848	20.827	47.305	0.351	0.831	20000.0
31	90.116	60.518	22.356	49.888	0.359	0.814	20000.0
32	87.684	58.486	21.033	47.525	0.346	0.831	30000.0
33	86.498	57.804	21.301	47.851	0.348	0.829	30000.0
34	88.134	58.72	21.781	47.978	0.342	0.833	20000.0
35	88.599	58.057	21.351	47.063	0.342	0.834	20000.0
36	86.681	57.048	21.039	46.828	0.336	0.835	20000.0
37	88.074	58.184	21.325	47.304	0.336	0.836	20000.0
38	87.299	57.974	21.453	48.018	0.343	0.828	20000.0
39	90.81	60.032	22.409	49.535	0.36	0.816	30000.0
40	91.647	60.33	22.402	49.832	0.359	0.813	20000.0
41	90.84	60.576	22.072	49.524	0.363	0.816	20000.0
42	88.757	59.353	22.001	49.019	0.352	0.82	20000.0
43	89.365	58.963	21.935	48.55	0.357	0.826	20000.0
44	88.489	58.6	21.657	48.567	0.347	0.822	30000.0
45	86.054	56.902	21.511	47.927	0.345	0.827	30000.0
46	89.565	59.666	21.422	48.336	0.353	0.823	20000.0
47	92.095	60.368	22.239	49.526	0.357	0.815	20000.0
48	88.086	58.664	21.545	48.423	0.353	0.824	20000.0
