Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD
PD53330c	15	88	7	6
PD53331a	24	140	0	5
PD53332d	69	0	34	59
PD53332e	7	80	3	0
PD53333f	189	0	14	0
PD53334a	10	87	21	17
PD53337a	4	68	0	4
PD53337c	19	66	0	0
PD53338a	35	76	78	1
PD53339a	64	36	0	26
PD53341a	0	99	78	0
PD53342a	0	124	43	0
PD53343h	23	62	0	0
PD53343i	37	68	0	0
PD53345a	107	0	66	0
PD53346a	66	29	0	70
PD53347c	0	0	26	235
PD53348a	10	112	17	34
PD53349d	102	4	24	27
PD53349e	82	5	33	14
PD53350d	68	0	122	0
PD53350e	72	0	115	0
PD53351a	151	22	74	122
PD53352d	133	0	0	5
PD53352e	173	3	0	2
PD53353a	44	23	0	38
PD53354a	7	95	0	0
PD53355c	78	0	78	0
PD53357c	86	0	0	38
PD53357d	122	0	14	45
PD53357e	113	5	25	19
PD53358a	19	112	15	20
PD53359c	97	0	7	82
PD53361a	15	86	6	17
PD53362a	79	7	0	21
PD53363a	48	11	35	0
PD53364c	153	6	15	78
PD53365a	158	7	64	1
PD53366a	0	54	10	13
PD53367a	0	72	62	0
PD53368a	129	5	50	74
PD53369a	9	81	28	0
