Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD
PD53330c	7.85E-01	1.13E+00	1.08E+00	8.18E-01
PD53331a	1.57E+00	3.52E+00	1.78E+00	4.00E+00
PD53332d	2.22E+00	2.31E-01	2.49E+00	2.30E+00
PD53332e	7.26E-01	7.54E-01	4.34E-01	6.72E-02
PD53333f	2.46E+00	0.00E+00	2.01E+00	1.26E+00
PD53334a	1.09E+00	1.70E+00	1.83E+00	8.77E-01
PD53337a	5.88E-01	7.61E-01	1.37E-01	7.81E-01
PD53337c	7.63E-01	7.83E-01	3.30E-01	6.11E-01
PD53338a	1.53E+00	1.69E+00	1.85E+00	1.35E+00
PD53339a	2.23E+00	2.03E+00	1.72E+00	3.44E+00
PD53341a	5.13E-01	1.79E+00	1.72E+00	1.88E+00
PD53342a	3.31E-01	2.26E+00	2.30E+00	6.07E-01
PD53343h	6.77E-01	5.88E-01	3.84E-01	1.19E-01
PD53343i	1.07E+00	1.12E+00	1.15E+00	1.54E-01
PD53345a	3.56E+00	0.00E+00	3.57E+00	5.79E-01
PD53346a	2.77E+00	1.63E+00	1.69E+00	3.59E+00
PD53347c	1.99E-01	0.00E+00	8.71E+00	8.75E+00
PD53348a	6.97E-01	2.67E+00	2.82E+00	1.69E+00
PD53349d	1.93E+00	2.79E-01	1.69E+00	1.69E+00
PD53349e	1.40E+00	3.24E-01	1.62E+00	1.82E+00
PD53350d	3.72E+00	0.00E+00	4.02E+00	1.71E+00
PD53350e	3.52E+00	1.27E-01	3.76E+00	1.43E+00
PD53351a	5.23E+00	9.38E-01	5.58E+00	5.19E+00
PD53352d	1.50E+00	1.08E-01	1.16E+00	1.17E+00
PD53352e	1.89E+00	2.82E-01	1.74E+00	9.49E-01
PD53353a	1.58E+00	8.07E-01	7.14E-01	1.60E+00
PD53354a	5.15E-01	6.88E-01	4.89E-01	3.75E-01
PD53355c	2.61E+00	1.98E-01	2.72E+00	6.21E-01
PD53357c	1.98E+00	1.08E-01	1.78E+00	1.47E+00
PD53357d	2.93E+00	0.00E+00	2.96E+00	1.85E+00
PD53357e	2.03E+00	3.83E-01	1.87E+00	1.45E+00
PD53358a	1.11E+00	1.67E+00	1.51E+00	9.25E-01
PD53359c	2.27E+00	0.00E+00	1.90E+00	2.57E+00
PD53361a	9.44E-01	1.57E+00	1.67E+00	7.72E-01
PD53362a	1.68E+00	5.88E-01	5.11E-01	1.78E+00
PD53363a	1.40E+00	3.87E-01	1.15E+00	9.60E-01
PD53364c	3.54E+00	4.03E-01	3.36E+00	2.99E+00
PD53365a	4.19E+00	4.31E-01	4.29E+00	1.07E+00
PD53366a	3.31E-01	7.52E-01	6.72E-01	7.80E-01
PD53367a	2.15E-01	1.20E+00	1.81E+00	1.88E+00
PD53368a	3.01E+00	5.36E-01	3.98E+00	2.99E+00
PD53369a	1.05E+00	1.31E+00	1.51E+00	4.02E-01
