MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD
0:homdel:0-100kb	7.14E-05	1.88E-04	2.90E-04	4.80E-04
0:homdel:100kb-1Mb	1.86E-04	4.10E-04	8.41E-04	8.20E-04
0:homdel:>1Mb	8.68E-04	1.38E-03	1.96E-03	3.29E-03
1:LOH:0-100kb	1.04E-04	1.63E-04	8.85E-05	8.02E-05
1:LOH:100kb-1Mb	2.08E-04	3.82E-04	4.44E-04	4.70E-04
1:LOH:1Mb-10Mb	4.54E-04	1.25E-03	1.81E-03	2.47E-03
1:LOH:10Mb-40Mb	3.51E-04	8.29E-04	8.28E-04	1.72E-03
1:LOH:>40Mb	3.28E-05	4.57E-04	4.90E-04	4.11E-04
2:LOH:0-100kb	1.92E-04	1.81E-04	7.69E-05	1.57E-04
2:LOH:100kb-1Mb	8.20E-04	4.10E-04	9.81E-04	2.89E-04
2:LOH:1Mb-10Mb	1.30E-03	7.12E-04	2.69E-03	9.37E-04
2:LOH:10Mb-40Mb	8.75E-04	3.66E-04	1.10E-03	8.26E-04
2:LOH:>40Mb	7.92E-04	4.53E-04	4.48E-04	1.66E-03
3-4:LOH:0-100kb	3.23E-04	1.96E-04	2.21E-04	5.23E-04
3-4:LOH:100kb-1Mb	6.12E-04	2.59E-04	8.50E-04	1.39E-03
3-4:LOH:1Mb-10Mb	7.63E-04	2.12E-04	2.09E-03	3.31E-03
3-4:LOH:10Mb-40Mb	5.47E-04	1.49E-08	7.14E-04	1.76E-03
3-4:LOH:>40Mb	3.06E-04	5.05E-05	2.41E-04	8.62E-04
5-8:LOH:0-100kb	1.79E-04	6.44E-05	1.69E-04	4.06E-04
5-8:LOH:100kb-1Mb	3.05E-04	1.27E-04	5.17E-04	5.47E-04
5-8:LOH:1Mb-10Mb	4.18E-04	2.53E-04	6.65E-04	1.58E-03
5-8:LOH:10Mb-40Mb	1.75E-04	3.20E-05	4.57E-04	7.84E-04
5-8:LOH:>40Mb	1.91E-05	4.84E-05	2.26E-04	2.01E-04
9+:LOH:0-100kb	2.20E-04	3.36E-04	1.03E-03	9.51E-04
9+:LOH:100kb-1Mb	8.35E-05	3.05E-04	3.44E-03	2.52E-03
9+:LOH:1Mb-10Mb	2.59E-05	2.86E-04	9.22E-04	5.59E-04
9+:LOH:10Mb-40Mb	5.99E-09	3.93E-09	1.01E-08	1.54E-08
9+:LOH:>40Mb	5.99E-09	3.93E-09	1.01E-08	1.54E-08
2:het:0-100kb	4.04E-04	1.87E-04	2.52E-04	4.57E-08
2:het:100kb-1Mb	4.17E-04	4.85E-04	6.75E-04	6.81E-04
2:het:1Mb-10Mb	1.24E-03	1.64E-03	2.82E-03	4.12E-03
2:het:10Mb-40Mb	4.55E-04	1.57E-03	2.28E-03	2.89E-03
2:het:>40Mb	2.76E-08	1.60E-03	1.62E-03	1.70E-03
3-4:het:0-100kb	5.72E-04	2.82E-04	4.56E-04	3.41E-04
3-4:het:100kb-1Mb	1.17E-03	5.76E-04	1.84E-03	9.74E-04
3-4:het:1Mb-10Mb	1.78E-03	1.16E-03	3.44E-03	3.37E-03
3-4:het:10Mb-40Mb	1.93E-03	8.15E-04	2.43E-03	3.45E-03
3-4:het:>40Mb	1.83E-03	9.46E-04	3.48E-03	4.02E-03
5-8:het:0-100kb	5.38E-04	3.02E-04	7.77E-04	5.41E-04
5-8:het:100kb-1Mb	1.23E-03	9.04E-04	2.85E-03	1.31E-03
5-8:het:1Mb-10Mb	2.16E-03	7.89E-04	4.25E-03	7.86E-03
5-8:het:10Mb-40Mb	1.05E-03	1.80E-04	2.11E-03	3.92E-03
5-8:het:>40Mb	8.32E-04	4.86E-09	9.14E-04	1.67E-03
9+:het:0-100kb	5.57E-04	2.44E-04	1.05E-03	4.85E-04
9+:het:100kb-1Mb	2.10E-03	6.61E-04	6.01E-03	2.34E-03
9+:het:1Mb-10Mb	8.62E-04	1.99E-04	3.78E-03	3.73E-03
9+:het:10Mb-40Mb	1.10E-05	8.51E-05	3.39E-04	5.76E-04
9+:het:>40Mb	2.98E-08	2.59E-08	4.75E-05	8.29E-05
