Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE
PD53330c	16	84	7	5	4
PD53331a	0	84	0	0	85
PD53332d	66	0	51	25	20
PD53332e	11	78	0	1	0
PD53333f	198	0	0	0	5
PD53334a	18	84	19	14	0
PD53337a	5	65	6	0	0
PD53337c	21	64	0	0	0
PD53338a	16	63	1	71	39
PD53339a	0	3	2	0	121
PD53341a	0	92	4	71	10
PD53342a	0	120	0	42	5
PD53343h	25	60	0	0	0
PD53343i	41	64	0	0	0
PD53345a	98	0	0	55	20
PD53346a	22	11	47	0	85
PD53347c	0	0	241	20	0
PD53348a	18	105	29	12	9
PD53349d	95	0	21	16	25
PD53349e	40	0	6	31	57
PD53350d	76	0	5	109	0
PD53350e	79	0	8	100	0
PD53351a	191	25	111	42	0
PD53352d	90	0	0	0	48
PD53352e	140	0	0	0	38
PD53353a	8	11	26	2	58
PD53354a	7	91	0	0	4
PD53355c	59	0	0	71	26
PD53357c	70	0	26	0	28
PD53357d	140	0	39	2	0
PD53357e	105	0	15	17	25
PD53358a	5	99	16	14	32
PD53359c	115	0	71	0	0
PD53361a	23	83	16	2	0
PD53362a	44	0	10	0	53
PD53363a	17	2	0	33	42
PD53364c	180	8	64	0	0
PD53365a	174	6	6	44	0
PD53366a	0	54	14	9	0
PD53367a	0	71	3	60	0
PD53368a	148	7	66	33	4
PD53369a	15	79	0	24	0
