Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE
PD53330c	8.54E-01	8.25E-01	6.59E-01	5.67E-01	8.37E-01
PD53331a	6.17E-01	4.65E+00	6.47E-01	1.36E+00	4.97E+00
PD53332d	2.35E+00	2.34E-01	1.74E+00	2.33E+00	2.33E+00
PD53332e	8.84E-01	8.98E-01	1.07E-01	3.66E-01	5.19E-01
PD53333f	5.12E+00	0.00E+00	1.21E+00	2.22E+00	4.66E+00
PD53334a	1.43E+00	1.47E+00	1.01E+00	1.24E+00	1.49E+00
PD53337a	5.99E-01	7.38E-01	4.07E-01	9.95E-02	8.37E-01
PD53337c	8.55E-01	8.01E-01	2.78E-01	1.84E-01	8.61E-01
PD53338a	1.86E+00	2.19E+00	8.51E-01	1.46E+00	2.63E+00
PD53339a	1.43E+00	2.19E+00	1.76E+00	8.97E-01	3.19E+00
PD53341a	6.24E-01	1.74E+00	1.27E+00	1.82E+00	2.34E+00
PD53342a	1.06E+00	2.13E+00	6.39E-01	1.33E+00	2.41E+00
PD53343h	9.02E-01	5.99E-01	2.46E-01	1.10E-01	9.00E-01
PD53343i	1.14E+00	1.00E+00	1.88E-01	5.43E-01	8.78E-01
PD53345a	4.52E+00	0.00E+00	7.25E-01	3.34E+00	3.82E+00
PD53346a	3.01E+00	1.91E+00	2.83E+00	4.69E-01	4.87E+00
PD53347c	4.47E-01	0.00E+00	3.56E+00	3.28E+00	1.55E+00
PD53348a	1.55E+00	3.47E+00	1.36E+00	1.56E+00	4.05E+00
PD53349d	2.91E+00	2.68E-01	1.17E+00	1.55E+00	2.93E+00
PD53349e	2.25E+00	3.58E-01	1.35E+00	1.43E+00	2.35E+00
PD53350d	3.77E+00	0.00E+00	1.59E+00	3.74E+00	2.18E+00
PD53350e	3.51E+00	7.92E-02	1.70E+00	3.44E+00	2.21E+00
PD53351a	5.71E+00	1.08E+00	5.18E+00	5.72E+00	2.86E+00
PD53352d	4.04E+00	5.86E-02	1.19E+00	6.05E-01	4.20E+00
PD53352e	4.67E+00	2.63E-01	9.01E-01	1.47E+00	4.62E+00
PD53353a	1.68E+00	1.05E+00	1.27E+00	7.05E-01	2.26E+00
PD53354a	5.04E-01	1.36E+00	0.00E+00	1.60E-01	1.40E+00
PD53355c	3.31E+00	2.08E-01	7.78E-01	2.42E+00	2.66E+00
PD53357c	2.84E+00	6.72E-02	1.36E+00	1.20E+00	3.09E+00
PD53357d	2.93E+00	0.00E+00	1.42E+00	1.94E+00	3.19E+00
PD53357e	2.61E+00	3.51E-01	1.25E+00	1.61E+00	2.76E+00
PD53358a	1.42E+00	1.97E+00	7.54E-01	1.36E+00	2.22E+00
PD53359c	3.51E+00	0.00E+00	1.97E+00	1.29E+00	3.64E+00
PD53361a	1.23E+00	1.72E+00	7.45E-01	1.02E+00	1.77E+00
PD53362a	2.76E+00	6.19E-01	1.60E+00	1.90E-01	2.77E+00
PD53363a	2.01E+00	4.66E-01	8.53E-01	1.09E+00	2.01E+00
PD53364c	3.22E+00	4.02E-01	2.26E+00	3.22E+00	2.68E+00
PD53365a	4.05E+00	4.06E-01	1.28E+00	4.03E+00	3.11E+00
PD53366a	2.79E-01	1.18E+00	5.66E-01	5.84E-01	1.35E+00
PD53367a	3.00E-02	1.40E+00	1.42E+00	2.08E+00	2.18E+00
PD53368a	2.82E+00	5.62E-01	2.84E+00	3.58E+00	2.87E+00
PD53369a	1.31E+00	1.27E+00	2.55E-01	1.17E+00	1.23E+00
