MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE
0:homdel:0-100kb	9.544949479561637e-05	0.0013315762457013847	0.0017107225621258593	0.0014855947500883105	0.00804273271236994
0:homdel:100kb-1Mb	6.106619109225164e-06	0.0029091286278802287	0.003186859540097231	0.002220554009877773	0.017954885300032083
0:homdel:>1Mb	9.834884808128664e-05	0.009285863911884604	0.0010843549829926858	0.001764467153990541	0.06493498520294765
1:LOH:0-100kb	0.0014694463117463385	0.003866534591647337	6.648030362622848e-05	0.0002157644305000872	0.001331154381667906
1:LOH:100kb-1Mb	0.0030385879413907446	0.0199835172685971	0.007109757891518873	0.001053878798093706	0.008370686544600403
1:LOH:1Mb-10Mb	0.004954115490428421	0.0669621157632615	0.012902651455899847	0.005327724428520142	0.03612514258650492
1:LOH:10Mb-40Mb	0.0008792786282252507	0.05330185844562948	0.0017150318970756474	0.00186435229629879	0.02628181326322803
1:LOH:>40Mb	8.51737659098184e-06	0.03424628802575171	0.00017195028610140107	0.004276145335228634	0.007590824957643499
2:LOH:0-100kb	0.005081663460157273	0.002526407950188059	0.0002097177853377019	0.0005396864037350646	0.0022005977660715104
2:LOH:100kb-1Mb	0.05392092769034207	0.004829603748272007	0.0021338778895474775	0.004806946525056997	0.012383980055335116
2:LOH:1Mb-10Mb	0.09437942873686551	0.012715624251668486	0.0021251633184147067	0.05967755935620517	0.03229585439315997
2:LOH:10Mb-40Mb	0.0539268793258816	0.002740185978967702	0.0019309057214223913	0.013290280233047725	0.019019737477274246
2:LOH:>40Mb	0.013176444160944812	0.005856272265233429	0.021561402881062577	0.003368644279107684	0.02941275453544223
3-4:LOH:0-100kb	0.006821624297690541	0.0037714234543342684	0.0010513976594518936	0.000331780288723138	0.010125334684853443
3-4:LOH:100kb-1Mb	0.015179030560539104	0.002020762447238704	0.02657207880169153	0.003462199849982247	0.011822876041696873
3-4:LOH:1Mb-10Mb	0.010973481167225145	0.0007382166150490832	0.09342489019501954	0.03203970780596137	0.013334032967979397
3-4:LOH:10Mb-40Mb	0.004224729750564791	6.306842927017442e-08	0.042587954767423074	0.0010793510426823972	0.007629874657902178
3-4:LOH:>40Mb	0.001731612152331401	9.307371155102828e-05	0.01650135003899095	0.0010389580812303388	0.0077030467437244
5-8:LOH:0-100kb	0.0020600201284891283	0.00020772378086697074	0.002827633492082171	0.0004849269770883424	0.002538023810704573
5-8:LOH:100kb-1Mb	0.0050569634009002586	0.0005084668787630164	0.009268950991536826	0.004179780008905567	0.00886852826131696
5-8:LOH:1Mb-10Mb	0.0040477307206690585	0.0027556134330713176	0.029630810268135976	0.0009593786087907574	0.006972852953900031
5-8:LOH:10Mb-40Mb	0.0003093161798587607	9.376922743300043e-05	0.017766346764411765	0.00010874743606661186	0.0011980256077756656
5-8:LOH:>40Mb	2.600949740802605e-05	0.0002333793615979829	0.0026195199474111064	0.0018894603554944923	0.00033444928087750014
9+:LOH:0-100kb	0.0002273482781310321	0.004819814724521905	0.0019096467786168603	0.02087693011344413	0.014848464773869523
9+:LOH:100kb-1Mb	7.081156670171395e-05	5.669331338076233e-07	0.007795190896354711	0.09075090026390654	0.018762592381197152
9+:LOH:1Mb-10Mb	0.00018410460007540764	0.0026706933340811647	0.0016877727856505942	0.023182469139043177	0.0044767429191056255
9+:LOH:10Mb-40Mb	5.314179813353803e-07	9.691435610648113e-07	4.0389037277321903e-07	4.278733404650126e-07	8.146274143427945e-07
9+:LOH:>40Mb	5.314179684035025e-07	9.691435656122849e-07	4.0389037938126647e-07	4.2787334338267867e-07	8.146274286957578e-07
2:het:0-100kb	0.021110690577123135	0.00189294689634238	0.00014309516148856006	0.0003391299279480364	0.00318056162084261
2:het:100kb-1Mb	0.01427245317492634	0.03267750754952431	0.012040487149318437	0.0025237105970662556	0.008334022659109906
2:het:1Mb-10Mb	0.0021127839203871086	0.17190225347876548	0.0014046947816598277	0.0038412389657162295	0.07648267822187221
2:het:10Mb-40Mb	8.65273851780568e-05	0.20821125149726868	2.6499640650712306e-07	0.0034391643320466625	0.04894978207074232
2:het:>40Mb	0.00015282430274986324	0.22038894772529602	1.4682284551703617e-07	0.0015246941447158947	0.014100908339727774
3-4:het:0-100kb	0.029781208396889268	0.0041576264285431595	0.0035733065204666303	0.002475215093844554	0.007356038524048927
3-4:het:100kb-1Mb	0.06938499222975224	0.020773323915200308	0.011460067589244147	0.019887419868828148	0.01650859391083941
3-4:het:1Mb-10Mb	0.14872387364506723	0.05213690349832177	0.05740904415026307	0.03327244769999197	0.09267550840973854
3-4:het:10Mb-40Mb	0.10712180658243596	0.0020615502933651443	0.04859722095425241	0.04748108716794716	0.13049200577195733
3-4:het:>40Mb	0.1117405177326873	0.004216550309075728	0.013967318798786437	0.06218796004627025	0.12094034262001514
5-8:het:0-100kb	0.021790029478725045	0.003611912883791888	0.007506652054420542	0.006464768180120189	0.005219476642735543
5-8:het:100kb-1Mb	0.061393252443522214	0.0270175481301186	0.023868476275820286	0.04242240758845583	0.013375700515898642
5-8:het:1Mb-10Mb	0.047327979421243074	0.009068409127630303	0.23152568258345127	0.09671773342764936	0.01777140569221501
5-8:het:10Mb-40Mb	0.004388293136609069	1.2787373265155111e-07	0.12209170142188669	0.005232774588973825	0.033846473755952504
5-8:het:>40Mb	0.007461358956056472	5.5868019899207864e-09	0.023405568311117973	0.012458949388941747	0.02397402930061638
9+:het:0-100kb	0.02201097360463109	0.0017488575585098687	0.005671375564030542	0.02359742292552255	0.005680266698608421
9+:het:100kb-1Mb	0.03678960153590765	0.0009752475921169434	0.02522124436375066	0.22628984476439654	0.002643970228379402
9+:het:1Mb-10Mb	0.012390476841528369	7.885922071668737e-05	0.08872645556810312	0.12935158362146468	0.0029729231617102413
9+:het:10Mb-40Mb	1.1084951701390012e-05	0.0006089864744370033	0.012978886535898937	0.00020772663826152283	0.0008482049907500411
9+:het:>40Mb	2.4064188782979554e-07	7.083359227522124e-07	0.0008550862296860374	7.677335593796463e-06	8.548163662190689e-05
