MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE
0:homdel:0-100kb	4.16E-05	1.77E-04	2.35E-04	2.07E-04	7.10E-04
0:homdel:100kb-1Mb	5.14E-06	4.44E-04	3.28E-04	3.35E-04	1.56E-03
0:homdel:>1Mb	3.91E-05	1.39E-03	9.34E-04	1.26E-03	5.08E-03
1:LOH:0-100kb	1.35E-04	2.09E-04	4.24E-05	7.45E-05	2.03E-04
1:LOH:100kb-1Mb	3.06E-04	5.59E-04	5.10E-04	5.19E-04	1.00E-03
1:LOH:1Mb-10Mb	8.04E-04	2.07E-03	1.08E-03	2.12E-03	4.87E-03
1:LOH:10Mb-40Mb	2.70E-04	1.23E-03	3.36E-04	7.26E-04	3.24E-03
1:LOH:>40Mb	8.47E-06	7.09E-04	9.55E-05	3.89E-04	1.46E-03
2:LOH:0-100kb	3.21E-04	2.02E-04	9.78E-05	2.59E-04	3.15E-04
2:LOH:100kb-1Mb	1.29E-03	4.51E-04	2.68E-04	9.21E-04	1.97E-03
2:LOH:1Mb-10Mb	1.73E-03	8.53E-04	5.90E-04	2.38E-03	3.01E-03
2:LOH:10Mb-40Mb	1.22E-03	3.40E-04	5.71E-04	1.03E-03	2.13E-03
2:LOH:>40Mb	1.05E-03	4.98E-04	1.41E-03	4.79E-04	2.38E-03
3-4:LOH:0-100kb	4.21E-04	2.42E-04	3.47E-04	1.28E-04	7.27E-04
3-4:LOH:100kb-1Mb	8.74E-04	2.45E-04	1.56E-03	5.45E-04	1.31E-03
3-4:LOH:1Mb-10Mb	1.04E-03	1.55E-04	2.61E-03	1.54E-03	1.50E-03
3-4:LOH:10Mb-40Mb	5.11E-04	1.83E-08	1.73E-03	4.34E-04	1.25E-03
3-4:LOH:>40Mb	3.55E-04	4.28E-05	9.22E-04	2.21E-04	9.00E-04
5-8:LOH:0-100kb	2.13E-04	5.57E-05	3.92E-04	1.34E-04	3.47E-04
5-8:LOH:100kb-1Mb	3.27E-04	1.05E-04	5.52E-04	5.39E-04	6.84E-04
5-8:LOH:1Mb-10Mb	4.63E-04	2.74E-04	1.42E-03	4.81E-04	7.87E-04
5-8:LOH:10Mb-40Mb	9.65E-05	4.56E-05	6.64E-04	1.08E-04	4.38E-04
5-8:LOH:>40Mb	1.96E-05	4.70E-05	2.36E-04	2.36E-04	1.38E-04
9+:LOH:0-100kb	8.37E-05	4.65E-04	5.87E-04	1.29E-03	1.98E-03
9+:LOH:100kb-1Mb	6.41E-05	5.59E-08	2.25E-03	4.53E-03	4.79E-03
9+:LOH:1Mb-10Mb	5.21E-05	3.49E-04	4.00E-04	1.37E-03	1.16E-03
9+:LOH:10Mb-40Mb	1.55E-08	7.66E-09	1.32E-08	1.32E-08	1.90E-08
9+:LOH:>40Mb	1.55E-08	7.66E-09	1.32E-08	1.32E-08	1.90E-08
2:het:0-100kb	8.61E-04	2.23E-04	1.03E-04	2.38E-04	8.81E-04
2:het:100kb-1Mb	5.41E-04	6.34E-04	6.86E-04	7.59E-04	8.95E-04
2:het:1Mb-10Mb	4.99E-04	1.89E-03	4.93E-04	1.75E-03	6.97E-03
2:het:10Mb-40Mb	6.48E-05	1.70E-03	4.88E-08	2.11E-03	5.70E-03
2:het:>40Mb	1.07E-04	2.92E-03	2.10E-08	1.13E-03	3.37E-03
3-4:het:0-100kb	9.29E-04	3.28E-04	3.93E-04	4.87E-04	1.09E-03
3-4:het:100kb-1Mb	1.49E-03	7.84E-04	1.11E-03	2.02E-03	1.71E-03
3-4:het:1Mb-10Mb	2.03E-03	1.47E-03	3.21E-03	3.79E-03	4.98E-03
3-4:het:10Mb-40Mb	3.92E-03	6.51E-04	3.08E-03	2.41E-03	6.30E-03
3-4:het:>40Mb	4.55E-03	6.54E-04	3.67E-03	3.68E-03	7.16E-03
5-8:het:0-100kb	8.74E-04	3.39E-04	5.20E-04	9.09E-04	1.10E-03
5-8:het:100kb-1Mb	2.28E-03	1.20E-03	1.37E-03	3.40E-03	1.82E-03
5-8:het:1Mb-10Mb	4.16E-03	8.88E-04	4.95E-03	3.75E-03	3.10E-03
5-8:het:10Mb-40Mb	8.86E-04	3.53E-08	3.89E-03	9.28E-04	3.67E-03
5-8:het:>40Mb	8.13E-04	2.85E-09	1.70E-03	1.11E-03	2.32E-03
9+:het:0-100kb	7.60E-04	2.65E-04	4.85E-04	1.27E-03	7.07E-04
9+:het:100kb-1Mb	3.12E-03	3.56E-04	2.71E-03	5.50E-03	9.71E-04
9+:het:1Mb-10Mb	1.91E-03	6.71E-05	3.54E-03	3.53E-03	1.05E-03
9+:het:10Mb-40Mb	9.93E-06	9.89E-05	5.72E-04	1.47E-04	2.22E-04
9+:het:>40Mb	2.65E-08	2.36E-08	1.03E-04	7.25E-06	7.60E-05
