Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
PD53330c	6	15	83	4	8	0
PD53331a	0	0	43	0	0	126
PD53332d	49	48	1	19	45	0
PD53332e	15	0	75	0	0	0
PD53333f	117	86	0	0	0	0
PD53334a	35	0	80	6	14	0
PD53337a	0	7	63	0	6	0
PD53337c	0	20	64	1	0	0
PD53338a	29	0	45	57	0	59
PD53339a	0	32	0	0	3	91
PD53341a	0	0	76	67	2	32
PD53342a	0	0	96	34	0	37
PD53343h	10	16	59	0	0	0
PD53343i	33	10	62	0	0	0
PD53345a	56	69	0	48	0	0
PD53346a	18	34	4	0	40	69
PD53347c	0	0	0	23	238	0
PD53348a	17	0	70	5	19	62
PD53349d	54	68	5	13	17	0
PD53349e	0	79	7	36	11	1
PD53350d	56	36	0	98	0	0
PD53350e	64	32	0	89	2	0
PD53351a	261	0	13	9	72	14
PD53352d	17	116	0	5	0	0
PD53352e	58	111	1	0	0	8
PD53353a	0	48	20	1	28	8
PD53354a	0	3	84	0	0	15
PD53355c	10	71	1	74	0	0
PD53357c	32	68	0	0	24	0
PD53357d	107	52	0	0	22	0
PD53357e	67	68	5	13	9	0
PD53358a	0	0	67	12	12	75
PD53359c	73	50	0	0	63	0
PD53361a	35	0	80	0	9	0
PD53362a	11	68	3	0	12	13
PD53363a	0	51	11	32	0	0
PD53364c	213	7	5	0	27	0
PD53365a	158	45	4	23	0	0
PD53366a	0	4	51	8	14	0
PD53367a	0	0	69	62	3	0
PD53368a	133	37	0	21	46	21
PD53369a	25	0	77	16	0	0
