Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
PD53330c	8.08E-01	7.26E-01	1.52E+00	4.02E-01	6.42E-01	1.51E+00
PD53331a	3.79E-01	1.88E+00	4.34E+00	8.30E-01	1.04E+00	5.00E+00
PD53332d	2.78E+00	2.22E+00	2.08E-01	1.86E+00	2.00E+00	7.92E-01
PD53332e	7.56E-01	5.65E-01	1.10E+00	2.38E-01	1.00E-02	9.41E-01
PD53333f	7.13E+00	6.56E+00	0.00E+00	1.01E+00	1.25E+00	4.63E+00
PD53334a	1.74E+00	5.71E-01	1.99E+00	1.01E+00	8.71E-01	1.85E+00
PD53337a	3.97E-01	6.45E-01	1.04E+00	1.41E-01	4.27E-01	1.10E+00
PD53337c	7.88E-01	8.22E-01	8.85E-01	0.00E+00	1.97E-01	9.36E-01
PD53338a	2.19E+00	1.37E+00	2.38E+00	1.69E+00	1.04E+00	2.71E+00
PD53339a	6.01E-01	2.86E+00	1.93E+00	5.99E-01	1.44E+00	4.12E+00
PD53341a	8.04E-01	5.51E-01	2.29E+00	1.68E+00	7.47E-01	2.43E+00
PD53342a	1.65E+00	1.05E-01	3.21E+00	1.72E+00	7.15E-01	3.52E+00
PD53343h	9.43E-01	9.24E-01	9.68E-01	0.00E+00	3.71E-02	9.74E-01
PD53343i	1.41E+00	1.27E+00	1.41E+00	2.12E-01	1.37E-01	1.30E+00
PD53345a	5.08E+00	4.54E+00	0.00E+00	3.00E+00	8.11E-01	1.55E+00
PD53346a	3.13E+00	4.31E+00	1.82E+00	5.39E-01	2.68E+00	5.26E+00
PD53347c	1.85E+00	1.02E+00	0.00E+00	3.65E+00	4.57E+00	1.33E+00
PD53348a	1.96E+00	2.34E-01	4.51E+00	1.84E+00	1.54E+00	5.02E+00
PD53349d	3.05E+00	2.85E+00	2.87E-01	9.15E-01	1.11E+00	1.81E+00
PD53349e	1.90E+00	1.85E+00	3.82E-01	1.25E+00	1.38E+00	1.51E+00
PD53350d	4.74E+00	3.49E+00	0.00E+00	3.53E+00	6.42E-01	6.45E-01
PD53350e	4.33E+00	3.26E+00	7.70E-02	3.41E+00	7.85E-01	7.88E-01
PD53351a	6.65E+00	4.37E+00	1.00E+00	4.41E+00	4.99E+00	3.92E+00
PD53352d	3.30E+00	3.36E+00	4.32E-02	3.87E-01	8.02E-01	2.15E+00
PD53352e	5.50E+00	5.25E+00	2.56E-01	4.64E-01	9.89E-01	3.50E+00
PD53353a	1.20E+00	1.89E+00	1.08E+00	6.35E-01	1.25E+00	1.91E+00
PD53354a	4.11E-01	5.55E-01	2.06E+00	0.00E+00	2.80E-01	2.21E+00
PD53355c	3.72E+00	2.96E+00	1.93E-01	2.51E+00	2.05E-01	9.35E-01
PD53357c	2.65E+00	2.61E+00	3.30E-02	8.72E-01	1.22E+00	6.35E-01
PD53357d	3.48E+00	3.76E+00	0.00E+00	1.16E+00	1.47E+00	2.31E+00
PD53357e	2.95E+00	3.12E+00	3.54E-01	1.05E+00	1.16E+00	2.12E+00
PD53358a	2.07E+00	1.71E+00	3.18E+00	1.06E+00	8.96E-01	3.35E+00
PD53359c	4.53E+00	4.29E+00	0.00E+00	1.05E+00	2.11E+00	3.59E+00
PD53361a	1.38E+00	4.48E-01	2.03E+00	7.22E-01	6.63E-01	2.19E+00
PD53362a	1.82E+00	2.01E+00	6.13E-01	0.00E+00	9.49E-01	1.71E+00
PD53363a	1.34E+00	1.34E+00	4.63E-01	1.14E+00	4.91E-01	6.13E-01
PD53364c	4.31E+00	4.49E+00	4.02E-01	1.47E+00	2.02E+00	2.42E+00
PD53365a	4.68E+00	4.99E+00	3.88E-01	2.47E+00	1.18E+00	2.79E+00
PD53366a	1.39E-01	4.67E-01	1.29E+00	8.32E-01	5.75E-01	1.33E+00
PD53367a	3.94E-01	6.00E-01	1.61E+00	1.88E+00	6.45E-01	1.97E+00
PD53368a	4.35E+00	3.77E+00	4.20E-01	2.39E+00	3.00E+00	2.52E+00
PD53369a	1.53E+00	7.57E-01	1.64E+00	1.13E+00	3.48E-01	1.43E+00
