MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
0:homdel:0-100kb	0.0002073207356140916	0.0013426200626046386	0.0010023179661024883	0.0020480820373542487	0.0015534108454441054	0.009086603787849867
0:homdel:100kb-1Mb	1.7385666812721468e-05	0.0019235421308275845	0.002801338305646439	0.003152243483949633	0.0037682515451579945	0.02081203613508599
0:homdel:>1Mb	8.960426187689663e-06	0.009104514278735322	0.008444048350243065	0.002022115072397952	0.002681827116259541	0.07579460550102482
1:LOH:0-100kb	0.0008210392493029594	0.0018775529442868332	0.00423007262729584	0.0001025322407583218	2.69845944317737e-05	0.0015118826719056244
1:LOH:100kb-1Mb	0.003283168891821475	0.003962847996586732	0.01860065713757649	0.00095460807863887	0.006825088333326548	0.013841869482137099
1:LOH:1Mb-10Mb	0.011276895970892013	0.0005636644145674552	0.05775469536039509	0.003650132433009653	0.010622635003956589	0.06430030848313777
1:LOH:10Mb-40Mb	0.0024059800127292806	0.0008593489015537159	0.04857012417147871	0.002894222781890612	0.002021347753052396	0.04418419709579268
1:LOH:>40Mb	9.84783761381891e-08	0.0003672623849060486	0.0337855963290167	0.006658391199205908	0.0003133913733586358	0.012327866320909937
2:LOH:0-100kb	0.004571457777497727	0.002915384941124586	0.0023827917019445975	3.604819598372444e-05	0.0003263226041149636	0.0041443284497692905
2:LOH:100kb-1Mb	0.0430328133805449	0.037909966155121426	0.004147250801628672	0.0031810256808279293	0.0030825130012811642	0.01565272996724719
2:LOH:1Mb-10Mb	0.08183929194841767	0.06730839606840164	0.011440909959944748	0.06207634044101724	0.0022309421730460598	0.03037556713912636
2:LOH:10Mb-40Mb	0.04366614302387461	0.04628164047393057	0.0018074413661827292	0.01256513910772469	0.001527600174795225	0.015051227935848318
2:LOH:>40Mb	0.007598443888124393	0.03246657216339372	0.006226178123382909	0.0041016940584688655	0.0203127094268541	0.01768289758040112
3-4:LOH:0-100kb	0.00368501427324329	0.011635496741847077	0.0034799480483522416	0.0001561050182547774	0.0010424701797960268	0.010317757448953415
3-4:LOH:100kb-1Mb	0.012659894196590358	0.015012451334128797	0.001560119231344701	0.004473013368509555	0.02753581596612321	0.015092027705746353
3-4:LOH:1Mb-10Mb	0.016466392632731867	0.009218945584215703	0.0007024893848321767	0.03346511747455225	0.101396641258616	0.016514218452939815
3-4:LOH:10Mb-40Mb	0.0032534349376604154	0.008838533433583819	5.657777261802721e-08	0.0015673052134334853	0.04818796754428235	0.003736443469729025
3-4:LOH:>40Mb	0.0008766398069354863	0.007262025764233968	3.557390117819636e-05	0.0012624540369424154	0.01824452926588549	0.0038158713205789494
5-8:LOH:0-100kb	0.002495704078522749	0.0011434414260430613	0.0001468993316231604	0.0004451640540884938	0.002555617505540013	0.0029076693668724117
5-8:LOH:100kb-1Mb	0.003135533962708905	0.008009455610113037	0.0003013027242021593	0.004448516586152351	0.009996441469581042	0.008569899958432074
5-8:LOH:1Mb-10Mb	0.0032415312582719656	0.007427819388321524	0.002130315134610612	0.0007105399842568337	0.033975998274981975	0.007093959481989494
5-8:LOH:10Mb-40Mb	0.00010520829898734263	0.001114342903632064	8.738637582197839e-05	0.00030514284986068676	0.020614853821151656	0.0008363404062674462
5-8:LOH:>40Mb	0.00030412963557082675	0.00043732915463257527	0.00033403031473390856	0.002297192972619051	0.0024718513825039068	7.536495112113073e-05
9+:LOH:0-100kb	0.0003127299758487112	0.005997882067160365	0.005095677114960502	0.025666584643245328	0.00024228508796539928	0.012249539416502699
9+:LOH:100kb-1Mb	0.0011112702399656627	0.002804930865944044	0.00041293301785600534	0.1145698075585517	0.005491062598056971	0.01727567078238831
9+:LOH:1Mb-10Mb	0.0008280813070251725	0.0006906824103193721	0.0018671484231091995	0.02764945979987914	0.001859813069712999	0.006233327162621123
9+:LOH:10Mb-40Mb	3.578752028055021e-07	9.104230554157766e-07	1.0280089094294452e-06	4.398250728598896e-07	3.8615679248010793e-07	6.275484888362826e-07
9+:LOH:>40Mb	3.5787519369279154e-07	9.104230758794075e-07	1.0280089088610112e-06	4.3982506078066306e-07	3.8615679521569745e-07	6.275484798834441e-07
2:het:0-100kb	0.015015045404885968	0.013167017225596371	0.0019204364460358647	3.269350855816811e-08	0.0010012103776848847	0.009079956953705021
2:het:100kb-1Mb	0.013121683188563367	0.010847209931353064	0.03362289713695645	0.002953182524447584	0.012072342618027249	0.01103180622391534
2:het:1Mb-10Mb	0.00444748975596049	0.003924534356039011	0.16833396792411803	0.00527113999039253	0.00245778033201681	0.10931671648258515
2:het:10Mb-40Mb	8.252735678515366e-05	0.0007052888407822877	0.21650946602225304	0.003858255040274461	0.0010000288062271929	0.07774496807309732
2:het:>40Mb	0.0002469214240914219	3.7085490220079007e-07	0.2430114184319973	0.0028946302113221833	0.00014622475109078438	0.02190539725369386
3-4:het:0-100kb	0.02382031743677061	0.017525504275531033	0.0034830599374595294	0.0014281306367969792	0.005414551482451628	0.015124767610220156
3-4:het:100kb-1Mb	0.07450715817647506	0.029245492391928564	0.01987609367245767	0.015493583545903675	0.011051413008244708	0.023500576155493037
3-4:het:1Mb-10Mb	0.15593433687463404	0.1170409483090043	0.048255072347819804	0.02210569933973602	0.046265417002723554	0.07649439602664643
3-4:het:10Mb-40Mb	0.07137025637132866	0.17330143451690674	0.0014130405968171545	0.04491713037714362	0.040713848065934144	0.08125799878034741
3-4:het:>40Mb	0.06409061491023749	0.19744796555489302	0.005688177399879351	0.05813960312362724	0.005669556699018585	0.05710161096134584
5-8:het:0-100kb	0.018415043796045437	0.016344143993450758	0.0037019736082615396	0.005007421345499239	0.00860310309341724	0.006991502434104859
5-8:het:100kb-1Mb	0.07789444277994334	0.030179987931041978	0.026112803996074945	0.029393129334785044	0.02413422440891736	0.014482274302863515
5-8:het:1Mb-10Mb	0.09405405644094572	0.02140724635660149	0.00780493346752337	0.08918445829302073	0.22868851672858	0.017437558752707506
5-8:het:10Mb-40Mb	0.009371888845889772	0.027693637336700477	0.0002832322965558376	0.0033964582980374326	0.1252697980064022	0.02390684481456957
5-8:het:>40Mb	0.0025781553780922194	0.033098874820415174	1.0055000814190862e-08	0.013423918359047491	0.02092094759418785	0.011033779811920396
9+:het:0-100kb	0.024859944592580233	0.012079417156355547	0.0012125433147794774	0.020472477731268555	0.006331561129218244	0.0057772734097237335
9+:het:100kb-1Mb	0.068592149547341	0.006941257702601433	0.0004980949753580611	0.22691918130541125	0.026286729724861287	0.0030720820544205196
9+:het:1Mb-10Mb	0.03412345559036766	0.002184516571300037	0.00018794940480503896	0.13417720139026643	0.08972098354786738	0.004081806838946189
9+:het:10Mb-40Mb	0.00026900472957770206	0.0003861896702986911	0.0007346758941229758	0.0004532535405581228	0.014353207208914682	0.0011544322857578492
9+:het:>40Mb	2.3046034454798915e-07	4.95986794355474e-07	7.97449922913529e-07	5.124578453887575e-05	0.0009894172713183736	1.8785744277654004e-05
