MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
0:homdel:0-100kb	7.24E-05	2.50E-04	1.67E-04	2.76E-04	2.83E-04	8.27E-04
0:homdel:100kb-1Mb	1.73E-05	7.45E-04	5.47E-04	4.93E-04	4.40E-04	1.81E-03
0:homdel:>1Mb	8.82E-06	2.74E-03	1.85E-03	1.85E-03	1.91E-03	6.18E-03
1:LOH:0-100kb	1.30E-04	2.35E-04	2.54E-04	4.47E-05	2.68E-05	3.15E-04
1:LOH:100kb-1Mb	3.83E-04	4.98E-04	7.08E-04	3.98E-04	5.41E-04	1.32E-03
1:LOH:1Mb-10Mb	1.26E-03	2.54E-04	2.95E-03	1.87E-03	2.01E-03	6.44E-03
1:LOH:10Mb-40Mb	4.32E-04	3.33E-04	1.61E-03	1.07E-03	1.14E-03	3.84E-03
1:LOH:>40Mb	4.31E-08	2.23E-04	1.13E-03	7.58E-04	3.13E-04	1.93E-03
2:LOH:0-100kb	4.94E-04	3.43E-04	2.36E-04	2.16E-05	1.80E-04	5.79E-04
2:LOH:100kb-1Mb	2.75E-03	2.94E-03	4.85E-04	6.55E-04	8.79E-04	2.94E-03
2:LOH:1Mb-10Mb	3.30E-03	3.58E-03	8.71E-04	2.73E-03	8.96E-04	3.79E-03
2:LOH:10Mb-40Mb	2.10E-03	2.31E-03	2.90E-04	9.92E-04	6.67E-04	2.48E-03
2:LOH:>40Mb	9.50E-04	1.86E-03	6.28E-04	6.87E-04	1.49E-03	2.11E-03
3-4:LOH:0-100kb	5.79E-04	9.67E-04	2.83E-04	8.14E-05	3.75E-04	1.18E-03
3-4:LOH:100kb-1Mb	1.82E-03	1.85E-03	2.83E-04	6.62E-04	1.98E-03	1.93E-03
3-4:LOH:1Mb-10Mb	1.40E-03	1.38E-03	2.02E-04	1.78E-03	3.02E-03	2.13E-03
3-4:LOH:10Mb-40Mb	6.28E-04	1.10E-03	1.71E-08	5.43E-04	2.18E-03	6.65E-04
3-4:LOH:>40Mb	2.74E-04	7.90E-04	2.47E-05	2.54E-04	1.07E-03	5.57E-04
5-8:LOH:0-100kb	2.38E-04	1.99E-04	4.77E-05	1.86E-04	4.07E-04	3.72E-04
5-8:LOH:100kb-1Mb	3.34E-04	5.66E-04	8.89E-05	5.35E-04	7.42E-04	8.24E-04
5-8:LOH:1Mb-10Mb	5.76E-04	9.15E-04	2.65E-04	2.54E-04	1.76E-03	9.97E-04
5-8:LOH:10Mb-40Mb	5.24E-05	2.97E-04	4.62E-05	1.77E-04	8.08E-04	4.71E-04
5-8:LOH:>40Mb	9.33E-05	1.51E-04	5.56E-05	3.10E-04	2.47E-04	4.66E-05
9+:LOH:0-100kb	1.26E-04	1.54E-03	4.66E-04	1.42E-03	1.09E-04	2.03E-03
9+:LOH:100kb-1Mb	6.13E-04	2.02E-03	4.00E-04	5.17E-03	1.74E-03	5.37E-03
9+:LOH:1Mb-10Mb	1.67E-04	6.37E-04	2.77E-04	1.47E-03	5.77E-04	1.55E-03
9+:LOH:10Mb-40Mb	1.63E-08	1.78E-08	1.04E-08	1.69E-08	1.04E-08	2.04E-08
9+:LOH:>40Mb	1.63E-08	1.78E-08	1.04E-08	1.69E-08	1.04E-08	2.04E-08
2:het:0-100kb	1.66E-03	1.55E-03	2.36E-04	1.10E-08	7.67E-04	2.33E-03
2:het:100kb-1Mb	1.06E-03	9.87E-04	8.48E-04	5.66E-04	7.69E-04	1.44E-03
2:het:1Mb-10Mb	1.06E-03	8.00E-04	2.71E-03	2.38E-03	1.71E-03	7.93E-03
2:het:10Mb-40Mb	7.22E-05	5.50E-04	1.89E-03	1.98E-03	7.44E-04	6.66E-03
2:het:>40Mb	1.24E-04	1.04E-07	4.06E-03	1.80E-03	1.46E-04	4.57E-03
3-4:het:0-100kb	2.11E-03	1.92E-03	3.54E-04	3.10E-04	1.57E-03	2.46E-03
3-4:het:100kb-1Mb	2.11E-03	2.68E-03	7.70E-04	1.97E-03	1.08E-03	2.65E-03
3-4:het:1Mb-10Mb	4.28E-03	4.11E-03	1.84E-03	2.61E-03	2.93E-03	6.07E-03
3-4:het:10Mb-40Mb	3.99E-03	4.55E-03	5.70E-04	2.36E-03	1.72E-03	5.52E-03
3-4:het:>40Mb	4.54E-03	5.01E-03	8.97E-04	3.92E-03	1.19E-03	4.83E-03
5-8:het:0-100kb	1.55E-03	1.57E-03	3.91E-04	7.30E-04	6.30E-04	1.67E-03
5-8:het:100kb-1Mb	3.52E-03	2.86E-03	1.47E-03	3.17E-03	1.77E-03	2.00E-03
5-8:het:1Mb-10Mb	6.52E-03	3.40E-03	8.96E-04	3.41E-03	5.37E-03	3.02E-03
5-8:het:10Mb-40Mb	1.78E-03	3.50E-03	2.28E-04	1.19E-03	4.45E-03	3.87E-03
5-8:het:>40Mb	5.38E-04	2.63E-03	6.33E-09	1.42E-03	1.60E-03	2.06E-03
9+:het:0-100kb	1.33E-03	1.14E-03	2.09E-04	1.39E-03	5.17E-04	8.60E-04
9+:het:100kb-1Mb	4.97E-03	2.06E-03	2.45E-04	6.24E-03	2.80E-03	9.42E-04
9+:het:1Mb-10Mb	3.01E-03	8.76E-04	1.18E-04	3.71E-03	3.31E-03	1.18E-03
9+:het:10Mb-40Mb	8.67E-05	1.28E-04	1.30E-04	2.38E-04	6.35E-04	3.60E-04
9+:het:>40Mb	2.27E-08	4.32E-08	2.38E-08	4.02E-05	1.14E-04	1.82E-05
