Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
PD53330c	5	9	75	12	2	6	7
PD53331a	0	0	25	0	0	0	144
PD53332d	0	64	0	55	12	31	0
PD53332e	5	11	74	0	0	0	0
PD53333f	160	16	0	19	8	0	0
PD53334a	0	55	75	0	0	5	0
PD53337a	8	0	60	1	0	7	0
PD53337c	19	0	58	7	0	1	0
PD53338a	0	50	39	10	48	0	43
PD53339a	0	0	0	62	0	2	62
PD53341a	0	0	59	0	66	6	46
PD53342a	0	12	69	0	24	0	62
PD53343h	13	4	55	13	0	0	0
PD53343i	29	16	57	2	0	0	1
PD53345a	35	39	0	57	42	0	0
PD53346a	0	27	1	59	0	33	45
PD53347c	0	5	0	0	25	231	0
PD53348a	0	50	46	0	0	3	74
PD53349d	55	24	3	44	14	17	0
PD53349e	29	0	6	54	35	10	0
PD53350d	29	49	0	22	90	0	0
PD53350e	44	47	0	12	80	4	0
PD53351a	70	254	2	0	0	43	0
PD53352d	62	0	0	72	4	0	0
PD53352e	129	0	1	48	0	0	0
PD53353a	0	0	17	52	3	25	8
PD53354a	8	0	71	0	0	0	23
PD53355c	39	2	1	46	68	0	0
PD53357c	4	36	0	71	0	13	0
PD53357d	74	57	0	32	0	18	0
PD53357e	63	34	1	44	12	8	0
PD53358a	24	0	49	0	9	11	73
PD53359c	122	0	0	0	0	64	0
PD53361a	0	45	70	0	0	1	8
PD53362a	0	22	3	79	0	3	0
PD53363a	3	0	11	47	33	0	0
PD53364c	98	130	0	2	0	22	0
PD53365a	115	81	0	13	21	0	0
PD53366a	2	0	48	2	10	15	0
PD53367a	0	0	64	0	63	7	0
PD53368a	72	97	0	34	16	39	0
PD53369a	0	35	73	0	10	0	0
