Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
PD53330c	9.29E-01	9.54E-01	1.29E+00	8.13E-01	3.51E-01	6.64E-01	1.24E+00
PD53331a	1.67E+00	8.33E-01	3.91E+00	3.33E+00	0.00E+00	6.00E-02	5.29E+00
PD53332d	2.53E+00	3.30E+00	2.12E-01	2.52E+00	1.64E+00	1.68E+00	7.59E-01
PD53332e	7.55E-01	8.00E-01	1.09E+00	4.27E-01	2.21E-01	2.43E-02	9.24E-01
PD53333f	4.85E+00	4.14E+00	0.00E+00	3.91E+00	1.76E+00	1.02E+00	5.22E-01
PD53334a	1.01E+00	1.81E+00	1.96E+00	5.83E-01	6.74E-01	6.28E-01	2.04E+00
PD53337a	5.78E-01	3.50E-01	1.23E+00	7.69E-01	9.77E-02	4.16E-01	1.30E+00
PD53337c	8.64E-01	4.50E-01	8.90E-01	8.68E-01	1.27E-01	2.11E-01	7.05E-01
PD53338a	1.46E+00	2.40E+00	2.41E+00	1.50E+00	1.59E+00	7.19E-01	3.10E+00
PD53339a	9.83E-01	1.07E+00	1.24E+00	3.34E+00	3.05E-01	8.17E-01	3.52E+00
PD53341a	4.60E-01	1.67E+00	2.46E+00	7.50E-01	1.99E+00	7.63E-01	3.15E+00
PD53342a	1.94E-01	2.67E+00	3.29E+00	5.57E-01	1.35E+00	3.67E-01	3.78E+00
PD53343h	9.53E-01	8.01E-01	8.44E-01	1.06E+00	0.00E+00	6.80E-02	7.16E-01
PD53343i	1.40E+00	1.29E+00	1.38E+00	9.66E-01	1.05E-01	1.00E-02	1.19E+00
PD53345a	4.95E+00	5.66E+00	0.00E+00	4.52E+00	3.48E+00	2.72E-01	1.29E+00
PD53346a	1.49E+00	3.39E+00	1.27E+00	4.61E+00	8.95E-02	2.57E+00	3.89E+00
PD53347c	3.29E-01	3.07E+00	0.00E+00	7.93E-01	1.75E+00	3.08E+00	3.04E-01
PD53348a	7.58E-01	3.71E+00	4.52E+00	3.56E-01	8.52E-01	8.87E-01	5.60E+00
PD53349d	2.99E+00	2.61E+00	2.69E-01	2.46E+00	1.31E+00	1.14E+00	5.52E-01
PD53349e	2.12E+00	9.69E-01	3.51E-01	2.16E+00	1.20E+00	1.22E+00	5.61E-01
PD53350d	3.05E+00	4.23E+00	0.00E+00	3.65E+00	3.23E+00	1.03E+00	3.30E-01
PD53350e	3.15E+00	4.26E+00	7.29E-02	3.34E+00	3.36E+00	9.74E-01	3.42E-01
PD53351a	6.94E+00	8.56E+00	7.34E-01	3.80E+00	1.98E+00	4.55E+00	2.47E+00
PD53352d	3.58E+00	1.65E+00	2.00E-02	3.66E+00	4.19E-01	7.63E-01	4.78E-01
PD53352e	3.81E+00	2.12E+00	2.33E-01	3.71E+00	7.09E-01	6.27E-01	4.12E-01
PD53353a	1.32E+00	1.01E+00	1.01E+00	1.94E+00	4.46E-01	1.13E+00	1.61E+00
PD53354a	5.46E-01	1.07E+00	2.11E+00	3.98E-01	8.00E-02	0.00E+00	2.17E+00
PD53355c	2.59E+00	2.93E+00	1.93E-01	3.24E+00	2.50E+00	2.39E-01	1.06E-01
PD53357c	2.50E+00	2.83E+00	4.38E-02	3.08E+00	1.21E+00	1.16E+00	4.05E-01
PD53357d	3.50E+00	3.56E+00	0.00E+00	3.07E+00	7.21E-01	1.24E+00	4.71E-01
PD53357e	2.76E+00	2.49E+00	3.02E-01	2.51E+00	1.25E+00	1.04E+00	6.67E-01
PD53358a	1.94E+00	2.28E+00	2.93E+00	1.25E+00	6.37E-01	6.74E-01	3.42E+00
PD53359c	3.31E+00	1.76E+00	0.00E+00	3.15E+00	1.00E+00	2.10E+00	3.42E-01
PD53361a	9.43E-01	1.31E+00	1.88E+00	4.94E-01	4.07E-01	4.77E-01	2.03E+00
PD53362a	2.07E+00	1.88E+00	5.08E-01	2.50E+00	0.00E+00	8.96E-01	1.30E+00
PD53363a	1.51E+00	9.65E-01	4.25E-01	1.73E+00	1.17E+00	5.56E-01	4.99E-01
PD53364c	5.89E+00	5.76E+00	3.42E-01	3.69E+00	9.42E-01	1.80E+00	6.67E-01
PD53365a	5.76E+00	5.63E+00	3.13E-01	3.68E+00	2.34E+00	8.33E-01	7.72E-01
PD53366a	3.73E-01	3.68E-01	1.02E+00	4.38E-01	5.79E-01	5.67E-01	9.86E-01
PD53367a	1.40E-01	6.13E-01	1.40E+00	7.11E-01	1.87E+00	8.66E-01	2.13E+00
PD53368a	4.57E+00	5.31E+00	2.50E-01	3.42E+00	1.41E+00	2.68E+00	1.14E+00
PD53369a	1.05E+00	1.71E+00	1.41E+00	7.27E-01	9.40E-01	2.10E-01	1.29E+00
