MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
0:homdel:0-100kb	0.00039911957787410303	0.00044225708125004813	0.0004386515483879627	0.002659651293953189	0.002280926819230729	0.0011204198156615774	0.012171219911561764
0:homdel:100kb-1Mb	0.0016780564567338274	0.0006816003025253892	0.0012626878237206895	0.005256625716910639	0.00322443531066682	0.003988978796778753	0.02687213102349972
0:homdel:>1Mb	0.004280769741397279	0.0020605711378858514	0.004208363083997568	0.019034836784220042	7.166055850404974e-07	3.7536641972479856e-07	0.09762211423802199
1:LOH:0-100kb	0.001724223504565856	0.0006560233818152739	0.004511847536943492	0.0012929169599208024	0.0001181122190137529	3.17305508320942e-05	0.0019190095323286015
1:LOH:100kb-1Mb	0.003041772571911974	0.007492231323754197	0.017063702896820736	0.005971179006736236	0.0003690853878129019	0.005824883546232016	0.017061203348825982
1:LOH:1Mb-10Mb	0.0015751223867013664	0.04054604899154754	0.041344528293694796	0.006987016064139198	0.0007405333240168943	0.005874322727158727	0.09148130000568927
1:LOH:10Mb-40Mb	0.0014115503644026438	0.011381990117514817	0.04295506139788472	0.004674886683003691	0.0013495581244707467	0.0007245308524422444	0.06276747436029836
1:LOH:>40Mb	0.00017277815709425325	0.0030141578373888067	0.03464332989316631	0.0004273109065964675	0.0065445857390106	6.35154397965465e-05	0.017467198633084706
2:LOH:0-100kb	0.007701009766190908	0.0027598573008262763	0.0019548921931860264	0.0024023837827365922	2.6332202835988027e-08	4.6432330565218114e-05	0.002856417048169746
2:LOH:100kb-1Mb	0.07431185700930655	0.022482207722986088	0.002871119863245326	0.020560782163618684	0.003071273624409656	0.0019202207774458202	0.004139787686678744
2:LOH:1Mb-10Mb	0.09944190325215459	0.058663775320601415	0.010413777221356214	0.04807851079807733	0.06709690633229912	0.0009391280147923453	0.01434854152455614
2:LOH:10Mb-40Mb	0.061848306017927825	0.024744514305603503	0.0018220780193792053	0.0341576406527588	0.013959927188507209	0.00016012471738463318	0.004876962261464541
2:LOH:>40Mb	0.012904981276813601	0.007484315764028224	0.00607047489740836	0.03639643163413552	0.004378980229199101	0.021089615550578457	0.013592639174347595
3-4:LOH:0-100kb	0.012946825451900708	0.0015834941720310526	0.0030898980972351355	0.010380083703196182	0.0003170853379107541	0.0006287165543037432	0.008108753491573245
3-4:LOH:100kb-1Mb	0.03631324673071504	0.0032505268830777824	0.001317457971384357	0.007155578013126842	0.006229533192770305	0.028455895454608252	0.008047660326410551
3-4:LOH:1Mb-10Mb	0.02361275627416319	0.015190249842216872	0.00014915414193957587	0.006136642290546988	0.03574193353386363	0.11329060811549425	0.010753252618840747
3-4:LOH:10Mb-40Mb	0.00883788551708566	0.0009670950843024784	9.564728330246908e-08	0.007165523059336465	0.002326163477468999	0.05501574585214257	0.00155010966029419
3-4:LOH:>40Mb	0.002918871301096502	0.00036437068905115666	5.0695294650733305e-05	0.0079729813542939	0.0014595280896386599	0.019662114716510075	0.002253095066558095
5-8:LOH:0-100kb	0.002164447575208328	0.00269497918121516	4.9406900763173666e-05	0.0012762491756651074	0.0001942276330853332	0.0018422925570480686	0.002718797597387095
5-8:LOH:100kb-1Mb	0.007116855232592911	0.003240061362748179	0.00012195385779833146	0.006127607526382803	0.004824634656562097	0.009990208455304525	0.007408476644497739
5-8:LOH:1Mb-10Mb	0.006345887841181366	0.005278302517846214	0.0011165117511899858	0.0063058567553674295	0.0009211456458729117	0.03541151256112243	0.007517499290232195
5-8:LOH:10Mb-40Mb	0.0012449095201738202	1.8681225254582046e-05	6.77937364986292e-05	0.0012139638259707653	0.00015135381934040432	0.023460423552896827	0.0003228632513776586
5-8:LOH:>40Mb	4.258249730991537e-05	0.00043293549160080327	0.00034906987266502653	0.00041559314455327014	0.0021919087234212498	0.003122440762767269	0.00024403243353374293
9+:LOH:0-100kb	0.0005432494608513139	0.0006096213268159545	0.004762154633002495	0.005047344429878464	0.033786420105025174	0.0006904197118472055	0.012604484063509318
9+:LOH:100kb-1Mb	0.0005496178306046674	0.0005690428149671333	6.30622285342497e-07	0.0026718592807445417	0.1405267422489419	0.006502029699639778	0.008025719560729385
9+:LOH:1Mb-10Mb	0.00023185215058305175	0.0018942877336820807	0.0014287401117152143	0.0006462234534818024	0.03255176233043699	0.0018598393825129734	0.005125090025687058
9+:LOH:10Mb-40Mb	5.238897967529965e-07	2.625943129608288e-07	1.1355949044400403e-06	9.629394759258503e-07	4.960825191346885e-07	4.1717751884107204e-07	5.484833940982981e-07
9+:LOH:>40Mb	5.238898044979124e-07	2.6259431180619685e-07	1.1355948902291856e-06	9.629394639887323e-07	4.960825367561483e-07	4.17177509746125e-07	5.484834068880673e-07
2:het:0-100kb	0.0370862463239169	0.003574339812195717	0.0026359403637447086	0.005721724934654162	7.218019760557582e-08	0.0001683760119103539	0.0003315050733399971
