MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG
0:homdel:0-100kb	1.58E-04	1.63E-04	1.08E-04	4.72E-04	3.25E-04	1.98E-04	1.06E-03
0:homdel:100kb-1Mb	1.20E-03	6.82E-04	3.57E-04	1.32E-03	3.22E-04	2.92E-04	2.34E-03
0:homdel:>1Mb	3.01E-03	1.93E-03	1.28E-03	4.45E-03	1.89E-07	4.37E-08	7.39E-03
1:LOH:0-100kb	2.06E-04	1.48E-04	2.71E-04	2.03E-04	5.00E-05	3.15E-05	3.33E-04
1:LOH:100kb-1Mb	5.29E-04	1.09E-03	8.81E-04	6.56E-04	2.88E-04	4.09E-04	1.49E-03
1:LOH:1Mb-10Mb	6.04E-04	6.04E-03	3.24E-03	1.65E-03	7.41E-04	7.62E-04	6.60E-03
1:LOH:10Mb-40Mb	1.16E-03	2.12E-03	1.99E-03	1.34E-03	7.41E-04	2.93E-04	3.63E-03
1:LOH:>40Mb	1.73E-04	9.65E-04	1.31E-03	2.61E-04	5.54E-04	5.69E-05	2.01E-03
2:LOH:0-100kb	6.18E-04	4.49E-04	2.14E-04	4.09E-04	1.11E-08	2.91E-05	4.51E-04
2:LOH:100kb-1Mb	2.57E-03	1.80E-03	3.68E-04	2.31E-03	9.03E-04	2.51E-04	7.37E-04
2:LOH:1Mb-10Mb	3.47E-03	3.90E-03	9.44E-04	3.90E-03	2.62E-03	3.08E-04	1.32E-03
2:LOH:10Mb-40Mb	2.31E-03	2.17E-03	2.96E-04	2.48E-03	1.08E-03	1.18E-04	6.94E-04
2:LOH:>40Mb	1.59E-03	1.55E-03	6.40E-04	2.46E-03	4.68E-04	1.73E-03	1.77E-03
3-4:LOH:0-100kb	1.09E-03	5.36E-04	3.28E-04	1.06E-03	1.30E-04	2.81E-04	1.04E-03
3-4:LOH:100kb-1Mb	2.78E-03	5.90E-04	2.45E-04	1.21E-03	8.92E-04	1.77E-03	2.16E-03
3-4:LOH:1Mb-10Mb	2.37E-03	1.61E-03	1.26E-04	1.03E-03	2.08E-03	2.96E-03	1.68E-03
