Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
PD53330c	10	70	9	3	8	6	0	10
PD53331a	0	23	0	0	0	0	0	146
PD53332d	63	0	50	0	5	38	6	0
PD53332e	16	74	0	0	0	0	0	0
PD53333f	41	0	29	128	0	0	4	1
PD53334a	32	66	0	0	30	7	0	0
PD53337a	0	60	3	7	0	6	0	0
PD53337c	0	58	9	17	0	1	0	0
PD53338a	14	30	7	0	78	0	49	12
PD53339a	0	0	51	0	0	6	0	69
PD53341a	0	54	0	0	37	0	63	23
PD53342a	0	63	0	0	58	0	19	27
PD53343h	7	57	14	7	0	0	0	0
PD53343i	13	52	4	21	13	0	0	2
PD53345a	75	0	59	11	0	0	28	0
PD53346a	0	0	52	0	81	25	0	7
PD53347c	12	0	0	0	0	230	19	0
PD53348a	0	34	0	0	135	0	0	4
PD53349d	44	5	48	38	0	16	6	0
PD53349e	0	7	48	34	0	10	35	0
PD53350d	70	0	29	7	0	1	83	0
PD53350e	67	0	21	22	0	5	72	0
PD53351a	182	0	0	49	85	53	0	0
PD53352d	0	0	70	60	0	0	6	2
PD53352e	0	0	50	114	12	0	2	0
PD53353a	0	15	47	0	7	25	1	10
PD53354a	0	64	0	0	28	0	0	10
PD53355c	25	1	50	20	0	0	60	0
PD53357c	40	0	68	0	1	15	0	0
PD53357d	63	0	37	55	7	19	0	0
PD53357e	49	2	45	46	0	9	6	5
PD53358a	0	44	0	14	69	0	6	33
PD53359c	0	0	0	122	0	62	2	0
PD53361a	17	61	0	0	46	0	0	0
PD53362a	9	0	67	1	28	2	0	0
PD53363a	0	12	45	5	0	0	32	0
PD53364c	122	0	10	66	29	25	0	0
PD53365a	104	3	27	78	5	0	13	0
PD53366a	0	49	2	3	0	14	9	0
PD53367a	0	62	0	0	0	6	64	2
PD53368a	74	0	34	53	41	41	15	0
PD53369a	39	72	0	0	0	0	5	2
