Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
PD53330c	7.84E-01	1.75E+00	7.83E-01	7.52E-01	1.89E+00	6.83E-01	3.47E-01	1.15E+00
PD53331a	1.79E-01	2.71E+00	1.12E+00	8.34E-01	2.14E+00	0.00E+00	4.90E-01	3.52E+00
PD53332d	2.53E+00	1.87E-01	1.97E+00	1.45E+00	2.10E+00	1.57E+00	1.61E+00	3.10E-01
PD53332e	7.73E-01	1.45E+00	2.84E-01	5.68E-01	8.89E-01	0.00E+00	1.60E-01	1.11E+00
PD53333f	4.43E+00	0.00E+00	3.75E+00	4.51E+00	2.65E+00	9.71E-01	1.06E+00	3.24E-01
PD53334a	1.63E+00	2.22E+00	6.33E-01	6.30E-01	2.33E+00	5.62E-01	7.10E-01	1.45E+00
PD53337a	3.21E-01	1.18E+00	6.67E-01	4.93E-01	1.03E+00	3.35E-01	6.52E-01	9.24E-01
PD53337c	5.96E-01	1.06E+00	8.72E-01	8.30E-01	7.80E-01	1.44E-01	1.32E-01	7.32E-01
PD53338a	2.02E+00	2.47E+00	1.35E+00	1.02E+00	2.89E+00	6.39E-01	1.55E+00	2.22E+00
PD53339a	2.48E-01	8.40E-01	2.64E+00	0.00E+00	1.85E+00	6.61E-01	4.09E-01	2.67E+00
PD53341a	8.34E-01	2.49E+00	2.53E-01	4.74E-01	3.37E+00	6.08E-01	1.71E+00	1.81E+00
PD53342a	1.72E+00	3.75E+00	5.64E-01	2.62E-01	4.03E+00	3.28E-01	1.31E+00	3.07E+00
PD53343h	7.68E-01	1.04E+00	9.68E-01	8.94E-01	9.31E-01	4.00E-02	0.00E+00	6.65E-01
PD53343i	1.36E+00	1.75E+00	9.22E-01	1.36E+00	1.64E+00	2.23E-02	8.56E-02	1.00E+00
PD53345a	5.28E+00	0.00E+00	4.10E+00	3.54E+00	1.42E+00	3.13E-01	3.07E+00	0.00E+00
PD53346a	1.89E+00	1.08E+00	4.65E+00	2.79E-01	4.87E+00	2.35E+00	7.00E-02	4.22E+00
PD53347c	2.18E+00	0.00E+00	8.63E-01	1.60E-01	1.64E+00	2.56E+00	1.32E+00	0.00E+00
PD53348a	1.97E+00	4.56E+00	3.81E-01	6.68E-01	4.99E+00	8.52E-01	6.02E-01	3.87E+00
PD53349d	2.59E+00	2.95E-01	2.27E+00	2.65E+00	1.70E+00	1.30E+00	1.09E+00	3.78E-01
PD53349e	9.88E-01	3.83E-01	1.98E+00	1.90E+00	1.31E+00	1.34E+00	1.14E+00	2.89E-01
PD53350d	4.20E+00	0.00E+00	3.48E+00	1.16E+00	6.94E-01	7.44E-01	3.96E+00	2.13E-01
PD53350e	3.84E+00	3.15E-02	3.11E+00	1.69E+00	9.41E-01	8.87E-01	3.45E+00	1.71E-01
PD53351a	8.01E+00	5.95E-01	2.08E+00	4.66E+00	8.09E+00	3.85E+00	2.03E+00	5.93E-01
PD53352d	2.13E+00	0.00E+00	3.07E+00	3.22E+00	1.69E+00	6.92E-01	3.97E-01	3.73E-01
PD53352e	2.31E+00	2.26E-01	3.05E+00	3.32E+00	2.16E+00	6.67E-01	3.94E-01	3.87E-01
PD53353a	4.70E-01	1.06E+00	1.88E+00	1.00E+00	1.75E+00	9.90E-01	4.80E-01	1.25E+00
PD53354a	2.68E-01	2.74E+00	4.04E-01	5.34E-01	2.52E+00	0.00E+00	0.00E+00	1.91E+00
PD53355c	3.23E+00	1.98E-01	2.86E+00	1.85E+00	8.11E-01	1.15E-01	2.72E+00	1.54E-01
PD53357c	2.16E+00	3.59E-02	2.56E+00	1.79E+00	1.89E+00	9.13E-01	4.74E-01	5.38E-01
PD53357d	3.15E+00	0.00E+00	2.82E+00	3.01E+00	2.74E+00	1.16E+00	6.06E-01	0.00E+00
PD53357e	2.26E+00	2.99E-01	2.31E+00	2.60E+00	1.75E+00	9.95E-01	9.40E-01	2.51E-01
PD53358a	1.20E+00	3.12E+00	8.79E-01	1.70E+00	3.35E+00	6.29E-01	6.31E-01	2.89E+00
PD53359c	1.75E+00	0.00E+00	2.40E+00	3.05E+00	1.36E+00	2.11E+00	5.54E-01	9.84E-01
PD53361a	1.28E+00	2.12E+00	4.14E-01	5.44E-01	2.29E+00	4.20E-01	3.13E-01	1.34E+00
PD53362a	1.46E+00	4.18E-01	2.53E+00	1.78E+00	2.11E+00	8.54E-01	2.00E-02	1.13E+00
PD53363a	1.35E+00	4.48E-01	1.47E+00	1.08E+00	4.80E-01	5.58E-01	1.35E+00	3.24E-01
PD53364c	4.76E+00	3.34E-01	2.74E+00	4.05E+00	4.16E+00	1.61E+00	5.76E-01	3.54E-01
PD53365a	4.63E+00	3.44E-01	3.28E+00	4.43E+00	3.58E+00	5.29E-01	1.81E+00	1.86E-01
PD53366a	2.45E-01	1.44E+00	3.44E-01	2.96E-01	1.46E+00	5.51E-01	5.56E-01	8.91E-01
PD53367a	1.14E-01	1.71E+00	2.94E-01	1.17E-01	2.76E+00	7.01E-01	2.17E+00	1.26E+00
PD53368a	5.58E+00	1.58E-01	2.59E+00	3.34E+00	5.47E+00	2.43E+00	1.28E+00	5.08E-01
PD53369a	1.60E+00	1.93E+00	7.70E-01	7.51E-01	2.15E+00	2.73E-01	7.85E-01	1.12E+00
