MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
0:homdel:0-100kb	3.816550772995697e-05	0.00017564977907760237	0.0018202854318705875	0.0003059975562539563	0.0017134931312486402	0.0008955783079578339	0.0026300376210795662	0.013909428927644569
0:homdel:100kb-1Mb	1.737664848633358e-07	0.0009397530413200883	0.0005497076791788025	0.00034561788562808004	0.00018736686015861538	0.004344559802111831	0.004010374035262174	0.03911239444041598
0:homdel:>1Mb	2.1078172550481612e-07	0.001341301738566898	0.002768555877860308	0.00017273589594843486	0.00021010208751135907	2.807814561123223e-07	0.0019092735809974216	0.14753782664425671
1:LOH:0-100kb	0.000572284478371472	0.0051011611291346525	0.001277495088926912	0.002171514379149677	0.0004877055466312896	3.442299941564419e-05	0.00018961960242279473	0.0021964383445664025
1:LOH:100kb-1Mb	0.002412850174249712	0.01539231393025716	0.004746999601147906	0.003571483920308509	0.018144801032499915	0.006116876105475341	0.0010733063976685387	0.013937356751002312
1:LOH:1Mb-10Mb	0.00993416082542872	0.03304025657981214	0.0011478753749392468	0.0012748196666797895	0.0980319449902845	0.0055780697270584765	4.949057537828594e-07	0.0638917212348133
1:LOH:10Mb-40Mb	0.0023633701139382526	0.036237672234346686	0.0004089092438802311	3.43096527042519e-05	0.047618654716589645	0.00020894783206735213	0.0013645216765565493	0.05856591374608115
1:LOH:>40Mb	7.429211569363048e-05	0.03206687305031721	0.00013704015968318828	7.073935873513903e-08	0.018718362236266075	1.1687300155216463e-07	0.008153955044246004	0.015774421577641497
2:LOH:0-100kb	0.001644468737407081	0.0019718836418550724	0.0016883528193928044	0.009590788089178374	0.00271141558855561	9.9516138621496e-05	2.4402395393252618e-05	0.003141652993938777
2:LOH:100kb-1Mb	0.03132098216928739	0.0027149405095663326	0.018945369403396056	0.08853770427405834	0.010552245140554816	0.001840477842331083	0.00244592709715846	0.003896975612271376
2:LOH:1Mb-10Mb	0.07284195073880255	0.010843796530951976	0.05215167452581227	0.09765709307976067	0.03352085664519109	0.000696329481434077	0.06806029805913567	0.015319135964194857
2:LOH:10Mb-40Mb	0.029784917508587794	0.0016876471909529301	0.039486439818222155	0.06163986546535154	0.018370138025919688	0.00022380995914986101	0.014288726770330414	0.0035855387865667866
2:LOH:>40Mb	0.005557942556287685	0.0057872939565471885	0.03993061530938803	0.012478434444970255	0.013123232192357505	0.01646193016427617	0.00526867794877262	0.01614503443538524
3-4:LOH:0-100kb	0.0008531696990101523	0.003146394598390714	0.00919163138183909	0.016826868017481615	0.0028107066133597415	0.00048335189005946686	0.00031550676357255725	0.010559477053095633
3-4:LOH:100kb-1Mb	0.00315748856154471	0.001564831266977862	0.0029851050200022655	0.04911537327659971	0.0068398816119323415	0.029167469337116926	0.006340024036825511	0.008901245841305467
3-4:LOH:1Mb-10Mb	0.013014386920831384	0.0002971665588090389	0.0037452492397548553	0.03192540623887453	0.015337739136762422	0.11813025910407304	0.036009678296977654	0.010548956204266347
3-4:LOH:10Mb-40Mb	0.0014191177850963754	2.207349160618044e-05	0.007508539923575839	0.012646171040625518	0.002743144973712859	0.05701519593829289	0.0012869462363698859	0.0022755152011306734
3-4:LOH:>40Mb	0.000115808758256426	6.295123312001216e-05	0.007419237888318921	0.004265473522888214	0.002118897263539026	0.019985638448765428	0.001793837440422834	0.003067978256360249
5-8:LOH:0-100kb	0.0018147611640144134	1.1748574993344364e-05	0.0007296229145941169	0.002569923899687083	0.003966196338719073	0.0012748555197211432	0.0004448705810042952	0.0018518847991941811
5-8:LOH:100kb-1Mb	0.00206582101137613	7.946191682943749e-05	0.005581606698506221	0.008941355189783735	0.005554266307851065	0.010404786856819328	0.004541569190550092	0.007955910707736394
5-8:LOH:1Mb-10Mb	0.0037467263179043185	0.0006646635225629094	0.006245141196677934	0.009833726547788331	0.010800277955826231	0.034354606309794346	4.343350381574851e-05	0.0055905539438145975
5-8:LOH:10Mb-40Mb	0.00012638660393113455	0.0003613315240556858	0.0016142713335734271	0.0015562604528909674	0.0015850573403958122	0.024490996561726205	1.9052286091891803e-07	2.6614391186896567e-07
5-8:LOH:>40Mb	0.0003993876301497501	0.0004512835590278996	0.0004378828397834411	0.0001228525143912762	0.000346231803965793	0.003216590344046324	0.002150970460393893	0.00014968735883992502
9+:LOH:0-100kb	0.00016522873970714613	0.0052976649952175235	0.0053207879930716115	0.0007641112900637914	0.004365433189398544	0.00043249380248198575	0.03674157680753837	0.01076019393446689
9+:LOH:100kb-1Mb	0.0009422863601361106	0.000688680357707625	0.0018051264359070273	0.0007685262381438207	0.00720404719468263	0.005591453909288893	0.15351576573974854	0.007062056367090364
9+:LOH:1Mb-10Mb	0.0006649177081596847	0.001313738713437793	5.708958121957153e-06	0.0005045472885958891	0.00700437285834937	0.0019059255092856197	0.03572435612426489	0.00232565495084188
9+:LOH:10Mb-40Mb	2.963681777679028e-07	1.1834808412913845e-06	1.0584216011011448e-06	5.032557248085822e-07	4.4615536809455847e-07	4.096807583664486e-07	4.806680970759204e-07	5.988242823207201e-07
9+:LOH:>40Mb	2.963681746237512e-07	1.1834808418598185e-06	1.0584216016695791e-06	5.032557161399609e-07	4.4615537002634654e-07	4.096807545295178e-07	4.806681051761076e-07	5.988242963894663e-07
2:het:0-100kb	0.004213483811724075	0.0028732804559177794	0.004396406957044832	0.0463461135541867	0.0031706024653685816	3.2001417004323685e-07	3.646224875808457e-08	0.001427881473138415
2:het:100kb-1Mb	0.00736858134351678	0.036807664353400465	0.012123860308329277	0.019341817800407172	0.018579525251989252	0.011230382041114808	0.0030548380935221074	0.007360102740785805
2:het:1Mb-10Mb	0.00179865669960748	0.15491131484508514	0.006701754709133212	8.190158169290284e-05	0.10626133942881211	1.2281698722915734e-07	0.002215145497900721	0.16123712753490962
2:het:10Mb-40Mb	0.00012237023184761498	0.22938234448432923	0.001916788296906815	0.000277966170067927	0.07389385398315966	8.411999171819673e-05	0.00213040371486791	0.11758408159284159
2:het:>40Mb	0.00036465070310605087	0.29817973881959914	6.873593072270978e-05	3.6261656052971605e-07	0.029056866273662933	2.180070362811648e-07	0.0032868915175835412	0.03225270470414225
3-4:het:0-100kb	0.009218577137686453	0.0035786780520356844	0.004720427119252103	0.05986192591488362	0.009434645389662393	0.00398411595862001	0.002099102578940233	0.003924525315381899
3-4:het:100kb-1Mb	0.07254695679992437	0.019060704803559928	0.01390302537707612	0.07467507462017238	0.029568008254282175	0.008113242193201132	0.010492996755037893	0.017472668021645175
3-4:het:1Mb-10Mb	0.15469278685748578	0.0471747737727128	0.12145864439895376	0.09122704262845219	0.11524650061735883	0.028957225373596886	0.014687417908063383	0.043535385885625145
3-4:het:10Mb-40Mb	0.05516230837059538	0.00017400906630911096	0.20245842263102531	0.08024882030300433	0.05070803121139761	0.038591595683246854	0.04854391293560184	0.06606806621124292
3-4:het:>40Mb	0.05502186570520962	0.0073474613632924955	0.22563707329332827	0.09259951490643037	0.02679176567762625	0.003942634005559853	0.06317560938552788	0.04010902461530577
5-8:het:0-100kb	0.016333758863570153	0.004333739531124934	0.008691678742046776	0.035251901684172054	0.004140361563250536	0.009873437845247537	0.004483466085948038	0.0005458253322706952
5-8:het:100kb-1Mb	0.10793486796086654	0.027286355193991765	0.02577051182393916	0.029590842691250147	0.030316404397831623	0.021192790756117574	0.013937004078179598	0.005667027609337083
5-8:het:1Mb-10Mb	0.11763840429484844	0.004884593215213277	0.03749082910566358	0.011400063564996454	0.08556104098925062	0.2269842481613159	0.07050292519852519	0.002551485095372641
5-8:het:10Mb-40Mb	0.007526857200240613	0.00019120210028255257	0.04508230870663112	0.002366209242472728	0.01955613107584654	0.13500251721590759	0.0010271381316681526	0.019076259308593108
5-8:het:>40Mb	0.002449005256666226	6.183128675729677e-10	0.04269392661979509	0.006205544774015177	0.0035823553500264893	0.02376351593348318	0.014116804876862262	0.006005762141055868
9+:het:0-100kb	0.030750337007159487	0.000936287547299628	0.007306082011973545	0.020423115481225978	0.004271144369846809	0.00651634222442567	0.01670405894935669	0.0054271104189646735
9+:het:100kb-1Mb	0.11644448680792607	0.0005932526335493549	0.01319969208320792	0.008043804784618611	0.02504196386001695	0.02440005162830289	0.21154207920437784	7.836726503285263e-08
9+:het:1Mb-10Mb	0.05512363526533136	6.345769316119743e-05	0.007333505799258146	0.0040151622875318	0.02902316355137935	0.0965615464374423	0.129563753057746	0.0012891480740418616
9+:het:10Mb-40Mb	0.00025633600440297497	0.0009552532035861639	0.0013943880627917337	0.0004204711201528788	0.0017284738430454994	0.01650918679452502	0.00010662811116047167	0.00040086396153462547
9+:het:>40Mb	2.3597905896011184e-07	9.906235018775078e-07	5.877296561518364e-07	2.9741134812688583e-07	3.573503428278002e-07	0.0013370247816112623	4.828720332383796e-07	4.539460764618752e-07
