MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH
0:homdel:0-100kb	2.23E-05	5.25E-05	3.48E-04	8.43E-05	2.99E-04	1.98E-04	3.26E-04	1.02E-03
0:homdel:100kb-1Mb	1.22E-07	3.56E-04	3.79E-04	9.03E-05	8.35E-05	2.82E-04	4.55E-04	2.14E-03
0:homdel:>1Mb	3.53E-08	9.70E-04	1.67E-03	1.09E-04	1.32E-04	2.50E-08	1.56E-03	6.67E-03
1:LOH:0-100kb	1.22E-04	3.55E-04	2.02E-04	2.71E-04	1.33E-04	2.38E-05	8.45E-05	3.13E-04
1:LOH:100kb-1Mb	4.67E-04	9.80E-04	5.93E-04	5.14E-04	1.58E-03	4.16E-04	5.77E-04	1.47E-03
1:LOH:1Mb-10Mb	1.57E-03	3.25E-03	5.59E-04	5.20E-04	8.05E-03	6.56E-04	4.27E-07	5.28E-03
1:LOH:10Mb-40Mb	5.45E-04	2.47E-03	2.31E-04	3.42E-05	4.48E-03	1.23E-04	4.36E-04	3.65E-03
1:LOH:>40Mb	4.31E-05	1.93E-03	6.98E-05	2.71E-08	2.59E-03	2.43E-08	8.19E-04	2.29E-03
2:LOH:0-100kb	2.69E-04	2.59E-04	3.42E-04	8.14E-04	4.77E-04	7.08E-05	2.44E-05	3.99E-04
2:LOH:100kb-1Mb	2.29E-03	4.51E-04	2.17E-03	2.82E-03	1.66E-03	2.81E-04	5.16E-04	7.15E-04
2:LOH:1Mb-10Mb	3.91E-03	1.30E-03	4.24E-03	3.62E-03	4.15E-03	2.10E-04	2.94E-03	1.56E-03
2:LOH:10Mb-40Mb	2.73E-03	3.18E-04	2.66E-03	3.08E-03	2.59E-03	2.23E-04	1.18E-03	6.61E-04
2:LOH:>40Mb	9.12E-04	7.48E-04	2.65E-03	2.04E-03	1.93E-03	1.39E-03	1.17E-03	2.27E-03
3-4:LOH:0-100kb	2.46E-04	3.96E-04	9.80E-04	1.32E-03	4.63E-04	2.55E-04	1.67E-04	1.01E-03
3-4:LOH:100kb-1Mb	1.10E-03	3.89E-04	7.33E-04	3.64E-03	1.91E-03	1.91E-03	8.67E-04	1.54E-03
3-4:LOH:1Mb-10Mb	1.62E-03	1.58E-04	9.66E-04	2.82E-03	2.58E-03	3.15E-03	1.97E-03	1.47E-03
3-4:LOH:10Mb-40Mb	5.72E-04	2.20E-05	1.36E-03	1.42E-03	6.43E-04	2.55E-03	2.66E-04	6.26E-04
3-4:LOH:>40Mb	1.02E-04	5.62E-05	7.98E-04	6.33E-04	4.26E-04	1.12E-03	3.55E-04	6.46E-04
5-8:LOH:0-100kb	3.34E-04	1.01E-05	1.64E-04	3.24E-04	4.23E-04	3.02E-04	2.45E-04	3.87E-04
5-8:LOH:100kb-1Mb	3.83E-04	4.69E-05	7.30E-04	8.27E-04	7.38E-04	8.22E-04	7.56E-04	7.61E-04
5-8:LOH:1Mb-10Mb	8.03E-04	1.80E-04	1.47E-03	1.45E-03	1.68E-03	2.27E-03	4.34E-05	6.16E-04
5-8:LOH:10Mb-40Mb	8.59E-05	1.53E-04	5.57E-04	5.23E-04	8.45E-04	1.11E-03	4.07E-08	9.23E-08
