Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
PD53330c	0	18	0	62	5	20	0	7	4
PD53331a	0	0	0	25	0	15	0	0	129
PD53332d	53	29	0	0	41	0	9	30	0
PD53332e	8	10	0	72	0	0	0	0	0
PD53333f	11	57	103	0	27	0	0	0	5
PD53334a	31	14	0	60	0	25	0	5	0
PD53337a	0	0	7	60	3	0	0	6	0
PD53337c	0	0	16	58	10	0	0	1	0
PD53338a	12	45	0	23	7	64	39	0	0
PD53339a	0	0	0	0	34	0	0	6	86
PD53341a	2	0	0	44	0	54	70	0	7
PD53342a	0	16	0	46	0	90	15	0	0
PD53343h	9	0	7	54	13	2	0	0	0
PD53343i	16	3	19	48	5	13	0	0	1
PD53345a	0	149	0	0	22	0	2	0	0
PD53346a	49	0	0	0	43	26	0	21	26
PD53347c	17	2	0	0	0	0	19	223	0
PD53348a	36	0	0	18	0	118	1	0	0
PD53349d	0	70	27	4	30	0	0	22	4
PD53349e	0	3	29	7	49	0	37	9	0
PD53350d	7	98	2	0	8	0	65	10	0
PD53350e	4	98	14	0	2	0	55	14	0
PD53351a	232	8	69	0	2	16	27	15	0
PD53352d	5	1	54	0	69	0	7	0	2
PD53352e	10	6	101	0	56	3	0	0	2
PD53353a	0	0	3	10	44	21	2	25	0
PD53354a	0	0	4	52	3	43	0	0	0
PD53355c	0	77	5	1	32	0	41	0	0
PD53357c	38	17	0	0	59	0	0	10	0
PD53357d	64	19	56	0	35	0	0	7	0
PD53357e	14	56	38	1	35	5	0	11	2
PD53358a	0	0	39	28	0	86	7	6	0
PD53359c	0	13	117	0	0	0	0	56	0
PD53361a	38	0	0	57	0	29	0	0	0
PD53362a	32	0	0	2	65	7	0	0	1
PD53363a	0	12	4	11	40	0	27	0	0
PD53364c	161	1	68	1	21	0	0	0	0
PD53365a	45	91	69	1	15	4	5	0	0
PD53366a	0	0	3	46	3	0	10	14	1
PD53367a	0	0	0	57	0	0	69	3	5
PD53368a	100	1	56	0	42	8	28	23	0
PD53369a	0	42	0	61	0	12	0	3	0
