Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
PD53330c	1.01E+00	8.38E-01	7.16E-01	2.07E+00	5.99E-01	1.72E+00	2.66E-01	7.23E-01	1.31E+00
PD53331a	0.00E+00	4.96E-01	5.69E-01	3.44E+00	1.18E+00	5.35E+00	6.20E-01	0.00E+00	6.21E+00
PD53332d	2.57E+00	2.25E+00	1.15E+00	1.84E-01	1.88E+00	8.74E-01	1.11E+00	1.40E+00	1.21E+00
PD53332e	1.03E+00	7.45E-01	6.12E-01	1.73E+00	1.16E-01	1.18E+00	8.66E-02	5.09E-02	9.26E-01
PD53333f	3.23E+00	5.21E+00	5.07E+00	0.00E+00	2.85E+00	6.36E-01	8.78E-01	8.12E-01	3.60E+00
PD53334a	1.88E+00	1.20E+00	6.28E-01	2.33E+00	4.45E-01	2.20E+00	5.50E-01	4.74E-01	1.40E+00
PD53337a	6.44E-01	2.99E-01	5.47E-01	1.17E+00	5.69E-01	1.03E+00	2.48E-01	3.74E-01	8.58E-01
PD53337c	6.90E-01	6.84E-01	6.56E-01	1.22E+00	7.38E-01	8.60E-01	1.13E-01	1.88E-01	6.92E-01
PD53338a	2.00E+00	2.02E+00	5.72E-01	2.10E+00	1.00E+00	2.62E+00	1.89E+00	4.18E-01	9.91E-01
PD53339a	1.40E+00	1.26E+00	9.00E-02	1.15E+00	2.62E+00	2.12E+00	4.37E-01	7.73E-01	3.35E+00
PD53341a	1.16E+00	9.27E-01	4.61E-01	2.35E+00	2.62E-01	2.65E+00	1.90E+00	2.00E-02	1.34E+00
PD53342a	1.99E+00	1.71E+00	4.98E-02	3.36E+00	1.05E-01	3.39E+00	1.49E+00	2.12E-01	1.16E+00
PD53343h	7.85E-01	8.41E-01	7.06E-01	1.33E+00	8.25E-01	1.12E+00	0.00E+00	1.00E-02	7.34E-01
PD53343i	1.21E+00	1.16E+00	1.36E+00	1.96E+00	7.47E-01	1.74E+00	3.12E-02	6.00E-02	1.18E+00
