MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI
0:homdel:0-100kb	2.84E-04	2.87E-04	1.42E-04	1.35E-04	2.66E-04	6.55E-04	3.71E-04	1.81E-04	1.00E-03
0:homdel:100kb-1Mb	1.35E-07	5.66E-05	1.81E-04	5.13E-04	4.64E-04	1.33E-03	6.30E-04	3.17E-04	2.80E-03
0:homdel:>1Mb	1.10E-04	6.89E-08	2.99E-07	2.00E-03	1.75E-03	4.72E-03	1.91E-03	2.77E-08	9.87E-03
1:LOH:0-100kb	1.36E-04	1.85E-04	2.61E-04	3.45E-04	2.40E-04	2.30E-04	3.49E-05	5.55E-05	4.65E-04
1:LOH:100kb-1Mb	1.23E-03	9.77E-04	7.68E-04	9.67E-04	5.87E-04	1.55E-03	3.79E-04	4.62E-04	9.55E-04
1:LOH:1Mb-10Mb	3.30E-03	1.61E-03	3.75E-04	2.76E-03	5.89E-04	7.04E-03	8.43E-04	4.53E-04	2.61E-03
1:LOH:10Mb-40Mb	9.79E-04	1.89E-04	2.48E-05	2.31E-03	4.68E-04	4.29E-03	4.19E-04	2.64E-08	3.44E-03
1:LOH:>40Mb	1.53E-05	9.42E-05	6.14E-08	2.66E-03	2.16E-05	2.74E-03	8.29E-04	4.11E-08	1.55E-03
2:LOH:0-100kb	4.34E-04	2.04E-04	9.24E-04	2.40E-04	3.81E-04	3.52E-04	8.60E-05	9.87E-06	6.20E-04
2:LOH:100kb-1Mb	2.10E-03	3.01E-03	3.47E-03	4.97E-04	2.21E-03	1.24E-03	7.76E-04	2.49E-04	2.21E-03
2:LOH:1Mb-10Mb	4.64E-03	4.51E-03	4.67E-03	1.65E-03	4.55E-03	2.58E-03	3.24E-03	8.64E-04	4.10E-03
2:LOH:10Mb-40Mb	2.82E-03	2.43E-03	3.48E-03	3.30E-04	3.37E-03	1.64E-03	1.45E-03	3.98E-04	1.65E-03
2:LOH:>40Mb	1.43E-03	1.46E-03	2.62E-03	1.30E-03	3.25E-03	1.19E-03	9.04E-04	2.30E-03	2.86E-03
3-4:LOH:0-100kb	4.24E-04	7.73E-04	1.38E-03	3.94E-04	1.06E-03	6.49E-04	1.52E-04	6.87E-04	9.75E-04
3-4:LOH:100kb-1Mb	7.95E-04	8.91E-04	4.21E-03	4.47E-04	9.70E-04	2.12E-03	1.03E-03	1.89E-03	1.75E-03
3-4:LOH:1Mb-10Mb	2.14E-03	1.12E-03	4.37E-03	2.88E-04	1.54E-03	3.18E-03	2.25E-03	3.44E-03	1.99E-03
3-4:LOH:10Mb-40Mb	5.74E-04	2.90E-04	1.91E-03	2.59E-08	1.42E-03	1.73E-03	3.73E-04	2.40E-03	7.22E-04
3-4:LOH:>40Mb	3.83E-04	3.35E-04	9.92E-04	5.37E-05	8.18E-04	7.08E-04	3.40E-04	1.13E-03	6.26E-04
5-8:LOH:0-100kb	4.23E-04	2.48E-04	3.86E-04	5.23E-08	2.22E-04	4.37E-04	3.75E-04	1.75E-04	4.55E-04
5-8:LOH:100kb-1Mb	6.06E-04	4.81E-04	8.73E-04	9.59E-05	7.89E-04	6.15E-04	9.51E-04	8.02E-04	7.79E-04
5-8:LOH:1Mb-10Mb	1.69E-03	6.85E-04	1.28E-03	2.04E-04	1.36E-03	1.37E-03	1.79E-04	2.28E-03	1.10E-03
5-8:LOH:10Mb-40Mb	2.49E-04	2.84E-04	4.66E-04	8.16E-05	4.43E-04	8.17E-04	4.00E-05	1.04E-03	4.99E-04
5-8:LOH:>40Mb	1.43E-04	2.07E-04	4.45E-05	9.11E-05	1.46E-04	9.05E-05	3.17E-04	3.56E-04	6.27E-05
9+:LOH:0-100kb	5.57E-04	7.45E-04	1.70E-04	5.55E-04	6.53E-04	5.37E-04	2.16E-03	5.74E-04	1.98E-03
9+:LOH:100kb-1Mb	6.52E-05	2.30E-03	9.44E-04	6.15E-04	3.98E-05	1.25E-03	7.51E-03	8.12E-04	5.80E-03
9+:LOH:1Mb-10Mb	3.17E-04	3.52E-04	2.24E-04	3.25E-04	1.34E-08	9.37E-04	2.08E-03	2.88E-04	1.33E-03
9+:LOH:10Mb-40Mb	2.05E-08	2.27E-08	1.65E-08	1.57E-08	2.05E-08	2.43E-08	1.72E-08	8.79E-09	1.88E-08
9+:LOH:>40Mb	2.05E-08	2.27E-08	1.65E-08	1.57E-08	2.05E-08	2.43E-08	1.72E-08	8.79E-09	1.88E-08
