Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,1.27e-11,64.19%,78.51%,114.47%,63.68%,85.36,0.5305,0.9935,0.249,0.456,0.644,0.343
2*,0.99,0.99,YES,1.39e-01,47.88%,54.71%,95.35%,45.88%,78.97,0.3153,0.6604,0.115,0.369,0.84,0.504
3,0.8,0.53,YES,Most Stab Sigs,42.1%,49.09%,80.81%,40.41%,65.48,0.2767,0.6623,0.094,0.242,0.87,0.648
4,0.74,0.45,NO,N/A,37.86%,43.65%,80.17%,34.88%,64.16,0.2482,0.6235,0.079,0.232,0.891,0.661
5,0.61,-0.1,NO,N/A,34.77%,42.77%,67.0%,33.83%,57.69,0.2299,0.403,0.068,0.15,0.907,0.761
6,0.51,-0.24,NO,N/A,32.33%,40.25%,71.44%,30.78%,59.29,0.2113,0.4286,0.059,0.159,0.92,0.746
7,0.48,0.12,NO,N/A,30.01%,37.99%,63.28%,29.41%,49.81,0.1993,0.373,0.051,0.117,0.931,0.832
8,0.46,-0.33,NO,N/A,28.86%,37.07%,61.39%,28.49%,48.16,0.1823,0.3923,0.046,0.11,0.937,0.836
9,0.43,-0.02,NO,N/A,26.14%,34.11%,61.92%,25.86%,48.27,0.1698,0.3744,0.039,0.112,0.947,0.862
10,0.4,-0.09,NO,N/A,25.18%,32.31%,63.67%,25.66%,48.34,0.1645,0.3805,0.036,0.11,0.951,0.86
