Sample Names	MutationType	CNV48A	CNV48B
PD53330c	0:homdel:0-100kb	0.03315689050217507	0.966843109497825
PD53330c	0:homdel:100kb-1Mb	0.02037006239792335	0.9796299376020766
PD53330c	0:homdel:>1Mb	0.0021963926304199364	0.9978036073695801
PD53330c	1:LOH:0-100kb	0.03288596584754373	0.9671140341524562
PD53330c	1:LOH:100kb-1Mb	0.02447564099841562	0.9755243590015844
PD53330c	1:LOH:1Mb-10Mb	0.010417267604632673	0.9895827323953673
PD53330c	1:LOH:10Mb-40Mb	0.001300340779486153	0.9986996592205138
PD53330c	1:LOH:>40Mb	0.0026785459061207852	0.9973214540938792
PD53330c	2:LOH:0-100kb	0.10538189456983178	0.8946181054301683
PD53330c	2:LOH:100kb-1Mb	0.39153288908636213	0.6084671109136379
PD53330c	2:LOH:1Mb-10Mb	0.3158751595636464	0.6841248404363536
PD53330c	2:LOH:10Mb-40Mb	0.47245262600745874	0.5275473739925413
PD53330c	2:LOH:>40Mb	0.17906311873650285	0.8209368812634972
PD53330c	3-4:LOH:0-100kb	0.13778513094157804	0.8622148690584219
PD53330c	3-4:LOH:100kb-1Mb	0.3595258483014154	0.6404741516985846
PD53330c	3-4:LOH:1Mb-10Mb	0.38969413774587597	0.6103058622541239
PD53330c	3-4:LOH:10Mb-40Mb	0.953553238355411	0.04644676164458908
PD53330c	3-4:LOH:>40Mb	0.7661055464309542	0.2338944535690459
PD53330c	5-8:LOH:0-100kb	0.3712058533848475	0.6287941466151524
PD53330c	5-8:LOH:100kb-1Mb	0.293592612982977	0.706407387017023
PD53330c	5-8:LOH:1Mb-10Mb	0.2197862156358743	0.7802137843641256
PD53330c	5-8:LOH:10Mb-40Mb	0.5280839858090732	0.47191601419092677
PD53330c	5-8:LOH:>40Mb	0.2713667000456146	0.7286332999543853
PD53330c	9+:LOH:0-100kb	0.04824002113330259	0.9517599788666974
PD53330c	9+:LOH:100kb-1Mb	0.09051939190566509	0.909480608094335
PD53330c	9+:LOH:1Mb-10Mb	0.025322626047913934	0.974677373952086
PD53330c	9+:LOH:10Mb-40Mb	0.0731139700517711	0.926886029948229
PD53330c	9+:LOH:>40Mb	0.07311397081281734	0.9268860291871827
PD53330c	2:het:0-100kb	0.388906889653004	0.611093110346996
PD53330c	2:het:100kb-1Mb	0.051228357060026784	0.9487716429399733
PD53330c	2:het:1Mb-10Mb	0.0008463719429992421	0.9991536280570008
PD53330c	2:het:10Mb-40Mb	9.607127966967049e-08	0.9999999039287203
PD53330c	2:het:>40Mb	7.480536988352735e-08	0.9999999251946301
PD53330c	3-4:het:0-100kb	0.33350320592388194	0.6664967940761181
PD53330c	3-4:het:100kb-1Mb	0.21425057055821534	0.7857494294417846
PD53330c	3-4:het:1Mb-10Mb	0.19996443132278138	0.8000355686772187
PD53330c	3-4:het:10Mb-40Mb	0.4222165013710937	0.5777834986289062
PD53330c	3-4:het:>40Mb	0.4472247149931716	0.5527752850068284
PD53330c	5-8:het:0-100kb	0.3434762856891287	0.6565237143108713
PD53330c	5-8:het:100kb-1Mb	0.17059833472296412	0.8294016652770358
PD53330c	5-8:het:1Mb-10Mb	0.30850190376796205	0.691498096232038
PD53330c	5-8:het:10Mb-40Mb	0.8340310324316589	0.16596896756834115
PD53330c	5-8:het:>40Mb	0.9999800641067365	1.9935893263603068e-05
PD53330c	9+:het:0-100kb	0.35355654839520084	0.6464434516047992
PD53330c	9+:het:100kb-1Mb	0.24065039010196423	0.7593496098980358
PD53330c	9+:het:1Mb-10Mb	0.2676428555389832	0.7323571444610169
PD53330c	9+:het:10Mb-40Mb	0.22477134570785423	0.7752286542921457
PD53330c	9+:het:>40Mb	0.9833250063168764	0.01667499368312358
PD53331a	0:homdel:0-100kb	0.0	1.0
PD53331a	0:homdel:100kb-1Mb	0.0	1.0
PD53331a	0:homdel:>1Mb	0.0	1.0
PD53331a	1:LOH:0-100kb	0.0	1.0
PD53331a	1:LOH:100kb-1Mb	0.0	1.0
PD53331a	1:LOH:1Mb-10Mb	0.0	1.0
PD53331a	1:LOH:10Mb-40Mb	0.0	1.0
PD53331a	1:LOH:>40Mb	0.0	1.0
PD53331a	2:LOH:0-100kb	0.0	1.0
PD53331a	2:LOH:100kb-1Mb	0.0	1.0
PD53331a	2:LOH:1Mb-10Mb	0.0	1.0
PD53331a	2:LOH:10Mb-40Mb	0.0	1.0
PD53331a	2:LOH:>40Mb	0.0	1.0
PD53331a	3-4:LOH:0-100kb	0.0	1.0
PD53331a	3-4:LOH:100kb-1Mb	0.0	1.0
PD53331a	3-4:LOH:1Mb-10Mb	0.0	1.0
PD53331a	3-4:LOH:10Mb-40Mb	0.0	1.0
PD53331a	3-4:LOH:>40Mb	0.0	1.0
PD53331a	5-8:LOH:0-100kb	0.0	1.0
PD53331a	5-8:LOH:100kb-1Mb	0.0	1.0
PD53331a	5-8:LOH:1Mb-10Mb	0.0	1.0
PD53331a	5-8:LOH:10Mb-40Mb	0.0	1.0
PD53331a	5-8:LOH:>40Mb	0.0	1.0
PD53331a	9+:LOH:0-100kb	0.0	1.0
PD53331a	9+:LOH:100kb-1Mb	0.0	1.0
PD53331a	9+:LOH:1Mb-10Mb	0.0	1.0
PD53331a	9+:LOH:10Mb-40Mb	0.0	1.0
PD53331a	9+:LOH:>40Mb	0.0	1.0
