MutationType	CNV48A	CNV48B
0:homdel:0-100kb	0.00078329	0.00288277
0:homdel:100kb-1Mb	0.00107776	0.00654181
0:homdel:>1Mb	0.00040319	0.02311808
1:LOH:0-100kb	0.00083018	0.00308138
1:LOH:100kb-1Mb	0.00337120	0.01695878
1:LOH:1Mb-10Mb	0.00520015	0.06234772
1:LOH:10Mb-40Mb	0.00048806	0.04731010
1:LOH:>40Mb	0.00058005	0.02725905
2:LOH:0-100kb	0.00261270	0.00279942
2:LOH:100kb-1Mb	0.03254046	0.00638262
2:LOH:1Mb-10Mb	0.06686167	0.01827693
2:LOH:10Mb-40Mb	0.03525663	0.00496878
2:LOH:>40Mb	0.01533759	0.00887497
3-4:LOH:0-100kb	0.00521356	0.00411769
3-4:LOH:100kb-1Mb	0.01543732	0.00347096
3-4:LOH:1Mb-10Mb	0.03192395	0.00631025
3-4:LOH:10Mb-40Mb	0.01284620	0.00007898
3-4:LOH:>40Mb	0.00575327	0.00022169
5-8:LOH:0-100kb	0.00201592	0.00043100
5-8:LOH:100kb-1Mb	0.00622606	0.00189073
5-8:LOH:1Mb-10Mb	0.00916362	0.00410569
5-8:LOH:10Mb-40Mb	0.00407668	0.00045981
5-8:LOH:>40Mb	0.00095875	0.00032491
9+:LOH:0-100kb	0.00360845	0.00898559
9+:LOH:100kb-1Mb	0.01320321	0.01674316
9+:LOH:1Mb-10Mb	0.00186756	0.00907261
9+:LOH:10Mb-40Mb	0.00000053	0.00000085
9+:LOH:>40Mb	0.00000053	0.00000085
2:het:0-100kb	0.01168282	0.00231694
2:het:100kb-1Mb	0.01093723	0.02556612
2:het:1Mb-10Mb	0.00097868	0.14582042
2:het:10Mb-40Mb	0.00000012	0.16278756
2:het:>40Mb	0.00000009	0.15956990
3-4:het:0-100kb	0.01791752	0.00451941
3-4:het:100kb-1Mb	0.04477395	0.02072496
3-4:het:1Mb-10Mb	0.10815462	0.05461447
3-4:het:10Mb-40Mb	0.09703833	0.01676021
3-4:het:>40Mb	0.09698594	0.01512996
5-8:het:0-100kb	0.01619456	0.00390687
5-8:het:100kb-1Mb	0.04665525	0.02862838
5-8:het:1Mb-10Mb	0.09008043	0.02548413
5-8:het:10Mb-40Mb	0.03475596	0.00087293
5-8:het:>40Mb	0.01627495	0.00000004
9+:het:0-100kb	0.01806005	0.00416770
9+:het:100kb-1Mb	0.06250242	0.02489190
9+:het:1Mb-10Mb	0.04652407	0.01606760
9+:het:10Mb-40Mb	0.00264846	0.00115289
9+:het:>40Mb	0.00019597	0.00000042
