MutationType	CNV48A	CNV48B
0:homdel:0-100kb	4.57E-05	1.29E-04
0:homdel:100kb-1Mb	4.89E-05	1.70E-04
0:homdel:>1Mb	5.01E-05	3.48E-04
1:LOH:0-100kb	4.63E-05	1.34E-04
1:LOH:100kb-1Mb	1.08E-04	2.98E-04
1:LOH:1Mb-10Mb	1.59E-04	6.56E-04
1:LOH:10Mb-40Mb	7.68E-05	5.07E-04
1:LOH:>40Mb	4.69E-05	3.42E-04
2:LOH:0-100kb	8.80E-05	1.35E-04
2:LOH:100kb-1Mb	3.01E-04	2.71E-04
2:LOH:1Mb-10Mb	4.43E-04	4.62E-04
2:LOH:10Mb-40Mb	2.67E-04	2.24E-04
2:LOH:>40Mb	2.00E-04	2.50E-04
3-4:LOH:0-100kb	1.31E-04	1.52E-04
3-4:LOH:100kb-1Mb	2.06E-04	1.73E-04
3-4:LOH:1Mb-10Mb	3.00E-04	2.76E-04
3-4:LOH:10Mb-40Mb	1.88E-04	2.97E-05
3-4:LOH:>40Mb	1.38E-04	4.56E-05
5-8:LOH:0-100kb	7.23E-05	6.74E-05
5-8:LOH:100kb-1Mb	1.16E-04	1.19E-04
5-8:LOH:1Mb-10Mb	1.83E-04	1.85E-04
5-8:LOH:10Mb-40Mb	9.89E-05	7.31E-05
5-8:LOH:>40Mb	5.06E-05	4.52E-05
9+:LOH:0-100kb	9.75E-05	2.61E-04
9+:LOH:100kb-1Mb	2.28E-04	3.42E-04
9+:LOH:1Mb-10Mb	7.67E-05	2.12E-04
9+:LOH:10Mb-40Mb	3.53E-10	1.40E-09
9+:LOH:>40Mb	3.53E-10	1.40E-09
2:het:0-100kb	1.61E-04	1.69E-04
2:het:100kb-1Mb	1.69E-04	3.73E-04
2:het:1Mb-10Mb	1.40E-04	8.87E-04
2:het:10Mb-40Mb	1.25E-08	1.06E-03
2:het:>40Mb	1.03E-08	8.85E-04
3-4:het:0-100kb	2.29E-04	2.12E-04
3-4:het:100kb-1Mb	3.29E-04	3.86E-04
3-4:het:1Mb-10Mb	5.08E-04	7.26E-04
3-4:het:10Mb-40Mb	4.77E-04	4.72E-04
3-4:het:>40Mb	4.57E-04	4.54E-04
5-8:het:0-100kb	2.02E-04	2.03E-04
5-8:het:100kb-1Mb	3.48E-04	4.63E-04
5-8:het:1Mb-10Mb	4.54E-04	5.92E-04
5-8:het:10Mb-40Mb	2.68E-04	1.57E-04
5-8:het:>40Mb	2.02E-04	5.09E-09
9+:het:0-100kb	1.98E-04	2.10E-04
9+:het:100kb-1Mb	3.97E-04	5.71E-04
9+:het:1Mb-10Mb	3.47E-04	4.38E-04
9+:het:10Mb-40Mb	9.02E-05	9.34E-05
9+:het:>40Mb	2.18E-05	3.54E-08
