Samples	CN1	CN2	CN6	CN8	CN9	CN17
PD53330c	42	0	0	0	74	0
PD53331a	32	0	0	0	137	0
PD53332d	0	39	0	54	0	69
PD53332e	49	0	0	0	41	0
PD53333f	0	66	90	0	0	47
PD53334a	35	0	0	34	66	0
PD53337a	45	0	0	0	31	0
PD53337c	34	15	0	0	36	0
PD53338a	18	0	0	61	61	50
PD53339a	0	45	0	0	46	35
PD53341a	30	0	0	60	87	0
PD53342a	27	0	0	40	100	0
PD53343h	29	0	0	0	31	25
PD53343i	27	0	31	0	47	0
PD53345a	0	53	45	75	0	0
PD53346a	0	34	0	0	48	83
PD53347c	0	0	0	103	0	158
PD53348a	20	0	0	0	116	37
PD53349d	0	52	0	49	0	56
PD53349e	0	50	0	37	0	47
PD53350d	0	47	0	101	0	42
PD53350e	0	46	0	97	0	44
PD53351a	0	0	76	112	0	181
PD53352d	0	63	28	0	0	47
PD53352e	0	66	66	0	0	46
PD53353a	0	36	0	0	28	41
PD53354a	33	0	0	0	69	0
PD53355c	0	47	0	73	0	36
PD53357c	0	46	0	23	0	55
PD53357d	0	43	38	35	0	65
PD53357e	0	50	24	38	0	50
PD53358a	27	0	0	0	139	0
PD53359c	0	43	0	49	0	94
PD53361a	34	0	0	0	64	26
PD53362a	0	44	0	0	0	63
PD53363a	0	56	0	38	0	0
PD53364c	0	0	65	53	0	134
PD53365a	0	50	49	67	0	64
PD53366a	43	0	0	0	34	0
PD53367a	41	0	0	47	46	0
PD53368a	0	36	0	73	0	149
PD53369a	32	0	0	38	48	0
