Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.851	91.869	79.197%	20.687	60.07%	0.96837	0.814
PD53331a	169	0.71	128.613	76.102%	39.293	76.344%	0.73562	0.626
PD53332d	162	0.93	71.857	44.356%	16.383	36.707%	0.244	0.903
PD53332e	90	0.875	71.054	78.949%	18.489	49.771%	0.88172	0.858
PD53333f	203	0.922	114.981	56.641%	23.195	42.511%	0.43849	0.896
PD53334a	135	0.892	75.515	55.937%	17.522	45.531%	0.36855	0.852
PD53337a	76	0.895	59.856	78.758%	14.81	53.511%	0.80946	0.881
PD53337c	85	0.909	51.076	60.089%	11.717	43.942%	0.43603	0.886
PD53338a	190	0.92	85.6	45.053%	18.072	39.474%	0.24469	0.873
PD53339a	126	0.808	89.025	70.655%	20.805	59.613%	0.67579	0.728
PD53341a	177	0.814	123.17	69.588%	27.24	59.542%	0.44597	0.724
PD53342a	167	0.89	86.758	51.951%	24.391	46.335%	0.26976	0.861
PD53343h	85	0.884	47.926	56.384%	13.608	46.758%	0.39811	0.857
PD53343i	105	0.858	66.29	63.133%	16.413	52.033%	0.48575	0.812
PD53345a	173	0.936	72.442	41.874%	19.135	36.142%	0.20242	0.919
PD53346a	165	0.827	121.029	73.351%	29.14	56.257%	0.47287	0.775
PD53347c	261	0.684	232.35	89.023%	61.419	74.619%	0.58524	0.582
PD53348a	173	0.886	99.49	57.509%	22.306	46.643%	0.46201	0.84
PD53349d	157	0.924	75.118	47.846%	15.567	42.928%	0.27299	0.888
PD53349e	134	0.9	78.758	58.775%	15.6	52.588%	0.39008	0.857
PD53350d	190	0.915	91.903	48.37%	21.665	40.412%	0.25727	0.883
PD53350e	187	0.907	86.029	46.005%	21.828	42.141%	0.24011	0.87
PD53351a	369	0.946	143.734	38.952%	31.641	32.801%	0.1907	0.923
PD53352d	138	0.925	76.706	55.584%	15.84	39.428%	0.36764	0.902
PD53352e	178	0.933	77.414	43.491%	18.847	39.197%	0.37512	0.91
PD53353a	105	0.876	61.801	58.858%	13.427	49.867%	0.41129	0.818
PD53354a	102	0.929	45.845	44.946%	13.194	36.994%	0.22737	0.914
PD53355c	156	0.936	75.749	48.557%	16.051	35.642%	0.27529	0.914
PD53357c	124	0.94	55.92	45.097%	12.701	34.116%	0.2866	0.922
PD53357d	181	0.935	68.222	37.692%	16.953	35.812%	0.3902	0.906
PD53357e	162	0.96	56.707	35.004%	11.734	28.577%	0.20592	0.94
PD53358a	166	0.878	111.991	67.464%	24.348	58.708%	0.60202	0.841
PD53359c	186	0.779	127.489	68.542%	30.526	72.805%	0.56721	0.662
PD53361a	124	0.903	73.826	59.537%	16.398	43.034%	0.51163	0.873
PD53362a	107	0.945	50.811	47.487%	10.882	34.258%	0.49671	0.93
PD53363a	94	0.891	57.113	60.759%	13.126	51.17%	0.53528	0.858
PD53364c	252	0.929	105.494	41.863%	26.066	37.298%	0.24174	0.903
PD53365a	230	0.944	99.183	43.123%	19.9	32.966%	0.27372	0.919
PD53366a	77	0.863	62.686	81.41%	16.894	73.731%	1.03334	0.847
PD53367a	134	0.765	108.366	80.87%	25.471	68.916%	0.73659	0.678
PD53368a	258	0.938	106.691	41.353%	23.711	35.315%	0.27486	0.91
PD53369a	118	0.879	71.088	60.244%	17.062	47.615%	0.34809	0.841
