Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
PD53330a	0	0	62	0	0	0	0	0	0	88
PD53332a	0	0	173	66	0	0	2	0	3	0
PD53332c	0	0	318	29	0	0	0	10	5	0
PD53333a	0	181	0	0	0	0	9	30	14	0
PD53333c	6	104	0	76	0	0	0	23	0	0
PD53333d	27	132	0	54	9	0	0	6	0	0
PD53333e	0	146	0	41	9	0	1	0	0	0
PD53343a	45	0	0	0	79	0	3	0	6	9
PD53343c	67	7	0	0	50	4	19	0	14	10
PD53343d	143	0	0	0	34	6	0	38	5	0
PD53343e	210	0	0	13	0	0	0	45	0	0
PD53343f	123	0	0	0	29	19	0	0	6	0
PD53343g	72	0	0	0	73	5	4	2	24	0
PD53347a	0	4	1	0	0	0	0	6	288	0
PD53349a	51	32	0	6	10	19	24	0	10	21
PD53349c	35	6	0	62	2	12	12	0	8	52
PD53350a	0	38	0	0	0	138	47	0	10	8
PD53350c	0	3	0	53	0	153	73	0	7	6
PD53352a	0	11	5	29	87	0	0	42	0	0
PD53352c	0	0	2	26	79	2	0	63	1	0
PD53355a	2	0	10	2	26	112	0	41	0	0
PD53357a	26	0	10	0	22	4	107	0	13	0
PD53359a	0	0	0	19	24	0	86	22	0	0
PD53364a	0	0	13	58	0	37	52	100	0	0
