Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
PD53330a	1.06E+00	3.21E-01	6.16E+00	2.11E-01	3.42E-01	0.00E+00	8.69E-01	3.49E-01	3.33E-01	6.96E+00
PD53332a	1.11E+00	1.70E-01	4.61E+00	3.65E+00	3.05E-01	6.64E-01	2.10E+00	1.76E+00	1.75E-01	3.77E+00
PD53332c	1.12E+00	5.91E-01	4.60E+00	3.94E+00	1.90E-01	6.88E-01	1.28E+00	2.20E+00	4.26E-01	2.89E+00
PD53333a	1.80E+00	5.88E+00	1.41E-01	3.87E+00	2.16E+00	6.24E-01	3.14E+00	3.56E+00	6.85E-01	1.70E+00
PD53333c	1.33E+00	5.61E+00	3.69E-01	5.48E+00	2.63E+00	7.49E-01	9.42E-01	3.93E+00	2.40E-01	1.25E+00
PD53333d	1.56E+00	5.69E+00	1.38E-01	5.58E+00	2.56E+00	7.66E-01	1.77E+00	3.65E+00	2.12E-01	1.47E+00
PD53333e	7.50E-01	5.16E+00	1.89E-01	4.91E+00	2.59E+00	4.10E-01	1.55E+00	2.97E+00	3.33E-01	1.90E+00
PD53343a	3.06E+00	1.24E+00	0.00E+00	6.40E-01	3.09E+00	4.98E-01	2.14E+00	2.45E+00	3.48E-01	2.12E+00
PD53343c	3.94E+00	1.56E+00	0.00E+00	8.60E-01	3.47E+00	1.04E+00	3.52E+00	3.19E+00	1.04E+00	2.80E+00
PD53343d	5.78E+00	8.38E-01	0.00E+00	1.02E+00	2.84E+00	8.69E-01	2.69E+00	5.30E+00	1.22E+00	1.75E+00
PD53343e	7.80E+00	1.16E+00	3.00E-02	2.37E+00	1.19E+00	4.24E-01	3.43E+00	6.05E+00	1.43E+00	2.38E+00
PD53343f	3.78E+00	9.12E-01	1.55E-01	1.13E+00	2.14E+00	1.35E+00	2.68E+00	2.60E+00	1.19E+00	1.71E+00
PD53343g	3.39E+00	1.03E+00	1.99E-01	8.85E-01	2.86E+00	1.03E+00	2.86E+00	2.88E+00	1.38E+00	2.00E+00
PD53347a	2.09E+00	4.42E-01	0.00E+00	1.07E+00	1.00E-01	0.00E+00	2.33E+00	4.03E-01	3.78E+00	2.18E+00
PD53349a	2.73E+00	1.86E+00	3.24E-01	2.01E+00	1.69E+00	1.49E+00	3.05E+00	1.80E+00	1.72E+00	2.92E+00
PD53349c	2.89E+00	1.61E+00	1.02E+00	3.97E+00	1.52E+00	1.17E+00	2.93E+00	1.95E+00	1.93E+00	3.14E+00
PD53350a	1.62E+00	2.92E+00	2.21E-01	3.23E+00	1.21E+00	4.32E+00	3.64E+00	7.02E-01	7.72E-01	4.49E+00
PD53350c	2.99E+00	1.82E+00	6.37E-02	5.41E+00	1.81E+00	6.31E+00	5.46E+00	1.76E+00	1.13E+00	5.64E+00
PD53352a	6.04E-01	2.84E+00	4.07E-01	3.19E+00	4.19E+00	3.10E-01	1.64E+00	3.82E+00	2.59E-01	1.84E+00
PD53352c	1.34E+00	1.98E+00	2.26E-01	2.75E+00	3.99E+00	7.48E-01	1.91E+00	3.79E+00	3.83E-01	1.36E+00
PD53355a	9.99E-01	1.70E+00	7.36E-01	2.74E+00	3.53E+00	4.07E+00	7.16E-01	3.00E+00	1.00E-02	3.12E+00
PD53357a	3.29E+00	4.41E-01	8.07E-01	2.50E+00	3.05E+00	1.13E+00	4.05E+00	1.92E+00	9.19E-01	2.21E+00
PD53359a	1.23E+00	3.29E-01	0.00E+00	3.55E+00	3.28E+00	0.00E+00	4.49E+00	3.43E+00	3.00E-02	1.70E+00
PD53364a	2.01E+00	1.51E+00	9.27E-01	5.96E+00	3.67E+00	2.09E+00	4.05E+00	6.10E+00	7.41E-01	2.89E+00
