MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF	SBSCNVG	SBSCNVH	SBSCNVI	SBSCNVJ
0:homdel:0-100kb	3.39E-08	2.78E-08	1.81E-08	2.04E-04	4.40E-08	4.27E-04	2.45E-04	2.95E-08	2.87E-05	1.78E-04
0:homdel:100kb-1Mb	3.31E-08	2.71E-08	1.73E-08	1.35E-04	4.32E-08	3.19E-04	2.73E-04	2.97E-08	5.73E-05	1.56E-04
0:homdel:>1Mb	1.25E-08	1.13E-08	7.84E-09	1.76E-08	1.57E-08	1.35E-08	1.88E-08	1.83E-08	7.04E-09	2.18E-08
1:LOH:0-100kb	1.38E-03	9.47E-04	8.12E-04	1.78E-03	1.71E-03	1.09E-03	1.15E-03	1.46E-03	3.73E-04	1.78E-03
1:LOH:100kb-1Mb	9.16E-04	1.42E-03	1.06E-03	2.02E-03	2.68E-03	1.50E-03	2.08E-03	2.22E-03	1.65E-03	1.94E-03
1:LOH:1Mb-10Mb	7.82E-04	1.04E-03	1.50E-03	2.75E-03	1.86E-03	1.39E-03	2.13E-03	1.69E-03	8.45E-04	2.52E-03
1:LOH:10Mb-40Mb	2.15E-04	1.91E-08	1.60E-03	1.15E-03	4.13E-08	1.27E-08	7.73E-05	4.24E-05	1.53E-08	1.30E-03
1:LOH:>40Mb	6.60E-04	4.74E-04	1.05E-03	1.10E-03	1.39E-04	4.49E-04	3.57E-04	2.58E-04	3.93E-08	1.50E-03
2:LOH:0-100kb	1.39E-04	5.51E-04	6.83E-04	1.39E-03	9.68E-04	4.42E-04	1.36E-03	1.29E-03	1.67E-08	7.64E-04
2:LOH:100kb-1Mb	8.68E-04	1.64E-03	1.06E-03	2.82E-03	2.82E-03	1.82E-03	2.40E-03	3.13E-03	4.30E-04	2.08E-03
2:LOH:1Mb-10Mb	6.51E-04	4.15E-03	1.08E-03	5.98E-03	3.30E-03	5.16E-03	6.00E-03	4.30E-03	1.23E-08	5.39E-03
2:LOH:10Mb-40Mb	8.90E-04	3.98E-04	1.02E-03	4.81E-03	3.79E-03	1.03E-03	5.66E-03	5.20E-03	1.55E-08	3.01E-03
2:LOH:>40Mb	1.18E-03	9.64E-04	1.17E-04	1.15E-03	2.28E-03	5.95E-04	1.40E-03	1.91E-03	5.75E-04	1.39E-03
3-4:LOH:0-100kb	3.78E-04	1.29E-03	1.51E-04	1.08E-03	1.32E-03	9.80E-05	5.64E-04	1.51E-03	3.46E-04	1.01E-03
3-4:LOH:100kb-1Mb	1.48E-03	1.38E-03	5.22E-04	1.94E-03	1.45E-03	3.02E-04	1.36E-03	2.96E-03	1.34E-03	2.20E-03
3-4:LOH:1Mb-10Mb	1.38E-03	3.15E-03	7.82E-04	3.75E-03	1.83E-03	5.47E-04	1.99E-03	3.58E-03	2.17E-03	4.33E-03
3-4:LOH:10Mb-40Mb	1.20E-03	9.71E-04	3.80E-04	2.41E-03	1.23E-03	5.76E-04	1.39E-03	1.34E-03	1.80E-03	2.17E-03
3-4:LOH:>40Mb	4.06E-04	9.90E-04	1.25E-04	1.55E-03	8.10E-04	3.77E-04	1.47E-03	8.77E-04	9.50E-04	1.33E-03
5-8:LOH:0-100kb	4.98E-04	2.89E-04	1.43E-08	5.14E-04	5.79E-04	1.56E-08	5.74E-04	4.50E-04	5.44E-04	8.32E-04
5-8:LOH:100kb-1Mb	7.70E-04	5.08E-04	8.65E-09	3.33E-04	7.96E-04	3.59E-04	6.65E-04	5.87E-04	1.02E-03	8.49E-04
5-8:LOH:1Mb-10Mb	9.49E-04	2.39E-04	7.95E-09	3.01E-04	2.83E-04	1.48E-08	3.50E-04	4.77E-04	1.15E-03	4.43E-04
5-8:LOH:10Mb-40Mb	2.27E-04	8.14E-05	1.82E-04	4.35E-04	5.13E-06	2.47E-08	1.51E-04	1.16E-04	7.87E-04	8.96E-04
5-8:LOH:>40Mb	1.81E-04	2.34E-04	1.79E-08	2.66E-04	7.25E-08	4.39E-05	2.56E-04	2.02E-07	6.08E-04	3.16E-04
9+:LOH:0-100kb	1.32E-04	6.43E-05	1.74E-08	3.23E-08	3.00E-05	2.59E-08	9.66E-05	1.12E-04	3.95E-08	6.38E-08
