MutationType	SBSCNVA
0:homdel:0-100kb	3.59E-05
0:homdel:100kb-1Mb	2.99E-05
0:homdel:>1Mb	6.23E-15
1:LOH:0-100kb	1.82E-04
1:LOH:100kb-1Mb	2.20E-04
1:LOH:1Mb-10Mb	1.77E-04
1:LOH:10Mb-40Mb	1.07E-04
1:LOH:>40Mb	1.08E-04
2:LOH:0-100kb	1.05E-04
2:LOH:100kb-1Mb	2.17E-04
2:LOH:1Mb-10Mb	2.62E-04
2:LOH:10Mb-40Mb	1.90E-04
2:LOH:>40Mb	1.52E-04
3-4:LOH:0-100kb	1.07E-04
3-4:LOH:100kb-1Mb	1.69E-04
3-4:LOH:1Mb-10Mb	2.37E-04
3-4:LOH:10Mb-40Mb	1.20E-04
3-4:LOH:>40Mb	8.20E-05
5-8:LOH:0-100kb	6.17E-05
5-8:LOH:100kb-1Mb	8.17E-05
5-8:LOH:1Mb-10Mb	8.64E-05
5-8:LOH:10Mb-40Mb	5.30E-05
5-8:LOH:>40Mb	3.56E-05
9+:LOH:0-100kb	1.90E-05
9+:LOH:100kb-1Mb	1.03E-04
9+:LOH:1Mb-10Mb	3.06E-05
9+:LOH:10Mb-40Mb	1.81E-05
9+:LOH:>40Mb	6.18E-15
2:het:0-100kb	1.69E-04
2:het:100kb-1Mb	1.91E-04
2:het:1Mb-10Mb	2.05E-04
2:het:10Mb-40Mb	1.74E-04
2:het:>40Mb	1.18E-04
3-4:het:0-100kb	2.41E-04
3-4:het:100kb-1Mb	3.29E-04
3-4:het:1Mb-10Mb	4.37E-04
3-4:het:10Mb-40Mb	3.65E-04
3-4:het:>40Mb	3.13E-04
5-8:het:0-100kb	2.39E-04
5-8:het:100kb-1Mb	2.49E-04
5-8:het:1Mb-10Mb	2.92E-04
5-8:het:10Mb-40Mb	2.05E-04
5-8:het:>40Mb	1.45E-04
9+:het:0-100kb	1.84E-04
9+:het:100kb-1Mb	2.69E-04
9+:het:1Mb-10Mb	2.33E-04
9+:het:10Mb-40Mb	4.07E-05
9+:het:>40Mb	1.86E-05
