Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.486	152.79	101.86%	39.69	93.602%	0.94548	0.25
PD53332a	244	0.673	212.915	87.26%	48.756	77.342%	0.64796	0.501
PD53332c	362	0.566	330.438	91.281%	92.268	84.99%	0.71627	0.389
PD53333a	234	0.915	112.487	48.071%	24.275	40.447%	0.26566	0.872
PD53333c	209	0.929	99.298	47.511%	23.232	38.823%	0.20697	0.91
PD53333d	228	0.937	109.175	47.884%	22.089	35.861%	0.22478	0.913
PD53333e	197	0.916	94.103	47.768%	21.28	40.367%	0.24217	0.881
PD53343a	142	0.911	73.181	51.536%	16.927	42.265%	0.25282	0.88
PD53343c	171	0.936	76.946	44.998%	16.413	35.876%	0.23864	0.911
PD53343d	226	0.929	110.154	48.741%	28.08	40.708%	0.23271	0.92
PD53343e	268	0.917	147.365	54.987%	41.237	45.83%	0.2612	0.919
PD53343f	177	0.938	82.722	46.736%	18.992	37.211%	0.22076	0.924
PD53343g	180	0.933	78.774	43.763%	17.839	36.752%	0.19735	0.907
PD53347a	299	0.628	282.246	94.397%	67.851	80.147%	0.66126	0.462
PD53349a	173	0.949	63.84	36.902%	13.542	31.596%	0.1579	0.922
PD53349c	189	0.966	55.924	29.589%	11.508	25.974%	0.13786	0.945
PD53350a	241	0.816	136.962	56.831%	36.522	58.295%	0.27018	0.723
PD53350c	295	0.857	150.816	51.124%	39.597	51.582%	0.27516	0.786
PD53352a	174	0.896	83.849	48.189%	20.458	44.411%	0.22781	0.849
PD53352c	173	0.91	81.352	47.024%	19.753	41.857%	0.20666	0.874
PD53355a	193	0.82	98.059	50.808%	29.894	57.351%	0.29205	0.737
PD53357a	182	0.93	74.069	40.697%	18.305	37.334%	0.16328	0.903
PD53359a	151	0.904	77.991	51.65%	18.72	43.582%	0.31047	0.873
PD53364a	260	0.937	99.5	38.269%	23.123	34.931%	0.14988	0.907
