Samples	SBSCNVA	SBSCNVB
PD53330a	7.64E-01	7.64E-01
PD53332a	7.57E-01	7.57E-01
PD53332c	0.00E+00	0.00E+00
PD53333a	3.26E-01	3.26E-01
PD53333c	4.63E-01	4.63E-01
PD53333d	3.39E-01	3.39E-01
PD53333e	4.10E-01	4.10E-01
PD53343a	0.00E+00	0.00E+00
PD53343c	0.00E+00	0.00E+00
PD53343d	2.08E-01	2.08E-01
PD53343e	2.32E-01	2.32E-01
PD53343f	1.99E-01	1.99E-01
PD53343g	2.70E-01	2.70E-01
PD53347a	3.89E-01	3.89E-01
PD53349a	4.54E-01	4.54E-01
PD53349c	8.88E-01	8.88E-01
PD53350a	4.93E-01	4.93E-01
PD53350c	3.88E-01	3.88E-01
PD53352a	5.11E-01	5.11E-01
PD53352c	5.70E-01	5.70E-01
PD53355a	6.87E-01	6.87E-01
PD53357a	8.19E-01	8.19E-01
PD53359a	5.81E-01	5.81E-01
PD53364a	9.65E-01	9.65E-01
