MutationType	SBSCNVA	SBSCNVB
0:homdel:0-100kb	4.39E-05	8.52E-09
0:homdel:100kb-1Mb	3.64E-05	8.77E-09
0:homdel:>1Mb	1.05E-10	4.90E-10
1:LOH:0-100kb	1.93E-04	5.18E-04
1:LOH:100kb-1Mb	2.13E-04	6.70E-04
1:LOH:1Mb-10Mb	1.67E-04	9.49E-04
1:LOH:10Mb-40Mb	3.46E-09	5.93E-04
1:LOH:>40Mb	7.95E-05	5.72E-04
2:LOH:0-100kb	1.17E-04	3.93E-04
2:LOH:100kb-1Mb	2.17E-04	6.59E-04
2:LOH:1Mb-10Mb	3.17E-04	6.43E-04
2:LOH:10Mb-40Mb	2.31E-04	5.40E-04
2:LOH:>40Mb	1.88E-04	1.40E-04
3-4:LOH:0-100kb	1.33E-04	1.18E-04
3-4:LOH:100kb-1Mb	1.99E-04	2.95E-04
3-4:LOH:1Mb-10Mb	2.83E-04	3.10E-04
3-4:LOH:10Mb-40Mb	1.42E-04	2.12E-04
3-4:LOH:>40Mb	1.02E-04	1.84E-04
5-8:LOH:0-100kb	7.52E-05	9.97E-09
5-8:LOH:100kb-1Mb	9.96E-05	7.62E-09
5-8:LOH:1Mb-10Mb	1.06E-04	7.25E-09
5-8:LOH:10Mb-40Mb	5.95E-05	2.19E-04
5-8:LOH:>40Mb	4.52E-05	4.02E-05
9+:LOH:0-100kb	2.31E-05	1.11E-08
9+:LOH:100kb-1Mb	1.26E-04	7.99E-09
9+:LOH:1Mb-10Mb	3.73E-05	9.51E-09
9+:LOH:10Mb-40Mb	2.18E-05	3.16E-05
9+:LOH:>40Mb	1.05E-10	4.90E-10
2:het:0-100kb	1.75E-04	5.37E-04
2:het:100kb-1Mb	1.90E-04	1.01E-03
2:het:1Mb-10Mb	4.54E-05	1.30E-03
2:het:10Mb-40Mb	6.43E-05	1.03E-03
2:het:>40Mb	3.69E-08	6.81E-04
3-4:het:0-100kb	2.82E-04	5.26E-04
3-4:het:100kb-1Mb	3.88E-04	7.18E-04
3-4:het:1Mb-10Mb	4.76E-04	1.18E-03
3-4:het:10Mb-40Mb	4.50E-04	5.07E-04
3-4:het:>40Mb	3.95E-04	2.56E-04
5-8:het:0-100kb	2.95E-04	4.67E-04
5-8:het:100kb-1Mb	2.70E-04	5.36E-04
5-8:het:1Mb-10Mb	3.50E-04	6.21E-04
5-8:het:10Mb-40Mb	2.36E-04	3.79E-04
5-8:het:>40Mb	1.79E-04	8.30E-09
9+:het:0-100kb	2.21E-04	3.06E-04
9+:het:100kb-1Mb	3.19E-04	4.58E-04
9+:het:1Mb-10Mb	2.80E-04	2.27E-04
9+:het:10Mb-40Mb	4.82E-05	1.30E-04
9+:het:>40Mb	2.27E-05	2.33E-05
