Samples	SBSCNVA	SBSCNVB	SBSCNVC
PD53330a	5.31E-01	8.74E-01	8.68E-01
PD53332a	8.31E-01	4.02E-01	8.90E-01
PD53332c	1.20E-01	4.41E-01	4.53E-01
PD53333a	1.69E+00	1.64E+00	2.52E-01
PD53333c	1.20E+00	1.20E+00	4.43E-01
PD53333d	1.63E+00	1.57E+00	2.82E-01
PD53333e	1.46E+00	1.44E+00	3.29E-01
PD53343a	3.90E+00	3.90E+00	0.00E+00
PD53343c	4.73E+00	4.73E+00	0.00E+00
PD53343d	6.02E+00	6.05E+00	1.68E-01
PD53343e	7.69E+00	7.68E+00	2.39E-01
PD53343f	3.97E+00	3.96E+00	1.99E-01
PD53343g	3.88E+00	3.89E+00	2.75E-01
PD53347a	1.20E-01	1.20E-01	0.00E+00
PD53349a	2.56E+00	2.61E+00	4.50E-01
PD53349c	2.02E+00	1.98E+00	8.55E-01
PD53350a	4.47E+00	4.40E+00	4.94E-01
PD53350c	5.05E+00	4.90E+00	4.29E-01
PD53352a	1.09E+00	1.06E+00	4.78E-01
PD53352c	1.47E+00	1.52E+00	5.15E-01
PD53355a	2.98E+00	2.79E+00	7.13E-01
PD53357a	2.66E+00	2.58E+00	8.18E-01
PD53359a	1.95E+00	1.93E+00	5.44E-01
PD53364a	1.85E+00	1.60E+00	8.62E-01
