MutationType	SBSCNVA	SBSCNVB	SBSCNVC
0:homdel:0-100kb	7.32E-05	1.73E-04	1.38E-08
0:homdel:100kb-1Mb	5.30E-05	1.48E-04	1.39E-08
0:homdel:>1Mb	2.37E-09	5.72E-09	5.34E-10
1:LOH:0-100kb	3.40E-04	6.62E-04	5.24E-04
1:LOH:100kb-1Mb	3.40E-04	7.06E-04	6.87E-04
1:LOH:1Mb-10Mb	3.21E-04	4.27E-04	9.54E-04
1:LOH:10Mb-40Mb	6.79E-09	1.76E-08	6.37E-04
1:LOH:>40Mb	1.22E-04	1.50E-04	5.85E-04
2:LOH:0-100kb	1.71E-04	1.05E-04	3.90E-04
2:LOH:100kb-1Mb	5.08E-04	4.48E-04	6.47E-04
2:LOH:1Mb-10Mb	1.25E-03	1.58E-03	6.25E-04
2:LOH:10Mb-40Mb	4.01E-04	7.87E-04	5.17E-04
2:LOH:>40Mb	3.69E-04	6.73E-04	1.34E-04
3-4:LOH:0-100kb	1.98E-04	2.22E-04	1.17E-04
3-4:LOH:100kb-1Mb	2.74E-04	7.21E-04	3.07E-04
3-4:LOH:1Mb-10Mb	4.55E-04	9.71E-04	3.23E-04
3-4:LOH:10Mb-40Mb	2.17E-04	6.89E-04	2.19E-04
3-4:LOH:>40Mb	1.74E-04	4.38E-04	1.78E-04
5-8:LOH:0-100kb	1.19E-04	3.72E-04	1.07E-08
5-8:LOH:100kb-1Mb	1.23E-04	4.96E-04	9.30E-09
5-8:LOH:1Mb-10Mb	7.12E-05	5.30E-04	1.00E-08
5-8:LOH:10Mb-40Mb	1.14E-05	2.66E-04	2.08E-04
5-8:LOH:>40Mb	1.41E-05	1.97E-04	8.15E-08
9+:LOH:0-100kb	1.56E-05	9.16E-05	1.44E-08
9+:LOH:100kb-1Mb	2.42E-04	2.82E-04	8.48E-09
9+:LOH:1Mb-10Mb	4.93E-05	6.38E-05	1.22E-08
9+:LOH:10Mb-40Mb	2.54E-08	8.42E-05	1.24E-08
9+:LOH:>40Mb	2.37E-09	5.72E-09	5.34E-10
2:het:0-100kb	2.90E-04	5.72E-04	5.38E-04
2:het:100kb-1Mb	2.86E-04	3.25E-04	1.01E-03
2:het:1Mb-10Mb	2.26E-04	1.61E-08	1.37E-03
2:het:10Mb-40Mb	6.06E-05	2.39E-04	1.03E-03
2:het:>40Mb	4.80E-05	4.71E-08	7.05E-04
3-4:het:0-100kb	4.31E-04	9.44E-04	5.30E-04
3-4:het:100kb-1Mb	6.54E-04	1.77E-03	7.14E-04
3-4:het:1Mb-10Mb	1.74E-03	3.96E-03	1.22E-03
3-4:het:10Mb-40Mb	1.85E-03	4.17E-03	4.95E-04
3-4:het:>40Mb	7.79E-04	2.21E-03	1.81E-04
5-8:het:0-100kb	4.20E-04	8.78E-04	4.80E-04
5-8:het:100kb-1Mb	5.51E-04	1.22E-03	5.52E-04
5-8:het:1Mb-10Mb	9.20E-04	4.54E-03	6.43E-04
5-8:het:10Mb-40Mb	6.21E-04	3.35E-03	4.87E-04
5-8:het:>40Mb	3.51E-04	9.29E-04	4.16E-09
9+:het:0-100kb	4.23E-04	5.36E-04	2.96E-04
9+:het:100kb-1Mb	1.90E-03	4.80E-03	4.82E-04
9+:het:1Mb-10Mb	1.05E-03	3.04E-03	2.39E-04
9+:het:10Mb-40Mb	2.74E-09	2.02E-04	1.05E-04
9+:het:>40Mb	2.48E-08	9.04E-05	1.39E-08
