NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	91.724	44.015	22.777	39.122	0.2	0.888	30000.0
2	96.141	45.616	24.254	40.351	0.209	0.878	30000.0
3	96.434	46.149	24.619	41.535	0.219	0.873	20000.0
4	92.633	44.289	23.005	38.802	0.205	0.888	30000.0
5	86.906	42.127	21.37	36.866	0.196	0.899	20000.0
6	90.809	43.131	23.472	38.814	0.202	0.887	20000.0
7	95.876	45.595	24.36	40.243	0.217	0.877	20000.0
8	91.419	43.766	24.111	39.839	0.206	0.886	50000.0
9	93.424	44.581	23.443	39.354	0.21	0.881	20000.0
10	94.505	45.312	23.915	39.505	0.22	0.885	40000.0
11	87.367	41.77	22.852	38.517	0.186	0.889	20000.0
12	92.409	44.008	23.24	39.388	0.202	0.882	30000.0
13	96.193	46.347	24.625	41.421	0.219	0.875	30000.0
14	95.359	45.57	24.786	40.985	0.215	0.876	20000.0
15	90.897	43.374	23.031	39.477	0.199	0.88	20000.0
16	93.818	45.181	24.369	40.742	0.211	0.878	60000.0
17	94.028	44.501	23.848	40.205	0.21	0.88	20000.0
18	95.259	45.683	24.84	40.725	0.212	0.876	30000.0
19	91.1	43.766	23.758	39.823	0.201	0.887	20000.0
20	92.621	44.644	23.567	40.198	0.205	0.881	30000.0
21	92.917	44.351	23.271	38.692	0.205	0.893	20000.0
22	92.434	43.939	23.964	39.714	0.202	0.886	20000.0
23	93.289	43.984	23.466	39.224	0.2	0.886	20000.0
24	101.334	47.928	25.72	43.184	0.217	0.861	40000.0
25	91.592	43.625	22.795	38.52	0.201	0.884	20000.0
26	92.914	44.488	23.367	39.812	0.204	0.88	20000.0
27	94.184	44.919	23.831	40.642	0.208	0.872	20000.0
28	90.255	43.669	23.114	39.43	0.201	0.887	20000.0
29	90.713	43.859	23.564	39.243	0.202	0.889	30000.0
30	90.722	43.545	23.048	39.306	0.203	0.881	30000.0
31	94.781	45.591	23.9	40.744	0.22	0.876	30000.0
32	93.358	45.078	24.022	40.576	0.217	0.879	40000.0
33	92.892	44.856	23.453	39.557	0.208	0.889	20000.0
34	93.34	44.124	23.314	38.956	0.198	0.884	30000.0
35	96.347	45.817	24.33	40.857	0.215	0.876	20000.0
36	96.979	46.497	24.054	40.887	0.218	0.877	30000.0
37	94.666	44.79	24.06	40.051	0.205	0.878	30000.0
38	93.588	45.304	23.504	40.165	0.203	0.877	30000.0
39	89.17	43.301	22.179	37.933	0.205	0.892	20000.0
40	92.914	44.578	23.834	40.531	0.211	0.876	40000.0
41	98.579	47.165	25.143	42.387	0.228	0.866	20000.0
42	93.652	44.419	23.892	39.546	0.204	0.885	50000.0
43	91.632	43.354	22.733	38.671	0.2	0.889	20000.0
44	93.79	45.074	23.786	40.148	0.206	0.882	20000.0
45	89.976	43.304	22.525	38.118	0.201	0.891	40000.0
46	95.342	45.205	25.169	41.753	0.209	0.871	40000.0
47	90.942	43.746	23.266	38.723	0.199	0.891	20000.0
48	95.749	45.311	23.728	39.406	0.21	0.882	30000.0
49	96.15	46.32	24.856	41.807	0.218	0.873	30000.0
50	91.944	43.788	23.935	38.961	0.208	0.892	20000.0
51	91.718	44.193	22.993	39.292	0.202	0.885	20000.0
52	96.485	46.503	24.385	41.317	0.218	0.874	20000.0
53	91.582	43.772	23.265	39.388	0.202	0.885	20000.0
54	87.939	42.435	22.211	38.023	0.195	0.893	30000.0
55	92.219	44.222	22.967	39.007	0.21	0.888	20000.0
56	91.476	44.127	23.347	39.737	0.199	0.883	30000.0
57	93.574	45.453	23.974	40.36	0.223	0.877	50000.0
58	93.157	44.874	24.142	40.174	0.215	0.882	20000.0
59	93.855	44.628	24.133	40.308	0.206	0.879	20000.0
60	93.908	45.173	24.277	40.576	0.209	0.881	30000.0
61	90.75	43.431	23.417	39.289	0.206	0.882	20000.0
62	94.015	44.892	23.74	40.303	0.205	0.879	20000.0
63	93.519	44.603	24.023	40.716	0.206	0.877	40000.0
64	95.01	45.562	24.168	40.295	0.209	0.883	30000.0
65	90.899	43.533	22.387	37.916	0.194	0.896	20000.0
66	91.552	43.661	23.37	38.984	0.21	0.887	20000.0
67	96.919	46.414	24.236	40.947	0.222	0.876	20000.0
68	94.537	45.209	24.188	40.456	0.206	0.876	30000.0
69	94.826	45.861	24.439	40.871	0.205	0.876	20000.0
70	96.79	46.163	25.292	42.092	0.218	0.871	20000.0
71	91.948	44.086	23.099	38.966	0.208	0.89	30000.0
72	91.086	43.527	23.531	39.057	0.201	0.889	30000.0
73	95.417	45.541	23.801	39.872	0.21	0.884	20000.0
74	93.128	44.52	23.35	39.542	0.2	0.886	40000.0
75	93.842	44.536	23.355	39.643	0.203	0.882	40000.0
76	89.611	43.228	22.843	38.485	0.197	0.891	30000.0
77	93.321	44.1	23.523	39.508	0.206	0.882	30000.0
78	90.024	43.53	22.429	38.263	0.206	0.89	30000.0
79	94.047	45.28	23.603	40.066	0.214	0.882	20000.0
80	90.695	43.716	22.783	39.037	0.198	0.889	20000.0
81	93.305	45.028	23.592	40.393	0.206	0.882	20000.0
82	93.304	44.771	23.943	40.468	0.204	0.884	20000.0
83	89.287	42.988	23.064	38.875	0.193	0.889	20000.0
84	89.198	42.943	22.214	37.668	0.199	0.895	20000.0
85	87.353	41.941	23.322	38.86	0.196	0.89	20000.0
86	90.654	43.06	22.276	37.926	0.203	0.89	30000.0
87	95.783	45.448	24.133	41.12	0.211	0.87	30000.0
88	90.018	42.604	22.591	38.136	0.197	0.887	20000.0
89	92.967	44.201	23.876	40.446	0.205	0.877	20000.0
90	92.648	44.71	23.89	40.373	0.199	0.881	20000.0
91	92.762	44.477	22.787	38.398	0.2	0.892	20000.0
92	95.375	45.517	24.8	40.926	0.205	0.874	30000.0
93	89.443	43.199	22.647	38.633	0.195	0.891	20000.0
94	92.854	43.888	23.401	39.671	0.201	0.882	30000.0
95	92.062	44.368	23.082	39.408	0.203	0.883	30000.0
96	89.679	42.828	23.275	39.209	0.198	0.884	20000.0
97	92.943	44.28	23.561	39.15	0.198	0.887	30000.0
98	92.668	44.549	23.401	39.924	0.205	0.885	20000.0
99	91.059	43.834	22.98	39.458	0.202	0.886	30000.0
100	92.243	44.182	23.573	39.414	0.208	0.887	20000.0
