Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD
PD53330a	0	0	141	9
PD53332a	17	19	208	0
PD53332c	0	0	362	0
PD53333a	123	101	2	8
PD53333c	113	87	9	0
PD53333d	127	96	5	0
PD53333e	92	102	3	0
PD53343a	116	5	0	21
PD53343c	121	4	0	46
PD53343d	176	0	0	50
PD53343e	202	0	8	58
PD53343f	123	3	1	50
PD53343g	132	0	0	48
PD53347a	1	0	4	294
PD53349a	78	47	5	43
PD53349c	70	57	29	33
PD53350a	0	201	0	40
PD53350c	0	247	0	48
PD53352a	124	46	4	0
PD53352c	132	38	3	0
PD53355a	13	171	8	1
PD53357a	87	21	16	58
PD53359a	108	23	8	12
PD53364a	104	121	31	4
