Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD
PD53330a	6.95E-01	1.81E-01	8.72E-01	7.74E-01
PD53332a	8.37E-01	1.05E+00	1.14E+00	2.22E-01
PD53332c	1.00E-02	9.29E-01	1.04E+00	6.03E-01
PD53333a	7.64E+00	7.57E+00	1.92E-01	7.42E-01
PD53333c	6.05E+00	6.10E+00	4.24E-01	3.06E-01
PD53333d	7.04E+00	7.17E+00	2.41E-01	6.42E-01
PD53333e	6.71E+00	6.78E+00	2.26E-01	3.52E-01
PD53343a	1.81E+00	9.02E-01	0.00E+00	1.82E+00
PD53343c	2.48E+00	1.09E+00	0.00E+00	2.33E+00
PD53343d	3.14E+00	6.23E-01	1.39E-01	3.08E+00
PD53343e	3.80E+00	6.75E-01	1.78E-01	3.75E+00
PD53343f	2.41E+00	1.25E+00	1.91E-01	2.08E+00
PD53343g	2.28E+00	1.10E+00	2.74E-01	2.39E+00
PD53347a	1.17E+00	0.00E+00	0.00E+00	1.17E+00
PD53349a	2.08E+00	2.48E+00	4.16E-01	1.50E+00
PD53349c	2.34E+00	2.47E+00	8.63E-01	1.25E+00
PD53350a	2.47E+00	3.88E+00	3.80E-01	3.27E+00
PD53350c	4.25E+00	5.13E+00	2.14E-01	3.66E+00
PD53352a	4.36E+00	4.41E+00	4.72E-01	3.61E-01
PD53352c	3.32E+00	3.33E+00	5.32E-01	6.65E-01
PD53355a	3.14E+00	3.51E+00	7.18E-01	2.05E+00
PD53357a	2.45E+00	2.12E+00	8.43E-01	1.94E+00
PD53359a	2.81E+00	2.85E+00	5.86E-01	1.03E+00
PD53364a	4.04E+00	3.78E+00	8.85E-01	1.14E+00
