MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD
0:homdel:0-100kb	3.27E-05	1.74E-04	1.27E-08	1.63E-04
0:homdel:100kb-1Mb	1.98E-05	1.43E-04	1.28E-08	1.50E-04
0:homdel:>1Mb	2.97E-09	3.97E-09	6.89E-10	3.20E-09
1:LOH:0-100kb	4.42E-04	4.53E-04	5.36E-04	5.64E-04
1:LOH:100kb-1Mb	5.51E-04	5.81E-04	7.10E-04	8.48E-04
1:LOH:1Mb-10Mb	4.67E-04	6.29E-04	9.90E-04	4.37E-04
1:LOH:10Mb-40Mb	1.33E-08	9.31E-09	6.59E-04	1.76E-08
1:LOH:>40Mb	1.20E-04	2.13E-04	5.76E-04	1.18E-04
2:LOH:0-100kb	2.98E-04	3.55E-04	3.96E-04	4.03E-06
2:LOH:100kb-1Mb	9.10E-04	9.27E-04	6.65E-04	2.36E-04
2:LOH:1Mb-10Mb	1.63E-03	2.01E-03	6.95E-04	1.95E-08
2:LOH:10Mb-40Mb	1.02E-03	1.24E-03	5.26E-04	2.44E-04
2:LOH:>40Mb	5.14E-04	4.54E-04	1.32E-04	5.70E-04
3-4:LOH:0-100kb	4.14E-04	5.72E-04	1.16E-04	2.61E-04
3-4:LOH:100kb-1Mb	5.51E-04	7.63E-04	3.15E-04	8.44E-04
3-4:LOH:1Mb-10Mb	1.49E-03	1.83E-03	3.36E-04	1.34E-03
3-4:LOH:10Mb-40Mb	4.18E-04	5.05E-04	2.17E-04	1.05E-03
3-4:LOH:>40Mb	2.75E-04	3.89E-04	1.88E-04	5.75E-04
5-8:LOH:0-100kb	2.07E-04	7.98E-05	1.32E-08	4.27E-04
5-8:LOH:100kb-1Mb	2.40E-04	1.49E-04	6.19E-09	6.56E-04
5-8:LOH:1Mb-10Mb	1.92E-04	6.03E-05	8.66E-09	6.90E-04
5-8:LOH:10Mb-40Mb	1.10E-07	2.88E-05	2.14E-04	3.48E-04
5-8:LOH:>40Mb	8.09E-06	2.24E-05	1.70E-08	2.71E-04
9+:LOH:0-100kb	5.13E-05	1.91E-08	1.46E-08	9.39E-05
9+:LOH:100kb-1Mb	4.45E-04	7.33E-04	1.02E-08	1.65E-04
9+:LOH:1Mb-10Mb	7.62E-05	9.90E-05	1.43E-08	1.94E-08
9+:LOH:10Mb-40Mb	2.75E-08	1.95E-08	1.69E-08	1.10E-04
9+:LOH:>40Mb	2.97E-09	3.97E-09	6.89E-10	3.20E-09
2:het:0-100kb	5.63E-04	7.03E-04	5.70E-04	4.07E-04
2:het:100kb-1Mb	3.14E-04	5.01E-04	1.03E-03	3.32E-04
2:het:1Mb-10Mb	5.13E-05	4.27E-04	1.45E-03	1.98E-05
2:het:10Mb-40Mb	1.80E-04	1.68E-06	1.07E-03	1.81E-04
2:het:>40Mb	8.41E-06	1.52E-04	7.55E-04	6.76E-05
3-4:het:0-100kb	5.20E-04	7.34E-04	5.38E-04	9.48E-04
3-4:het:100kb-1Mb	8.60E-04	9.39E-04	7.31E-04	1.05E-03
3-4:het:1Mb-10Mb	1.91E-03	2.71E-03	1.26E-03	2.26E-03
3-4:het:10Mb-40Mb	2.16E-03	2.27E-03	5.10E-04	1.78E-03
3-4:het:>40Mb	1.40E-03	1.91E-03	1.46E-04	9.75E-04
5-8:het:0-100kb	5.69E-04	6.78E-04	4.84E-04	9.18E-04
5-8:het:100kb-1Mb	8.86E-04	9.68E-04	5.54E-04	1.56E-03
5-8:het:1Mb-10Mb	2.74E-03	1.73E-03	6.79E-04	3.47E-03
5-8:het:10Mb-40Mb	2.20E-03	3.42E-04	5.01E-04	3.51E-03
5-8:het:>40Mb	6.08E-04	6.81E-04	2.00E-09	8.68E-04
9+:het:0-100kb	7.58E-04	9.44E-04	3.07E-04	3.84E-04
9+:het:100kb-1Mb	1.39E-03	4.37E-03	5.41E-04	4.39E-03
9+:het:1Mb-10Mb	9.00E-04	2.65E-03	2.38E-04	3.16E-03
9+:het:10Mb-40Mb	8.29E-09	9.06E-09	1.12E-04	2.73E-04
9+:het:>40Mb	2.62E-08	1.92E-08	1.61E-08	1.17E-04
