Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE
PD53330a	0	0	0	140	10
PD53332a	11	20	11	202	0
PD53332c	0	2	2	358	0
PD53333a	0	211	0	0	23
PD53333c	15	187	6	1	0
PD53333d	28	189	10	0	1
PD53333e	0	189	5	0	3
PD53343a	112	10	12	0	8
PD53343c	115	9	15	0	32
PD53343d	187	0	7	0	32
PD53343e	214	1	0	11	42
PD53343f	123	0	21	1	32
PD53343g	133	0	16	0	31
PD53347a	0	7	0	1	291
PD53349a	64	37	34	3	35
PD53349c	50	51	35	26	27
PD53350a	0	10	203	0	28
PD53350c	17	18	229	0	31
PD53352a	62	107	5	0	0
PD53352c	83	78	12	0	0
PD53355a	37	0	150	6	0
PD53357a	81	17	19	15	50
PD53359a	87	41	10	6	7
PD53364a	83	69	81	27	0
