Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE
PD53330a	9.16E-01	2.57E+00	2.11E+00	3.06E+00	6.59E-01
PD53332a	9.33E-01	1.42E+00	1.19E+00	1.81E+00	9.82E-02
PD53332c	0.00E+00	1.41E+00	7.58E-01	1.77E+00	8.60E-01
PD53333a	3.42E+00	5.08E+00	2.96E+00	1.29E-01	8.72E-01
PD53333c	2.66E+00	4.96E+00	3.05E+00	4.05E-01	4.27E-01
PD53333d	3.45E+00	5.63E+00	2.93E+00	1.60E-01	6.83E-01
PD53333e	2.15E+00	4.66E+00	3.38E+00	1.83E-01	4.82E-01
PD53343a	1.62E+00	1.50E+00	7.92E-01	0.00E+00	1.27E+00
PD53343c	2.48E+00	1.27E+00	1.15E+00	0.00E+00	2.10E+00
PD53343d	2.67E+00	7.98E-01	1.07E+00	9.95E-02	2.74E+00
PD53343e	3.69E+00	1.74E+00	6.60E-01	1.46E-01	3.35E+00
PD53343f	2.13E+00	6.34E-01	1.31E+00	1.84E-01	2.10E+00
PD53343g	2.23E+00	1.33E+00	1.29E+00	2.63E-01	2.06E+00
PD53347a	1.18E+00	6.00E-02	0.00E+00	0.00E+00	1.18E+00
PD53349a	2.44E+00	2.16E+00	2.01E+00	4.16E-01	1.65E+00
PD53349c	2.56E+00	2.81E+00	1.99E+00	9.29E-01	1.35E+00
PD53350a	1.94E+00	3.19E+00	4.50E+00	2.47E-01	1.87E+00
PD53350c	3.97E+00	3.02E+00	5.20E+00	1.71E-01	2.11E+00
PD53352a	3.83E+00	4.08E+00	2.28E+00	4.77E-01	3.04E-01
PD53352c	3.35E+00	3.38E+00	2.12E+00	5.14E-01	4.74E-01
PD53355a	3.11E+00	2.12E+00	3.41E+00	7.47E-01	7.48E-01
PD53357a	2.63E+00	2.43E+00	2.19E+00	8.91E-01	2.00E+00
PD53359a	2.99E+00	3.36E+00	2.63E+00	6.03E-01	8.35E-01
PD53364a	4.52E+00	4.55E+00	3.70E+00	9.07E-01	8.62E-01
