MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE
0:homdel:0-100kb	3.2277967431717516e-05	5.0974580878211387e-05	0.003102591721079193	1.9959467742580728e-07	1.7772187634221835e-05
0:homdel:100kb-1Mb	2.7957721941311854e-05	3.4047037767521716e-05	0.002464499562639446	2.2319818974381177e-07	5.257773838167168e-05
0:homdel:>1Mb	5.925309312715399e-07	4.890389683964714e-07	4.0138855382565454e-07	3.854558701732458e-07	3.4174608771309067e-07
1:LOH:0-100kb	0.01850336424075067	0.013452145508490504	0.012285602294723504	0.024347181171178817	0.0042123289501387615
1:LOH:100kb-1Mb	0.008325599334202707	0.023631888451054694	0.019663000982254743	0.043057527039200065	0.028839833482634275
1:LOH:1Mb-10Mb	0.00025233794818632307	0.01727318522054702	0.006618566699869888	0.06641920614987612	0.013271603293251246
1:LOH:10Mb-40Mb	2.6513251802695594e-07	0.0005449387195301014	0.00031793683268615424	0.044324582144618034	2.957815645743267e-07
1:LOH:>40Mb	0.0007551818006881206	0.003895665663244756	0.004052938075302279	0.028414260726422072	0.00014408057638696904
2:LOH:0-100kb	0.004900007820747305	0.007867936039204437	0.0038204875555962305	0.010430997257125228	1.8903827637473113e-07
2:LOH:100kb-1Mb	0.013762103294720874	0.04436087155714631	0.032319511249661446	0.029406856894493103	0.0028594160902525377
2:LOH:1Mb-10Mb	0.004322705114013248	0.07497061572203904	0.11521436523646117	0.020783753064461053	3.311948994166869e-08
2:LOH:10Mb-40Mb	0.037046806528232994	0.009450271738592662	0.02333876043150667	0.017773783974116667	6.301890628890305e-08
2:LOH:>40Mb	0.023939943546429275	0.008502280366072625	0.003340877155076214	0.0007970454302864028	0.00713841259246692
3-4:LOH:0-100kb	0.004978268827230466	0.01501962394266883	0.0008752854548271254	0.0011322301864611717	0.0028201296128466426
3-4:LOH:100kb-1Mb	0.010454805061161636	0.024302539043128492	0.003386854456621222	0.00578280439295753	0.033739582672715186
3-4:LOH:1Mb-10Mb	0.0090519014041638	0.06006980849429965	0.006274488991348335	0.004867378761877603	0.07433322239667177
3-4:LOH:10Mb-40Mb	0.002843952486633157	0.011107627171395507	0.005294868189728277	0.002326331453297996	0.03749332394450903
3-4:LOH:>40Mb	0.0011078850135466567	0.006403993461848927	0.004138290389735744	0.001569422504649083	0.010830852611732097
5-8:LOH:0-100kb	0.002209999207476514	0.0018466840339011982	0.00011516005146479102	9.238934929101106e-08	0.007537679215722193
5-8:LOH:100kb-1Mb	0.0032441442495753847	0.0016226459251322467	0.0007155427132257081	1.7023992660014642e-08	0.016639608691912146
5-8:LOH:1Mb-10Mb	0.0015126197327142421	0.0009781556622328936	2.6600745108851244e-08	4.961397710445681e-08	0.02107445590896532
5-8:LOH:10Mb-40Mb	8.839579955456144e-05	0.0004678163348343034	0.00021019287224884663	0.001568931688080042	0.008449284036726965
5-8:LOH:>40Mb	1.5838725250745256e-05	2.291896733673582e-05	4.374986389487745e-05	2.761075973722882e-07	0.006318455303265295
9+:LOH:0-100kb	0.0006329538893376707	2.3602659585453267e-07	2.141574460168272e-07	2.38419516058741e-07	0.0001374929018931681
9+:LOH:100kb-1Mb	0.000226948176916979	0.016797765405850953	0.002817672138131044	5.4878347377496087e-08	0.0021119817197302383
9+:LOH:1Mb-10Mb	3.291582432126461e-05	0.0017317267975317917	0.00012925433955089714	3.104831672828823e-07	3.7387176611503036e-07
9+:LOH:10Mb-40Mb	3.5793869976430417e-07	3.564669368749662e-07	2.934079601146777e-07	3.13365852662173e-07	0.0012689978025099435
9+:LOH:>40Mb	5.925309312715399e-07	4.890389683964714e-07	4.0138855382565454e-07	3.854558701732458e-07	3.4174608771309067e-07
2:het:0-100kb	0.022425004690885545	0.009640024971429	0.015000748693200876	0.024476887239143253	0.0028201083350317545
2:het:100kb-1Mb	0.007229743267930502	0.010443549451301805	0.015045958769042045	0.07155022270977497	0.0030474718291687354
2:het:1Mb-10Mb	5.084837866320413e-08	0.006869571605387961	0.0095637726691794	0.19324099212884904	7.592583067150827e-08
2:het:10Mb-40Mb	0.0021378000185197266	0.005219071970918207	0.0037267197147703257	0.09571450628340245	0.00010089406830104508
2:het:>40Mb	7.523214679210356e-06	0.004065059715203212	0.005150621497693209	0.04504201938398182	2.2723221377418667e-07
3-4:het:0-100kb	0.038742906562983986	0.03382759174332023	0.03024248087313026	0.01890535155975101	0.02501266133505851
3-4:het:100kb-1Mb	0.08008699603378773	0.07478112724609673	0.06642728723585606	0.03737740496173501	0.021878266897983847
3-4:het:1Mb-10Mb	0.1907409018278122	0.14956218630075455	0.08039339783601462	0.09916706569492817	0.06248587109381333
3-4:het:10Mb-40Mb	0.17456243738532065	0.1017388096312061	0.04861228952533565	0.015235186213976704	0.02364062238484621
3-4:het:>40Mb	0.09758678555488587	0.10122277150645459	0.07777151961345226	0.00020485756681438261	0.011044651442207397
5-8:het:0-100kb	0.03260250458493829	0.03507577171549201	0.03398674177005887	0.01290038732928224	0.026603850703686475
5-8:het:100kb-1Mb	0.049378041718155144	0.03347723122220486	0.053362925415858624	0.02194617820903659	0.04442180143669248
5-8:het:1Mb-10Mb	0.06498223264272579	0.029978102684253827	0.03799858600189964	0.035495937420055274	0.21044793576002122
5-8:het:10Mb-40Mb	0.044375425523251126	0.0021111627167465486	0.0045067153073427456	0.007261002008548303	0.11989737518131732
5-8:het:>40Mb	0.014795476724393665	0.002563630707705755	0.01708545502511072	5.247196686042343e-09	0.01584692126344702
9+:het:0-100kb	0.012508704682113602	0.037528579906305023	0.025234483061358334	0.005547266319270534	0.005806122505306348
9+:het:100kb-1Mb	0.011120573793145969	0.014764569660183042	0.14740675558889677	0.010070204909425229	0.05650705521926284
9+:het:1Mb-10Mb	0.008432890508314587	0.0025951722028133874	0.0778622156381607	0.001786680195623198	0.08336069550365209
9+:het:10Mb-40Mb	1.2972554181125418e-05	0.0001279948731566094	7.922983186261945e-05	0.0010726887296100074	0.006341161036289975
9+:het:>40Mb	3.121290988872261e-07	3.255047819372692e-07	2.6292834149899135e-07	3.129127337331283e-07	0.001443501451191196
