MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE
0:homdel:0-100kb	2.40E-05	5.08E-05	2.15E-04	1.32E-08	1.73E-05
0:homdel:100kb-1Mb	2.02E-05	3.38E-05	1.86E-04	1.36E-08	5.21E-05
0:homdel:>1Mb	3.71E-09	5.06E-09	5.99E-09	2.51E-09	2.04E-09
1:LOH:0-100kb	4.97E-04	5.38E-04	5.85E-04	5.52E-04	4.60E-04
1:LOH:100kb-1Mb	4.88E-04	7.02E-04	7.80E-04	7.22E-04	1.10E-03
1:LOH:1Mb-10Mb	1.48E-04	1.06E-03	7.79E-04	1.01E-03	7.09E-04
1:LOH:10Mb-40Mb	1.31E-08	3.31E-04	2.56E-04	7.04E-04	1.13E-08
1:LOH:>40Mb	9.88E-05	3.40E-04	3.71E-04	5.85E-04	6.03E-05
2:LOH:0-100kb	3.13E-04	6.05E-04	4.08E-04	4.64E-04	3.81E-08
2:LOH:100kb-1Mb	7.61E-04	9.19E-04	9.43E-04	6.71E-04	2.85E-04
2:LOH:1Mb-10Mb	8.32E-04	2.12E-03	2.59E-03	7.87E-04	1.22E-08
2:LOH:10Mb-40Mb	1.45E-03	2.45E-03	1.83E-03	5.99E-04	1.21E-08
2:LOH:>40Mb	5.80E-04	5.67E-04	4.89E-04	1.36E-04	4.84E-04
3-4:LOH:0-100kb	3.43E-04	6.23E-04	2.22E-04	1.19E-04	3.32E-04
3-4:LOH:100kb-1Mb	6.06E-04	8.28E-04	5.61E-04	3.73E-04	1.13E-03
3-4:LOH:1Mb-10Mb	9.80E-04	2.03E-03	9.90E-04	4.30E-04	1.72E-03
3-4:LOH:10Mb-40Mb	3.60E-04	5.48E-04	4.89E-04	2.29E-04	1.55E-03
3-4:LOH:>40Mb	2.43E-04	4.73E-04	4.35E-04	1.73E-04	7.98E-04
5-8:LOH:0-100kb	2.21E-04	1.90E-04	6.75E-05	1.37E-08	5.32E-04
5-8:LOH:100kb-1Mb	3.28E-04	1.67E-04	1.27E-04	5.30E-09	8.96E-04
5-8:LOH:1Mb-10Mb	2.20E-04	1.20E-04	1.11E-08	7.81E-09	8.56E-04
5-8:LOH:10Mb-40Mb	6.18E-05	2.74E-04	1.29E-04	2.16E-04	5.18E-04
5-8:LOH:>40Mb	1.10E-05	1.60E-05	3.07E-05	1.56E-08	3.50E-04
9+:LOH:0-100kb	6.68E-05	2.22E-08	1.96E-08	1.49E-08	5.17E-05
9+:LOH:100kb-1Mb	1.61E-04	7.70E-04	4.74E-04	1.01E-08	2.51E-04
9+:LOH:1Mb-10Mb	2.46E-05	1.49E-04	5.97E-05	1.27E-08	2.69E-08
9+:LOH:10Mb-40Mb	2.46E-08	1.99E-08	1.73E-08	1.31E-08	1.51E-04
9+:LOH:>40Mb	3.71E-09	5.06E-09	5.99E-09	2.51E-09	2.04E-09
2:het:0-100kb	7.60E-04	9.90E-04	9.71E-04	5.65E-04	2.84E-04
2:het:100kb-1Mb	3.62E-04	1.33E-03	9.76E-04	1.02E-03	3.22E-04
2:het:1Mb-10Mb	1.97E-08	1.59E-03	1.55E-03	2.01E-03	1.49E-08
2:het:10Mb-40Mb	2.17E-04	2.89E-03	2.62E-03	1.36E-03	5.89E-05
2:het:>40Mb	7.27E-06	2.14E-03	2.19E-03	1.11E-03	2.07E-08
3-4:het:0-100kb	7.48E-04	8.69E-04	9.81E-04	6.10E-04	9.21E-04
3-4:het:100kb-1Mb	1.14E-03	1.37E-03	1.20E-03	7.82E-04	9.23E-04
3-4:het:1Mb-10Mb	1.56E-03	2.49E-03	2.43E-03	1.39E-03	1.87E-03
3-4:het:10Mb-40Mb	2.13E-03	2.42E-03	2.03E-03	5.89E-04	1.02E-03
3-4:het:>40Mb	1.57E-03	2.52E-03	1.87E-03	1.33E-04	6.82E-04
5-8:het:0-100kb	6.07E-04	7.72E-04	8.42E-04	5.06E-04	1.03E-03
5-8:het:100kb-1Mb	9.50E-04	8.83E-04	1.32E-03	5.66E-04	1.51E-03
5-8:het:1Mb-10Mb	3.14E-03	1.81E-03	2.09E-03	8.82E-04	3.72E-03
5-8:het:10Mb-40Mb	2.12E-03	8.34E-04	8.44E-04	5.25E-04	2.92E-03
5-8:het:>40Mb	5.38E-04	2.80E-04	7.06E-04	2.88E-09	7.58E-04
9+:het:0-100kb	6.63E-04	1.08E-03	8.96E-04	3.39E-04	4.27E-04
9+:het:100kb-1Mb	1.27E-03	9.55E-04	4.23E-03	5.86E-04	2.51E-03
9+:het:1Mb-10Mb	8.40E-04	7.82E-04	2.43E-03	2.55E-04	2.27E-03
9+:het:10Mb-40Mb	1.29E-05	9.68E-05	7.92E-05	1.21E-04	3.94E-04
9+:het:>40Mb	2.54E-08	2.08E-08	1.84E-08	1.35E-08	1.51E-04
