Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
PD53330a	0	0	0	0	139	11
PD53332a	0	0	7	49	186	2
PD53332c	0	15	2	0	345	0
PD53333a	0	211	0	0	0	23
PD53333c	16	170	8	10	5	0
PD53333d	33	180	12	0	3	0
PD53333e	0	186	8	0	1	2
PD53343a	111	22	9	0	0	0
PD53343c	122	17	14	0	0	18
PD53343d	209	0	10	0	0	7
PD53343e	240	5	0	0	7	16
PD53343f	138	0	22	0	1	16
PD53343g	132	0	14	16	0	18
PD53347a	0	1	3	2	1	292
PD53349a	69	39	31	3	4	27
PD53349c	46	38	31	28	23	23
PD53350a	0	33	179	1	0	28
PD53350c	20	28	202	15	3	27
PD53352a	1	54	0	119	0	0
PD53352c	28	36	2	107	0	0
PD53355a	38	1	136	9	9	0
PD53357a	54	0	11	66	4	47
PD53359a	21	0	0	118	0	12
PD53364a	0	0	52	197	0	11
