Samples	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
PD53330a	1.72E+00	3.19E-01	1.30E-01	3.76E+00	3.69E+00	6.15E-01
PD53332a	9.07E-01	3.00E-02	8.76E-01	5.09E+00	5.05E+00	7.00E-02
PD53332c	4.96E-01	9.98E-01	8.01E-01	8.55E+00	8.23E+00	7.19E-01
PD53333a	1.47E+00	2.37E+00	1.20E+00	2.09E+00	1.38E-01	8.83E-01
PD53333c	1.53E+00	3.51E+00	1.27E+00	3.00E+00	4.08E-01	4.77E-01
PD53333d	2.47E+00	3.59E+00	9.74E-01	2.71E+00	1.04E-01	5.25E-01
PD53333e	1.11E+00	2.58E+00	1.15E+00	2.19E+00	1.79E-01	4.68E-01
PD53343a	2.91E+00	1.78E+00	6.44E-01	2.67E+00	0.00E+00	1.22E+00
PD53343c	3.57E+00	1.78E+00	1.08E+00	2.58E+00	0.00E+00	2.00E+00
PD53343d	4.21E+00	1.65E+00	9.73E-01	2.79E+00	9.78E-02	2.64E+00
PD53343e	6.05E+00	2.90E+00	6.05E-01	3.54E+00	1.25E-01	3.44E+00
PD53343f	3.39E+00	1.08E+00	1.20E+00	2.25E+00	1.76E-01	2.10E+00
PD53343g	3.18E+00	1.54E+00	1.09E+00	2.56E+00	2.36E-01	1.99E+00
PD53347a	1.79E+00	2.19E-01	0.00E+00	0.00E+00	0.00E+00	1.79E+00
PD53349a	2.79E+00	1.95E+00	1.74E+00	2.43E+00	3.89E-01	1.42E+00
PD53349c	2.72E+00	2.74E+00	1.55E+00	2.60E+00	9.78E-01	1.41E+00
PD53350a	9.81E-01	2.90E+00	3.48E+00	1.64E+00	2.96E-01	1.36E+00
PD53350c	2.92E+00	1.71E+00	3.57E+00	2.89E+00	1.18E-01	1.59E+00
PD53352a	3.47E+00	4.11E+00	1.14E+00	5.39E+00	4.56E-01	3.35E-01
PD53352c	3.76E+00	3.34E+00	1.21E+00	5.05E+00	4.21E-01	5.13E-01
PD53355a	2.43E+00	1.26E+00	2.32E+00	2.87E+00	7.66E-01	0.00E+00
PD53357a	3.19E+00	1.47E+00	1.90E+00	3.49E+00	8.45E-01	1.71E+00
PD53359a	3.43E+00	2.16E+00	7.21E-01	4.36E+00	4.24E-01	7.92E-01
PD53364a	3.98E+00	3.25E+00	2.64E+00	6.14E+00	9.63E-01	8.28E-01
