MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
0:homdel:0-100kb	1.921444705388353e-07	1.1495279821360782e-07	0.0037725320673598615	2.710743383005365e-07	2.389741037411852e-07	3.060358230300153e-07
0:homdel:100kb-1Mb	2.0802288982935124e-07	1.5374964085879127e-07	0.00302563781455234	2.9576544385179205e-07	2.545420466582016e-07	3.1539609409492184e-07
0:homdel:>1Mb	5.616446196654579e-07	4.7403162938053357e-07	3.74658748114598e-07	5.744588517586635e-07	3.94646712749136e-07	3.438885130435665e-07
1:LOH:0-100kb	0.019641990792006254	0.013160862834192813	0.012947498058492784	0.012763353921860983	0.02450871287379414	0.0037963834166866127
1:LOH:100kb-1Mb	0.008277389430440962	0.02250963289756328	0.018658989742398262	0.024425371590768918	0.04249054580926895	0.029925208021886647
1:LOH:1Mb-10Mb	0.0006371888458645003	0.012903281620237976	0.003046932747311075	0.024963655074029704	0.06418146658688784	0.015062328610802068
1:LOH:10Mb-40Mb	5.016928247985497e-05	1.6724966178882638e-07	1.177603524316062e-07	0.004259561643940053	0.04515036713797599	2.737691559673294e-07
1:LOH:>40Mb	0.000959629341939543	0.004668971697683446	0.00412217741693297	0.0035542578004348967	0.029121329672634602	4.222037269499879e-05
2:LOH:0-100kb	0.0030641806322823585	0.006329986099807457	0.002687310336022044	0.01404955549645976	0.008794197350558334	1.535739389346702e-07
2:LOH:100kb-1Mb	0.009607277592713216	0.03955879418179393	0.030521102156490086	0.04281169752590358	0.027348126435548466	0.0030825715514490428
2:LOH:1Mb-10Mb	0.0018022183032007889	0.06832824345488916	0.1154597132652998	0.061167791621807195	0.01667588616085652	2.954052760628656e-08
2:LOH:10Mb-40Mb	0.019902032404206692	0.001177615006898094	0.014914587802340975	0.07220520630478859	0.013847492999047972	5.812153968776101e-08
2:LOH:>40Mb	0.021255555350614942	0.007270302584563524	0.0021743952084943884	0.018024992372725812	0.0006053183615344437	0.0072498710188955325
3-4:LOH:0-100kb	0.004542254314233105	0.016128076151738925	0.00035097744199447334	0.005794175272847859	0.0010715161721979657	0.0027275730479982487
3-4:LOH:100kb-1Mb	0.0105080426385436	0.0243995210994035	0.0018332679437691013	0.015892470984078103	0.004787775450677145	0.03600962778087705
3-4:LOH:1Mb-10Mb	0.012575396882311907	0.07037639070302248	0.0042596835588503265	0.011681423882793425	0.004306974199138978	0.07752656619995832
