MutationType	SBSCNVA	SBSCNVB	SBSCNVC	SBSCNVD	SBSCNVE	SBSCNVF
0:homdel:0-100kb	2.44E-08	1.91E-08	2.36E-04	3.17E-08	1.64E-08	2.08E-08
0:homdel:100kb-1Mb	2.30E-08	2.08E-08	2.05E-04	3.19E-08	1.73E-08	1.99E-08
0:homdel:>1Mb	6.66E-09	3.22E-09	3.48E-09	1.32E-08	8.99E-09	2.72E-09
1:LOH:0-100kb	6.19E-04	4.68E-04	6.46E-04	1.10E-03	6.61E-04	3.85E-04
1:LOH:100kb-1Mb	6.79E-04	6.55E-04	8.22E-04	1.60E-03	1.01E-03	1.13E-03
1:LOH:1Mb-10Mb	3.84E-04	6.32E-04	5.26E-04	2.00E-03	1.31E-03	7.14E-04
1:LOH:10Mb-40Mb	4.98E-05	1.20E-08	1.00E-08	1.32E-03	1.11E-03	1.22E-08
1:LOH:>40Mb	1.61E-04	3.25E-04	3.19E-04	9.63E-04	7.42E-04	3.35E-05
2:LOH:0-100kb	3.54E-04	3.70E-04	3.38E-04	1.09E-03	5.19E-04	1.55E-08
2:LOH:100kb-1Mb	6.79E-04	1.03E-03	1.06E-03	2.05E-03	8.29E-04	3.07E-04
2:LOH:1Mb-10Mb	4.85E-04	1.95E-03	2.51E-03	3.68E-03	8.86E-04	1.27E-08
2:LOH:10Mb-40Mb	1.40E-03	5.35E-04	9.28E-04	3.46E-03	8.15E-04	1.24E-08
2:LOH:>40Mb	7.92E-04	4.62E-04	3.45E-04	1.33E-03	1.32E-04	4.72E-04
3-4:LOH:0-100kb	2.84E-04	6.58E-04	9.03E-05	6.87E-04	1.28E-04	3.00E-04
3-4:LOH:100kb-1Mb	5.75E-04	7.87E-04	3.25E-04	1.20E-03	3.66E-04	1.30E-03
3-4:LOH:1Mb-10Mb	8.96E-04	1.53E-03	6.23E-04	1.56E-03	4.22E-04	2.02E-03
3-4:LOH:10Mb-40Mb	3.32E-04	6.24E-04	4.68E-04	8.97E-04	2.43E-04	1.74E-03
3-4:LOH:>40Mb	2.80E-04	3.93E-04	3.86E-04	7.36E-04	2.56E-04	9.70E-04
5-8:LOH:0-100kb	2.44E-04	2.59E-04	7.87E-09	2.76E-04	3.54E-08	6.02E-04
5-8:LOH:100kb-1Mb	3.90E-04	1.91E-04	1.22E-04	1.36E-04	1.28E-08	9.47E-04
5-8:LOH:1Mb-10Mb	2.78E-04	1.65E-04	6.20E-09	3.05E-05	1.96E-08	9.55E-04
5-8:LOH:10Mb-40Mb	3.04E-05	6.68E-06	2.61E-08	3.69E-04	3.01E-04	5.89E-04
5-8:LOH:>40Mb	2.49E-05	2.34E-05	4.20E-07	4.68E-05	2.43E-08	4.42E-04
9+:LOH:0-100kb	7.37E-05	2.25E-08	2.06E-08	3.13E-05	1.83E-08	3.69E-05
9+:LOH:100kb-1Mb	1.70E-08	8.27E-04	3.01E-04	3.36E-08	1.68E-08	9.60E-04
9+:LOH:1Mb-10Mb	2.21E-08	1.72E-04	2.12E-08	5.27E-05	2.01E-08	3.14E-05
9+:LOH:10Mb-40Mb	2.51E-08	1.65E-08	1.68E-08	2.38E-08	1.35E-08	1.73E-04
9+:LOH:>40Mb	6.66E-09	3.22E-09	3.48E-09	1.32E-08	8.99E-09	2.72E-09
2:het:0-100kb	8.60E-04	5.99E-04	8.88E-04	1.78E-03	5.96E-04	2.94E-04
2:het:100kb-1Mb	9.09E-04	3.86E-04	6.64E-04	2.49E-03	1.36E-03	3.05E-04
2:het:1Mb-10Mb	1.03E-03	3.34E-04	5.82E-04	5.26E-03	2.80E-03	2.26E-08
2:het:10Mb-40Mb	1.87E-03	5.22E-05	8.47E-09	4.43E-03	2.27E-03	7.49E-08
2:het:>40Mb	1.55E-03	1.14E-08	2.24E-04	3.06E-03	2.65E-03	1.49E-08
3-4:het:0-100kb	1.06E-03	9.37E-04	1.12E-03	1.83E-03	1.10E-03	9.22E-04
3-4:het:100kb-1Mb	1.58E-03	1.60E-03	1.61E-03	2.28E-03	9.74E-04	8.57E-04
3-4:het:1Mb-10Mb	3.37E-03	2.62E-03	2.38E-03	5.04E-03	2.41E-03	1.63E-03
3-4:het:10Mb-40Mb	2.88E-03	1.77E-03	1.63E-03	5.44E-03	7.76E-04	1.02E-03
3-4:het:>40Mb	2.46E-03	1.74E-03	1.79E-03	4.66E-03	2.97E-04	6.93E-04
5-8:het:0-100kb	7.98E-04	7.00E-04	9.69E-04	1.03E-03	5.78E-04	9.25E-04
5-8:het:100kb-1Mb	1.30E-03	9.83E-04	1.42E-03	1.72E-03	7.50E-04	1.55E-03
5-8:het:1Mb-10Mb	3.97E-03	1.48E-03	2.25E-03	4.03E-03	1.07E-03	3.75E-03
5-8:het:10Mb-40Mb	2.22E-03	1.51E-04	5.88E-04	1.84E-03	1.06E-03	2.70E-03
5-8:het:>40Mb	8.42E-04	2.47E-04	7.61E-04	1.07E-03	1.11E-08	8.88E-04
9+:het:0-100kb	6.59E-04	1.18E-03	9.03E-04	9.37E-04	4.72E-04	4.22E-04
9+:het:100kb-1Mb	1.21E-03	9.61E-04	2.93E-03	7.25E-04	7.56E-04	1.35E-03
9+:het:1Mb-10Mb	1.04E-03	2.29E-04	2.04E-03	1.37E-03	2.67E-04	1.80E-03
9+:het:10Mb-40Mb	3.73E-05	1.90E-08	9.14E-09	2.66E-04	1.77E-04	4.30E-04
9+:het:>40Mb	2.89E-08	1.81E-08	1.67E-08	2.57E-08	1.45E-08	1.94E-04
